Rv_ID,2003A_Sassetti_log2FC,2003B_Sassetti_log2FC,2005_Rengarajan_log2FC,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_log2FC,2011_Griffin_2_log2FC,2013_Zhang_1_log2FC,2013_Zhang_2_log2FC,2013_Zhang_3A_log2FC,2013_Zhang_3B_log2FC,2013_Zhang_3C_log2FC,2013_Zhang_3D_log2FC,2016_Korte_log2FC,2017_Mishra_1A_log2FC,2017_Mishra_1B_log2FC,2017_Mishra_1C_log2FC,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_log2FC,2012_Zhang_log2FC,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_log2FC,2015_Mendum_log2FC,2016_Nambi_log2FC,2017_Xu_1A_log2FC,2017_Xu_1B_log2FC,2017_Xu_1C_log2FC,2017_Xu_1D_log2FC,2017_Xu_1E_log2FC,2018_Carey_1A_log2FC,2018_Carey_1B_log2FC,2018_Carey_1C_log2FC,2018_Carey_1D_log2FC,2018_Carey_1E_log2FC,2018_Carey_1F_log2FC,2018_Carey_1G_log2FC,2018_Carey_1H_log2FC,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_log2FC,marP_log2FC,Rv0950_log2FC,Rv3916c_log2FC,Rv0307c_log2FC,Rv3717_log2FC,ponA1_log2FC,Rv1565c_log2FC,Rv3684_log2FC,Rv0954_log2FC,Rv3811_log2FC,Rv1096_log2FC,Rv2680_log2FC,Rv1432_log2FC,Rv3594_log2FC,Rv3005c_log2FC,Functional_Category
Rv0001,-3.378400690040971,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.242756287157781,1.584962500721156,-0.2138800225572905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,-0.05,4.53,0.0,0.0,2.14,0.0,-0.6,-1.02,-0.72,-3.29,0.0,0.0,0.43,0.0,2.21,3.83,0.0,0.0,1.18,0.0,-0.1,3.83,0.0,3.37,L
Rv0002,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5743190420650521,1.584962500721156,-1.7724965128317511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.72,-0.89,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
Rv0003,0.0,0.0,0,0,0,0.0,3.223422549934937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9131899844630672,0.4391416122176471,-0.4521526718125242,-1.0,0.59923203283883,-0.5355964234001765,-0.5497772385802991,0.1930138178909563,-0.2108780764448887,-0.7387917906643401,1.29,0.03,-0.64,-0.49,-0.09,-0.31,0.03,-0.2,-0.41,0.45,-0.37,-0.75,0.03,-2.59,0.91,-0.62,-0.4,2.81,0.17,-1.2,0.48,0.39,-1.93,1.5,0.31,3.45,L
Rv0004,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199431820819114,-1.119820337269385,-2.9452633731514575,-1.0,1.5156390878244599,0.0,0.0,-0.3219280948873623,-0.15200309344505,0.0,1.53,1.51,1.53,1.53,1.52,1.53,2.07,1.51,-0.59,-1.01,-0.72,-4.31,-2.6,0.0,0.0,4.91,-2.66,0.0,1.08,-6.83,2.61,1.54,0.0,0.0,1.79,0.0,R
Rv0005,-5.919521730394579,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.1087217674678658,4.087462841250339,-0.9054912250766836,0.0,-1.94893507118616,0.0,0.0,0.0,0.289506617194985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.21,1.96,0.45,0.13,-7.69,-5.61,-0.37,-0.97,-0.52,-0.71,-0.08,0.04,0.27,-2.3,-5.08,0.7,-5.19,L
Rv0006,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.06945032222098506,-2.58619826861352,1.030136139526629,0.0,6.702939823803931,0.5305147166987798,0.3219280948873623,0.7004397181410922,0.0,0.415037499278844,1.51,-0.37,1.24,7.03,0.7,1.86,0.96,3.07,-0.61,-1.01,-0.73,0.47,-1.21,0.0,0.0,-0.12,-4.35,3.29,-0.1,1.66,0.59,0.25,-0.14,0.6,3.31,0.6,L
Rv0009,0.0,0.0,0,0,0,-1.8931348079596109,4.461704184724262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9453979592718972,1.497388051957075,-2.799532404587618,-1.0,2.08368726420608,-0.3348659785101512,-0.6875282868070347,-0.5079106312430051,0.4706886111778655,-0.8856845786460779,1.41,-0.45,0.55,-0.66,0.16,0.23,0.65,-0.11,1.66,1.08,2.02,0.46,-0.1,-0.11,0.09,-3.05,-0.06,1.59,0.24,0.78,-1.73,0.11,2.37,0.79,-1.38,-2.27,O
Rv0013,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.108524456778168,2.5780938437416663,-5.294069662709253,-1.0,-2.21545514733429,0.2387868595871165,0.8685338375576448,-0.8494403234246188,0.8935779408638458,0.1721809753826803,1.4,-1.67,1.21,-1.66,-0.5,-1.66,3.36,-1.67,-3.32,-4.1,-4.12,1.73,-0.99,1.32,-6.39,-1.16,-3.0,-5.32,-0.7,0.93,-0.78,-0.72,-3.5,-10.84,1.27,-5.76,H
Rv0014c,-4.4698752276593705,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3948184331272289,0.0,-3.246427701164162,0.0,1.0995303059415902,0.0,0.0,-0.3219280948873623,-0.15200309344505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-0.99,-0.72,-0.89,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.18,0.0,0.0,0.0,-0.06,0.0,L
Rv0015c,-4.163953493413429,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.971341827709863,-6.074209154152943,-3.1105442730823927,0.0,1.7162000327659,-0.9151971589640144,-2.238610931894576,-0.1666978225776227,-0.7761361914468838,-1.397963985919902,0.26,0.27,2.05,1.07,0.99,-0.29,-0.12,1.71,-0.65,-0.99,-0.72,1.23,0.07,0.23,7.49,-2.64,-3.51,-2.68,-0.08,1.96,-1.4,0.47,0.0,1.92,-2.48,0.0,L
Rv0016c,0.0,0.0,0,0,0,0.0,7.285402218862249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.4475988189401281,0.0023291989828502038,-0.5466927202890347,-1.0,-0.712608277800567,-0.9784846793452004,-0.8300403046276201,-0.3989957090809845,-4.123876427120828,-1.950948861694856,2.01,-0.21,1.59,2.34,0.71,1.79,-1.51,0.55,0.87,-0.57,-0.89,-5.25,-0.96,1.66,-3.98,-0.16,-0.16,0.0,0.28,-4.57,0.48,-0.84,0.93,3.95,0.41,-5.22,M
Rv0018c,0.0,0.0,-1,0,0,0.0,7.4838157772642555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.37619473681329,-0.5633182643799655,1.733899421899327,-1.0,1.35731634742865,0.26253459808901003,0.3304007272361303,0.7297229040333177,-1.0043411486236211,0.7747041865770022,0.02,0.99,-0.74,0.73,0.15,0.36,0.08,1.17,1.21,0.0,1.73,-2.02,-0.92,2.66,0.89,2.13,0.41,1.67,-0.51,-3.07,0.92,-0.61,4.02,5.37,0.03,-1.18,T
