category,C_reg,accuracy,log_loss,log_loss_err
information pathways,0.01,0.6030664395229983,0.6559718402915563,0.006809655578802786
information pathways,0.1,0.5434412265758092,0.6688710637789314,0.01610924261667691
information pathways,1.0,0.5697278911564626,0.6833211784687149,0.010921762523663146
cell wall and cell processes,0.01,0.5485519591141397,0.6906108001809128,0.0012061100936336393
cell wall and cell processes,0.1,0.5110732538330494,0.6990104669831849,0.002965219590120437
cell wall and cell processes,1.0,0.5034013605442177,0.707756711713003,0.005922969325850249
intermediary metabolism and respiration,0.01,0.5093696763202725,0.6934429215576007,0.0013169688987092788
intermediary metabolism and respiration,0.1,0.5178875638841567,0.6942933650828775,0.002470447510047067
intermediary metabolism and respiration,1.0,0.5059625212947189,0.697864666236068,0.01680115689908879
regulatory proteins,0.01,0.5833333333333334,0.6595887565354784,0.010157890314309932
regulatory proteins,0.1,0.5928449744463373,0.651431803893453,0.019902083530501782
regulatory proteins,1.0,0.596252129471891,0.6643292518337498,0.0212973852993183
"virulence, detoxification, adaptation",0.01,0.5519591141396933,0.6856406248747728,0.008392454129120189
"virulence, detoxification, adaptation",0.1,0.5689948892674617,0.6881513969985348,0.014645221682978864
"virulence, detoxification, adaptation",1.0,0.575809199318569,0.706614313183357,0.00980998992142239
insertion seqs and phages,0.01,0.5621805792163543,0.6755048350555068,0.011729427614918384
insertion seqs and phages,0.1,0.5706984667802385,0.6688104245284889,0.012839781818806198
insertion seqs and phages,1.0,0.5928449744463373,0.6787644406492332,0.015384059515157917
lipid metabolism,0.01,0.6003401360544217,0.6582975556906475,0.006584740630660327
lipid metabolism,0.1,0.5366269165247018,0.6826959012906185,0.0027784041784206493
lipid metabolism,1.0,0.54421768707483,0.69345230982388,0.015908046466635527
PE/PPE,0.01,0.5527210884353742,0.673540637888276,0.015042676894769744
PE/PPE,0.1,0.564625850340136,0.6760143560569339,0.012520928818185412
PE/PPE,1.0,0.5612244897959183,0.6990945109105123,0.026563564528525208
