hUMAP_x	hUMAP_y	gene_names
18.077806	9.124027	Rv0001
18.191128	13.891215	Rv0002
9.261095	6.160158	Rv0003
16.169641	-3.3556306	Rv0004
13.604456	12.360692	Rv0005
16.128424	2.735729	Rv0006
10.91708	12.433716	Rv0007
6.340791	4.4444513	Rv0008c
10.603293	2.5217896	Rv0009
7.0544176	-0.02834346	Rv0010c
11.921577	20.033869	Rv0011c
11.136817	12.218482	Rv0012
13.4868555	-1.9763976	Rv0013
18.184937	13.910618	Rv0014c
8.805466	1.8870697	Rv0015c
11.795917	10.728074	Rv0016c
11.802486	10.767437	Rv0017c
12.818926	0.41438022	Rv0018c
14.213047	2.17397	Rv0019c
7.682746	18.02491	Rv0020c
10.203563	5.3407254	Rv0021c
9.768442	-3.3277247	Rv0022c
9.888069	-6.0901413	Rv0023
8.844063	4.10707	Rv0024
15.112365	3.6023529	Rv0025
8.409387	1.4292078	Rv0026
11.183552	6.412671	Rv0027
9.636894	0.75117123	Rv0028
5.4449396	-5.5628557	Rv0029
11.959636	-9.72267	Rv0030
15.346288	11.083533	Rv0031
1.6682947	4.9922338	Rv0032
9.193616	-1.6097267	Rv0033
12.545825	0.18677591	Rv0034
16.711403	4.3976817	Rv0035
10.810351	-0.29802516	Rv0036c
6.1717277	1.6684352	Rv0037c
5.577971	3.3504784	Rv0038
8.780277	6.668632	Rv0039c
15.21093	-2.4528887	Rv0040c
15.003597	18.549484	Rv0041
9.333738	-1.8657218	Rv0042c
11.297311	1.4802716	Rv0043c
7.2315154	-0.54901874	Rv0044c
7.1945767	-1.0573155	Rv0045c
12.519905	20.600693	Rv0046c
4.7776647	1.8583324	Rv0047c
5.392948	1.7184887	Rv0048c
20.481554	16.973602	Rv0049
20.413095	16.885801	Rv0050
21.980247	10.828013	Rv0051
10.130077	4.7203655	Rv0052
21.214455	11.427605	Rv0053
19.259136	8.803165	Rv0054
6.659924	2.0386784	Rv0055
15.0609865	-1.1342856	Rv0056
8.205899	-1.6855509	Rv0057
2.5169022	15.04702	Rv0058
7.4499464	-1.8612447	Rv0059
9.834585	-1.5674981	Rv0060
17.368223	8.605731	Rv0062
22.065723	11.028649	Rv0063
13.362848	-2.2689686	Rv0064
10.799917	0.4250249	Rv0065
13.623676	12.292605	Rv0066c
14.824399	1.3449928	Rv0067c
14.852658	3.734525	Rv0068
3.2724915	3.684654	Rv0069c
13.6272335	5.4862924	Rv0070c
11.363399	-0.35707688	Rv0071
18.71844	2.759035	Rv0072
13.623868	2.5660005	Rv0073
11.273727	-0.73099035	Rv0074
14.1849785	-2.3491201	Rv0075
12.433305	3.0558183	Rv0076c
12.794143	-1.7471733	Rv0077c
14.57327	5.8035846	Rv0078
14.42349	5.787331	Rv0078A
14.333455	-0.29082963	Rv0079
10.876806	4.003452	Rv0080
14.574107	0.017284395	Rv0081
11.65686	2.653842	Rv0082
3.8920069	14.200821	Rv0083
15.939968	-2.2775052	Rv0084
15.613698	7.1696415	Rv0085
12.250209	0.41909608	Rv0086
11.385874	2.8639452	Rv0087
13.013885	-0.60152763	Rv0088
5.497878	1.3093601	Rv0089
15.528944	-1.4686161	Rv0090
12.334345	3.074804	Rv0091
14.262585	-2.444634	Rv0092
3.3413517	14.892755	Rv0093c
-3.3476112	16.823418	Rv0094c
9.432756	-0.46181554	Rv0095c
5.6584144	8.638879	Rv0096
5.893143	7.384931	Rv0097
6.4508114	6.06636	Rv0098
6.948208	4.7651105	Rv0099
6.5282507	6.0824475	Rv0100
6.4824204	5.135196	Rv0101
17.069864	-0.4994437	Rv0102
7.606063	2.0427003	Rv0103c
12.842002	6.873747	Rv0104
11.931345	1.5115874	Rv0105c
9.154259	1.5330634	Rv0106
8.062535	2.9391322	Rv0107c
12.327835	4.3412294	Rv0108c
7.7928824	-0.0818766	Rv0109
13.125644	-1.232847	Rv0110
20.21197	16.694963	Rv0111
11.834583	-1.8810586	Rv0112
7.6926527	2.0215402	Rv0113
10.484218	2.3486018	Rv0114
8.392197	0.7398121	Rv0115
12.624567	2.7375915	Rv0116c
12.474951	-1.2839128	Rv0117
11.631131	-2.3833876	Rv0118c
16.291883	-1.9733738	Rv0119
2.5819924	15.732334	Rv0120c
10.886277	4.10558	Rv0121c
12.408928	1.2669269	Rv0122
10.892891	-2.2752523	Rv0123
5.3429127	4.605369	Rv0124
15.178389	-0.4978453	Rv0125
12.120845	0.76986307	Rv0126
3.2502518	11.675461	Rv0127
9.992112	0.37037593	Rv0128
21.03171	17.225658	Rv0129c
16.671309	-2.194045	Rv0130
12.252361	-0.11544957	Rv0131c
10.248439	-0.035926934	Rv0132c
3.9771414	14.178845	Rv0133
4.1891117	13.932675	Rv0134
7.527457	-3.4157243	Rv0135c
8.8377495	5.451646	Rv0136
9.160718	-0.40512487	Rv0137c
8.323878	3.104948	Rv0138
10.066217	0.6015921	Rv0139
10.687533	1.8483063	Rv0140
11.512297	-3.8986752	Rv0141c
9.572696	-1.897296	Rv0142
8.919037	5.4071045	Rv0143c
3.0276778	14.773257	Rv0144
8.7477	5.015927	Rv0145
16.40373	2.7405884	Rv0146
9.919218	4.4543605	Rv0147
8.7310705	-0.7471872	Rv0148
8.315579	4.396291	Rv0149
8.783995	-0.9556283	Rv0150c
11.955848	4.486069	Rv0151c
11.293551	4.2491503	Rv0152c
2.087822	24.007582	Rv0153c
1.9990361	24.079355	Rv0154c
18.728182	7.71097	Rv0155
11.960906	7.2366343	Rv0156
18.896656	7.898183	Rv0157
4.321807	2.9298775	Rv0158
11.407525	-0.005260466	Rv0159c
5.8500338	1.3226491	Rv0160c
9.1046095	1.2826991	Rv0161
8.180472	-4.459803	Rv0162c
9.038267	2.8504155	Rv0163
10.520114	3.9676864	Rv0164
7.7002625	-0.77964604	Rv0165c
7.6292915	2.0118682	Rv0166
16.734161	22.924416	Rv0167
16.826044	22.834177	Rv0168
16.811619	22.84685	Rv0169
16.85603	22.800169	Rv0170
16.876608	22.775826	Rv0171
16.90737	22.750015	Rv0172
16.69643	22.964186	Rv0173
16.701052	22.960403	Rv0174
16.7185	22.94349	Rv0175
16.891136	22.784868	Rv0176
16.857157	22.872097	Rv0177
16.642427	23.020166	Rv0178
21.466286	17.637232	Rv0179c
15.901208	-0.83522725	Rv0180c
5.871263	0.057731505	Rv0181c
5.96511	1.6501485	Rv0182c
5.831152	1.6546466	Rv0183
8.074529	2.93066	Rv0184
6.517912	6.4045506	Rv0185
12.301543	5.0369234	Rv0186
12.33824	0.84065604	Rv0187
7.4591904	3.1755846	Rv0188
12.708829	20.78346	Rv0189c
13.173694	0.17062037	Rv0190
13.185341	-3.170025	Rv0191
8.080688	3.180526	Rv0192
5.3255963	4.8808327	Rv0192A
8.838266	4.48157	Rv0193c
11.055493	3.720402	Rv0194
13.7286	5.4483113	Rv0195
8.814455	0.3971232	Rv0196
6.6584983	3.826514	Rv0197
10.787112	2.1251214	Rv0198c
5.540679	9.219625	Rv0199
16.833818	22.799887	Rv0200
8.390143	3.1731348	Rv0201c
6.986281	-3.6466808	Rv0202c
12.112306	3.6930423	Rv0203
21.399052	17.559635	Rv0204c
10.064563	-0.17472729	Rv0205
17.724833	0.015122899	Rv0206c
14.624749	1.8787234	Rv0207c
15.388046	-1.0776085	Rv0208c
11.3580475	-4.053516	Rv0209
8.193934	3.312452	Rv0210
2.05996	24.024471	Rv0211
8.497827	-1.7163883	Rv0212c
14.623569	5.339783	Rv0213c
12.885713	4.8723626	Rv0214
9.60155	3.897816	Rv0215c
6.4602175	5.209351	Rv0216
11.153339	3.5920477	Rv0217c
-0.82647043	5.6846147	Rv0218
8.930429	0.24642819	Rv0219
5.2216864	-6.673865	Rv0220
8.584758	-3.702806	Rv0221
14.227231	1.8226962	Rv0222
11.850261	5.389913	Rv0223c
19.13328	8.206277	Rv0224c
19.355198	11.314642	Rv0225
5.3360496	-6.431987	Rv0226c
19.279488	11.342378	Rv0227c
20.335182	20.181574	Rv0228
9.994691	3.7139077	Rv0229c
3.8481297	9.120584	Rv0230c
9.717702	-1.7742996	Rv0231
7.7258296	7.803634	Rv0232
12.088718	-9.930645	Rv0233
5.831723	1.4453083	Rv0234c
14.206388	-2.2929175	Rv0235c
1.3171712	4.9868255	Rv0236A
19.320826	11.3085575	Rv0236c
8.910175	12.168476	Rv0237
9.836474	-5.1802454	Rv0238
14.426441	0.73369676	Rv0239
10.155363	0.527193	Rv0240
13.504359	-0.8509936	Rv0241c
15.710544	-2.2179806	Rv0242c
14.98693	4.352119	Rv0243
10.451207	-3.725998	Rv0244c
8.20086	0.054615572	Rv0245
13.644863	5.322852	Rv0246
14.904465	-2.916489	Rv0247c
12.455612	-5.7240324	Rv0248c
14.916655	-3.0276275	Rv0249c
7.186773	2.071239	Rv0250c
11.087001	5.7374067	Rv0251c
14.2501745	-2.6566064	Rv0252
2.5747445	15.7295475	Rv0253
10.792566	2.1992164	Rv0254c
7.8982515	0.08815066	Rv0255c
6.339998	4.694153	Rv0256c
12.437842	2.90606	Rv0257
13.606205	12.265131	Rv0258c
12.353557	5.980357	Rv0259c
12.723532	-2.0766804	Rv0260c
12.062365	-3.868087	Rv0261c
11.510126	-0.27045235	Rv0262c
5.4391413	-5.6623783	Rv0263c
11.729103	-4.510869	Rv0264c
2.6951132	14.99455	Rv0265c
11.965423	-9.682883	Rv0266c
10.66552	7.0812826	Rv0267
8.597367	2.0162785	Rv0268c
10.032968	-1.8742392	Rv0269c
4.476391	2.0147002	Rv0270
