,PE/PPE,cell wall and cell processes,information pathways,insertion seqs and phages,intermediary metabolism and respiration,lipid metabolism,regulatory proteins,"virulence, detoxification, adaptation"
PE35_KO_vs_mbio_H37Rv,-0.41033235221679515,0.1237956507753603,-0.31731542013769926,-0.2175826124560903,0.19770885378897782,-0.11576848413326238,0.6136008510738883,-0.3153472613855243
PPE68_KO_vs_mbio_H37Rv,-0.07994343720932454,-0.10975053387221809,0.3902937388815084,-0.2790745583319493,0.03652115757693722,-0.053361469795285305,-0.7137878651156628,0.03951670546237857
Rv0950c_KO_vs_CB_WT,1.8382292656308066,0.08599841368667158,-0.31659203385584606,0.09423076789321637,-0.13625696346698557,-0.2359771585304817,0.28071490360805124,-0.1500797088511281
Rv0954_KO_vs_RJ_WT,-0.14382445920230252,-0.10194923734640873,0.08073549156808184,0.29387595428005303,0.017103163564028773,0.17275801326346485,-0.13270523154526626,-0.04332419931633748
Rv1096_KO_vs_CB_WT,-1.3748369669736955,0.18730623394177393,-0.046731122326161625,0.26528724095577666,0.4974646712397008,-0.12897089343538098,-0.46707824006788884,0.16770605052975576
Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,0.027653306916486327,-0.050264809518347754,0.07608924852505897,-0.003923461041632543,0.04049146173503642,0.029153462578660777,-0.046806081672160375,-0.014043677896118316
Rv3594_KO_vs_Rubin_FLUTE_WT,0.40478154871054434,0.08391135800935351,0.21817001424139795,0.026335749010618706,-0.0020759689941268157,-0.12345292270921983,-0.2852399876415995,-0.11697983066249538
Rv3684_KO_vs_CB_WT,-0.5498194325189626,-0.39362846426887227,0.33800119689292424,-0.22693966591163398,-0.07233332061833964,0.08066479017686116,0.27448538698203917,0.5627348445955627
Rv3717_KO_vs_Rubin_FLUTE_WT,-0.5222526889817309,-0.1596810306316474,0.2143994336575188,-0.3082337270941046,-0.054283538993931395,0.033235986896545756,-0.03527038592839829,0.2706452076146634
Rv3811_KO_vs_Rubin_FLUTE_WT,0.22671748612745796,0.04071314906812818,-0.09129881740287522,0.16338446762209613,0.04249421696613275,-0.00725590573429476,0.013254272846410424,-0.041685958422880816
bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,0.0,-0.07033949312413425,0.03913195014528198,-0.9606700113734116,-0.23811985663816485,-0.5755657545874417,-0.15049865637054471,2.2400257611448597
bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,-0.041279778933325274,0.07586050830857095,0.0,0.9779393484744618,0.3920793732782463,0.5013169585296146,0.0024337438446235256,-2.1586460353176724
bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,0.09188213358353554,0.05724281591198326,0.12032137492939593,-0.8702453596333886,-0.4106119026967332,-0.38529013316179367,-0.1888023998785326,2.085837894901809
carey_621_vs_carey_rv,0.3352417341121038,-0.055899280825684475,-0.13432587314488967,-0.022380239453979208,0.07042009467659185,-0.08804153256077803,0.35842498541346884,0.17983666667680526
carey_630_vs_carey_rv,-0.06191248826970529,-0.05832787270652936,-0.041440378104298896,0.029878801331558614,-0.03889825389225408,0.16370188753349527,0.12271015232461431,-0.02591395590918442
carey_631_vs_carey_rv,1.2062195895231347,0.14358902569572302,-0.07683187559435549,0.23408997896542924,-0.312317144113349,-0.015196687282918914,-0.09211467050209231,0.33353336903544256
carey_632_vs_carey_rv,-0.3238597232891682,0.06830774779955673,0.131670245954875,-0.7821617159774158,0.10244920592547702,0.3021782494092326,0.01995453802383722,-0.0816105110126831
carey_641_vs_carey_rv,-1.4709952846741163,-0.3747590266112543,0.32338089166427,-0.75757051534101,0.21037018849841524,-0.0003326759090601169,-0.25251550240525533,-0.009805946937869134
carey_662_vs_carey_rv,-0.49887515709260816,0.08878268056816879,-0.1498149849621739,0.327429157721746,-0.01895546944900765,-0.17243027899128743,0.2296267190190564,-0.3626632472232847
carey_663_vs_carey_rv,0.6979945875089103,0.10459704824504452,0.35185935182568373,-0.6840838811077622,0.11279503173238911,-0.006037230841861505,-0.17456344336518922,0.009966121851967326
carey_667_vs_carey_rv,-0.32844576559523014,0.0,-0.22031133741960304,0.5045664505069958,0.060628273714798626,-0.03648953621335389,-0.051203077062469564,-0.26513786407010576
dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,0.0,0.10801085900340288,-0.2602846968164983,0.032940225709089284,0.31456000757601027,-0.032292466279077635,0.38211298238322994,-0.07217835202302506
dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,-0.2923604659861831,0.01949204601290554,-0.0119064411367083,0.06739982667146412,0.012421527471708502,-0.07410027681995003,-0.047275381971901474,-0.02105134315940655
dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,-0.9581400667413854,0.009550674602445805,0.4653569576114689,-0.2934353613279151,0.3420562936683269,-0.7119930597413354,-0.07355526231142895,0.19044213855882897
dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,0.9496278265745439,-0.023687474599470563,-0.31731719168222633,0.3023958913293142,-0.35252467335566096,0.6671975886349896,0.12303889111197742,-0.14764932502234948
dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,-0.7223272233150567,0.12584604088480078,0.10368361184794636,-0.3421184554378667,0.3005778094514869,-0.6541376531072222,0.013401569509208854,0.06730902892129144
dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,0.4144017595893261,-0.29968731703737905,0.3412653437073066,0.8441706225898842,-0.2631315398833528,0.7571661923812507,-0.5318953421415594,-0.044381931272401046
dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,-0.39949667414285484,0.30788476534002435,-0.3704359150732457,-0.53093829751551,0.2870096695326502,-0.6693462110292312,0.5955639478623906,-0.09614355840605693
dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,0.2686470365632403,-0.37208510017148444,0.3640432048680204,0.8259665265311189,-0.3452873791594541,0.6158356399333039,-0.39112612161499805,0.23016933462849026
dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,0.8764602782017678,0.19549509908510837,-0.5150118410745879,-0.18449074537569207,-0.3546126529114347,0.03777618086458793,0.10466168464873807,-0.016279609427268287
dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,-0.7569904581598623,-0.12626335691440305,0.35973564015319115,0.049843680763509396,0.3843230274876413,0.0,-0.21222161827542488,0.025891968063890436
dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,0.7802387445152213,0.19276304237117686,-0.26941786951366703,-0.14072739996040934,-0.3487843997720179,-0.16939746943441397,0.3728393395846379,-0.0796526708868773
dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,0.028000272031658575,-0.07823924882160203,0.0093299586016804,0.05122960239523545,-0.03701734231416292,-0.032213257504085845,0.13360337688833618,-0.09165489610644967
eccD1_KO_vs_mbio_H37Rv,0.7436952120201393,0.0926634085832058,-0.22894598336374036,-0.44423815710238324,-0.13033780989877555,-0.39582009124767586,0.4018067343782232,-0.03529470250715827
espI_KO_vs_mbio_H37Rv,0.9376029642259887,-0.04920211074038604,-0.11076668264264555,0.1813934743769053,-0.04180084700291208,-0.14873938086589156,0.011241493742444557,-0.19449414271972987
