category,C_reg,accuracy,log_loss,roc_auc
information pathways,0.01,0.6292517006802721,0.6413562113273875,0.647765924551639
information pathways,0.1,0.6626916524701874,0.630259389298889,0.6574154708265495
information pathways,1.0,0.6678023850085179,0.6465247381766045,0.6344326227708154
cell wall and cell processes,0.01,0.524701873935264,0.6881868063607067,0.5664272217390001
cell wall and cell processes,0.1,0.5612244897959183,0.6870022877969917,0.5682343061095948
cell wall and cell processes,1.0,0.54421768707483,0.7190226699223076,0.5706337542365256
intermediary metabolism and respiration,0.01,0.5996592844974447,0.6693857933968869,0.597250190032939
intermediary metabolism and respiration,0.1,0.565587734241908,0.6709584758407233,0.6081033974204274
intermediary metabolism and respiration,1.0,0.5502555366269165,0.700421022068704,0.602230981685571
regulatory proteins,0.01,0.5527210884353742,0.6836299940432247,0.49536777091521617
regulatory proteins,0.1,0.6729131175468483,0.6471705880427214,0.5721036870671907
regulatory proteins,1.0,0.65587734241908,0.7137562505195848,0.55625
"virulence, detoxification, adaptation",0.01,0.5561224489795918,0.6847471844911639,0.5897790055248618
"virulence, detoxification, adaptation",0.1,0.6524701873935264,0.6480689672591259,0.6046584630838774
"virulence, detoxification, adaptation",1.0,0.6683673469387755,0.6757211790005204,0.5805063502673797
insertion seqs and phages,0.01,0.7738095238095238,0.49255340543141285,0.8148479427549196
insertion seqs and phages,0.1,0.8500851788756388,0.4152527515532704,0.7755844796742952
insertion seqs and phages,1.0,0.838160136286201,0.439586252986293,0.8436621518016867
lipid metabolism,0.01,0.5587734241908007,0.6783051762766109,0.543933708567855
lipid metabolism,0.1,0.5911413969335605,0.6751429056436079,0.5421001525870439
lipid metabolism,1.0,0.5894378194207837,0.6935339932890472,0.5590581217922043
PE/PPE,0.01,0.6541737649063032,0.5925372232490782,0.6957684957684958
PE/PPE,0.1,0.7597955706984668,0.5003977726385753,0.8112612612612612
PE/PPE,1.0,0.7921635434412265,0.5281701200379003,0.8042042042042042
