category,C_reg,accuracy,log_loss
information pathways,0.01,0.6394557823129252,0.6386953110130684
information pathways,0.1,0.6609880749574105,0.6334001942474079
information pathways,1.0,0.6717687074829932,0.6553590810189424
cell wall and cell processes,0.01,0.5493197278911565,0.6797085127332401
cell wall and cell processes,0.1,0.5476190476190477,0.6803431420906413
cell wall and cell processes,1.0,0.5502555366269165,0.7212581738046944
intermediary metabolism and respiration,0.01,0.606473594548552,0.6611049434446064
intermediary metabolism and respiration,0.1,0.5621805792163543,0.6809840044144736
intermediary metabolism and respiration,1.0,0.5595238095238095,0.7000195877269302
regulatory proteins,0.01,0.5706984667802385,0.6751348628674748
regulatory proteins,0.1,0.6695059625212947,0.6571831558128962
regulatory proteins,1.0,0.6814310051107325,0.6715879066145345
"virulence, detoxification, adaptation",0.01,0.5911413969335605,0.677526068498726
"virulence, detoxification, adaptation",0.1,0.6592844974446337,0.642112721431224
"virulence, detoxification, adaptation",1.0,0.6848381601362862,0.6289901986348214
insertion seqs and phages,0.01,0.7772108843537415,0.4701751691096711
insertion seqs and phages,0.1,0.8316326530612245,0.4432953748552742
insertion seqs and phages,1.0,0.8299319727891157,0.44575064972379586
lipid metabolism,0.01,0.5689948892674617,0.6780676592559833
lipid metabolism,0.1,0.6286201022146508,0.6714168250937592
lipid metabolism,1.0,0.6326530612244898,0.6923199707312101
PE/PPE,0.01,0.6938775510204082,0.5778626117382994
PE/PPE,0.1,0.7874149659863946,0.4877093097552908
PE/PPE,1.0,0.807495741056218,0.5337866917993905
