category,C_reg,accuracy,log_loss,log_loss_err
information pathways,0.01,0.6201022146507666,0.6470559148439426,0.016736452543860705
information pathways,0.1,0.6575809199318569,0.6403589836043356,0.025238720134557826
information pathways,1.0,0.6695059625212947,0.6206433848375524,0.031306569577307215
cell wall and cell processes,0.01,0.5332197614991482,0.6864234301985733,0.002795645317084474
cell wall and cell processes,0.1,0.5706984667802385,0.6827823151471757,0.011590335007931303
cell wall and cell processes,1.0,0.5519591141396933,0.6851483792302027,0.004115712351852066
intermediary metabolism and respiration,0.01,0.5724020442930153,0.6752787807927949,0.002167545145525129
intermediary metabolism and respiration,0.1,0.5741056218057922,0.6702941932057493,0.013173743077034377
intermediary metabolism and respiration,1.0,0.565587734241908,0.6945988554671698,0.01615562327147471
regulatory proteins,0.01,0.5366269165247018,0.6932539303298604,0.008149797541799187
regulatory proteins,0.1,0.6105442176870748,0.669372438148549,0.00940693569409307
regulatory proteins,1.0,0.6252129471890971,0.6838771522332708,0.013054708129523161
"virulence, detoxification, adaptation",0.01,0.4846938775510204,0.6991763490668044,0.005581759823671834
"virulence, detoxification, adaptation",0.1,0.6326530612244898,0.6689863679490763,0.023957651731868833
"virulence, detoxification, adaptation",1.0,0.6394557823129252,0.6719456541187858,0.019648915856020292
insertion seqs and phages,0.01,0.7325383304940375,0.5418462717926009,0.01337123870984822
insertion seqs and phages,0.1,0.7836456558773425,0.4799419314805755,0.018130471350279436
insertion seqs and phages,1.0,0.7887563884156729,0.5046802907438674,0.037764581663670894
lipid metabolism,0.01,0.5178875638841567,0.6877246607308793,0.008199655817983846
lipid metabolism,0.1,0.5629251700680272,0.6820691169937514,0.01156337884678203
lipid metabolism,1.0,0.5561224489795918,0.6758111690171893,0.01650030591792632
PE/PPE,0.01,0.6479591836734694,0.6052195595317451,0.015384347683517695
PE/PPE,0.1,0.7142857142857143,0.5609475963598894,0.030678056928586907
PE/PPE,1.0,0.7325383304940375,0.5711329494316493,0.026792276551987564
