Rv_ID,2003A_Sassetti_q_val,2003B_Sassetti_q_val,2005_Rengarajan_q_val,2006_Joshi_GI_1_q_val,2006_Joshi_GI_2_q_val,2011_Griffin_2_q_val,2013_Zhang_1_q_val,2013_Zhang_2_q_val,2013_Zhang_3A_q_val,2013_Zhang_3B_q_val,2013_Zhang_3C_q_val,2013_Zhang_3D_q_val,2016_Korte_q_val,2017_Mishra_1A_q_val,2017_Mishra_1B_q_val,2017_Mishra_1C_q_val,2017_Mishra_1D_q_val,2018_Rittershaus_1A_q_val,2018_Rittershaus_1B_q_val,2012_Zhang_q_val,2015_Kieser_GI_1_q_val,2015_Kieser_GI_2_q_val,2015_Kieser_GI_3_q_val,2015_Mendum_q_val,2016_Nambi_q_val,2017_Xu_1A_q_val,2017_Xu_1B_q_val,2017_Xu_1C_q_val,2017_Xu_1D_q_val,2017_Xu_1E_q_val,2018_Carey_1A_q_val,2018_Carey_1B_q_val,2018_Carey_1C_q_val,2018_Carey_1D_q_val,2018_Carey_1E_q_val,2018_Carey_1F_q_val,2018_Carey_1G_q_val,2018_Carey_1H_q_val,2017B_DeJesus_1A_q_val,2017B_DeJesus_1B_q_val,2017B_DeJesus_1C_q_val,marP_q_val,Rv0950_q_val,Rv3916c_q_val,Rv0307c_q_val,Rv3717_q_val,ponA1_q_val,Rv1565c_q_val,Rv3684_q_val,Rv0954_q_val,Rv3811_q_val,Rv1096_q_val,Rv2680_q_val,Rv1432_q_val,Rv3594_q_val,Rv3005c_q_val
Rv0001,0.0040641567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088,0.27306935729628695,0.0815293571247457,0.605682421590272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11204445,0.09911901,0.09643956,0.56176,1.0,1.0,0.74036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75078
Rv0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009,0.7534796800297808,0.16068774688640303,0.654276995891798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11056958,0.10304851,0.10212795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0003,1.0,1.0,1.0,1.0,1.0,1.0,8.7e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1151,0.6074589535852529,0.545435192237859,0.36610160359881794,0.3083201059935802,0.41451890659999996,1.0,1.0,1.0,1.0,0.354781,1.0,1.0,0.6759,1.0,1.0,1.0,1.0,1.0,0.13543114,0.14847118,0.11969946,0.30369,1.0,1e-05,0.7528199999999999,1.0,1.0,1e-05,1.0,0.3826,1.0,1.0,0.42468,0.6997399999999999,1.0,0.49222
Rv0005,3.637654e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088,0.4898336256894,0.0819471325477351,0.722442082310915,1.0,0.3303929639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06563806,0.05906191,0.06464366,1.0,1.0,0.18879,0.10032999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39119,0.46795,1.0,0.38871999999999995
Rv0006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088,0.575509767713367,0.37427184247094897,0.6596897790815279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11257268,0.1016971,0.10225466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0007,1.0,1.0,1.0,1.0,1.0,1.0,7.26e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000181056,1.0,0.9569,0.027168401352986,0.272492043878379,0.0933534079857854,0.2994947270544253,0.4658425532,1e-05,1e-05,1.0,0.953025,1e-05,1.0,0.7091,1.0,1.0,1.0,1.0,1.0,1.0,0.07624335,0.00085625,0.09963292,0.08567000000000001,1.0,0.1263,1e-05,1.0,0.69296,1e-05,1.0,0.7375,1.0,1.0,0.96076,1.0,1.0,1.0
Rv0008c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,0.747142857142857,0.9785714285714279,0.614285714285715,0.9638628773708576,0.4700266254,1.0,1.0,1.0,1.0,1.0,0.474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1189751,0.11461872,0.11125837,1.0,1.0,0.38416,0.20134000000000002,1.0,0.96755,0.78335,1.0,1.0,1.0,1.0,0.82688,0.5451699999999999,1.0,0.7322
Rv0009,1.0,1.0,1.0,1.0,1.0,0.003150268456367071,0.0007250510000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47074009324009397,0.23627622377622398,0.15681235431235402,0.1876039721276957,0.16975666670000003,1.0,1.0,1.0,1.0,0.999183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10158195,0.13849457,0.06471181,0.78052,1.0,1.0,1.0,0.7065899999999999,1.0,0.07705,1.0,0.78445,1.0,1.0,0.51575,1.0,1.0,0.45547
Rv0010c,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.589056423072004,0.7063032364300509,0.7008994300951711,0.02655445120179033,0.3087005097,1.0,1.0,1.0,1.0,1.0,1.0,0.8096,1.0,1.0,1.0,1.0,1.0,1.0,0.12330953,0.10570721,0.11893868,1.0,1.0,0.30595,1.0,1.0,1.0,0.6993699999999999,1.0,1.0,1.0,1.0,1.0,0.96544,1.0,0.30178
Rv0011c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.605,0.39999999999999897,0.934,0.6551850130389677,1.0,0.7760130000000001,1.0,0.842683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0921413,0.08113609,0.08383465,0.35305,1.0,1.0,1.0,1.0,0.96755,1.0,1.0,0.48553,1.0,1.0,1.0,1.0,1.0,1.0
Rv0012,1.0,1.0,1.0,1.0,1.0,1.0,0.004086613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.9271,0.5748847572189351,0.7121202122946,0.39697962041392604,0.008234921122489264,0.19531893809999998,0.010116,1.0,0.238069,0.033479,0.211085,1.0,1.0,0.6890000000000001,1.0,1.0,1.0,1.0,1.0,0.12998474,0.13657149,0.05375462,1e-05,1.0,1.0,1e-05,0.9533,1.0,0.0293,1.0,1.0,1.0,1.0,1.0,0.7672100000000001,1.0,1.0
Rv0013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0066,0.0796016705856282,0.7014280989807211,0.8138673228741451,0.8256697368210139,0.4389651799,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03346794,0.01564489,0.01525875,0.56355,1.0,0.70426,0.66055,1.0,1.0,0.75454,1.0,1.0,1.0,1.0,0.79435,0.39939,1.0,0.69871
Rv0014c,0.0056604640000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0714,0.8079894631231949,0.337894700424811,0.89406315206797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10848757,0.10371739,0.10163993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0015c,0.00062543154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0325,0.644890761772133,0.26752429789767607,0.895760227801774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11592006,0.09792451,0.09621023,0.8757799999999999,1.0,1.0,0.66055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7934899999999999,1.0,1.0
Rv0016c,1.0,1.0,1.0,1.0,1.0,1.0,2.47e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.596,0.760274245901279,0.936921137766693,0.7088697576011121,0.003158748318937115,0.4923549161,0.020987000000000002,0.080321,1.0,1e-05,7.8e-05,0.6192,1.0,0.9111,0.9905,1.0,0.922,1e-05,1.0,0.13069724,0.11409043,0.12268444,1e-05,1.0,0.7979999999999999,0.00389,1.0,1.0,1.0,1.0,1e-05,1.0,1.0,0.64966,1e-05,1.0,0.45307
Rv0017c,1.0,1.0,0.05,1.0,1.0,1.0,2.9399999999999997e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8326,0.45396067913611604,0.945387549752509,0.385021789818443,0.006874170539412347,0.4549827542,0.000354,1.0,1.0,1e-05,0.070388,1.0,1.0,0.7722,1.0,1.0,1.0,0.4262,1.0,0.00900464,0.12125403,0.00984584,1e-05,1.0,0.80653,1e-05,1.0,1.0,0.04508,1.0,1e-05,1.0,1.0,0.01923,0.13337000000000002,1.0,0.13164
Rv0018c,1.0,1.0,0.05,1.0,1.0,1.0,7.68e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363,0.8021938656244899,0.32114383912851097,0.27571228091793204,0.1111663902341302,0.19869619379999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6913,1.0,1.0,1.0,1.0,1.0,0.12000206,0.11666495,0.07622825,0.0265,1.0,0.014169999999999999,0.6895100000000001,0.06384,1.0,0.66156,1.0,0.0347,1.0,1.0,0.7218100000000001,0.16843,1.0,1.0
Rv0019c,1.0,1.0,0.05,1.0,1.0,1.0,0.005346101999999999,0.036291718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0640850600441758,0.269307131093487,0.73188949201048,0.057705959007487914,0.48224381780000003,0.101256,0.978326,0.86167,0.0009109999999999999,1.0,1.0,1.0,0.1301,1.0,1.0,1.0,1.0,1.0,0.14418983,0.11429160000000002,0.12294495,1e-05,1.0,0.0033799999999999998,0.17365999999999998,0.025910000000000002,0.12099000000000001,1.0,1.0,0.04604,0.44688,1.0,1.0,0.5969399999999999,1.0,1.0
Rv0020c,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2565,0.463398616866032,0.775033183059178,0.64823424797615,0.007086556319293694,0.4780202643,1.0,1.0,1.0,0.003208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07087945,0.03394344,0.05705583,1e-05,1.0,0.70426,0.63265,1.0,1.0,0.16605,1.0,0.259,1.0,1.0,1.0,1.0,1.0,0.30466
Rv0022c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0546293706293707,0.5179813519813521,0.17355400155400197,1.0,0.4041169648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14452191,0.14216446,0.15913881,1.0,1.0,0.8866299999999999,1.0,1.0,1.0,0.50837,1.0,1.0,1.0,1.0,0.46776999999999996,0.18028,1.0,0.83031
Rv0023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009,0.17587121574818101,0.19707135423914604,0.359317338329571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10004096,0.09260138,0.09418374,0.81653,1.0,1.0,1.0,1.0,0.96755,1.0,1.0,0.49218,1.0,1.0,1.0,1.0,1.0,1.0
Rv0024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6099,0.2755265596813,0.22798313278988602,0.41462188501550706,0.831244037612951,0.2807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17521491,0.16384279,0.11997372,0.76993,1.0,0.99173,0.32056,1.0,1.0,0.7732899999999999,1.0,1.0,1.0,1.0,0.49108,0.24528000000000003,1.0,0.4960100000000001
