Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0001,Rv0685,Rv2361c,Rv3806c,Rv1094,Rv1603,Rv2247,Rv0534c,Rv0951,Rv2726c,Rv1656
Rv0002,Rv3596c,Rv2906c,Rv2987c,Rv3031,Rv2109c,Rv1658,Rv1652,Rv0803,Rv2580c,Rv1606
Rv0003,Rv2737c,Rv1984c,Rv3339c,Rv3451,Rv2275,Rv2873,Rv3504,Rv1634,Rv3287c,Rv1542c
Rv0004,Rv2246,Rv2837c,Rv2165c,Rv1340,Rv1248c,Rv3764c,Rv0462,Rv2110c,Rv2391,Rv2392
Rv0005,Rv1169c,Rv3518c,Rv1938,Rv3565,Rv1187,Rv2816c,Rv2870c,Rv1608c,Rv1218c,Rv0220
Rv0006,Rv0286,Rv2294,Rv1625c,Rv3366,Rv1161,Rv1196,Rv2299c,Rv0977,Rv1660,NONE
Rv0007,Rv2171,Rv2051c,Rv2733c,Rv2869c,Rv3413c,Rv0859,Rv0860,Rv1698,Rv1932,Rv1700
Rv0008c,Rv1917c,Rv0654,Rv1885c,Rv1021,Rv3667,Rv3765c,Rv3328c,Rv0192,Rv2822c,Rv2217
Rv0009,Rv3823c,Rv3433c,Rv0019c,Rv1819c,Rv1492,Rv1701,Rv3036c,Rv0256c,Rv0627,Rv2977c
Rv0010c,Rv1777,Rv3133c,Rv3089,Rv3506,Rv3734c,Rv1180,Rv2429,Rv0114,Rv2821c,Rv0182c
Rv0011c,Rv2594c,Rv2582,Rv3804c,Rv2981c,Rv2220,Rv0946c,Rv1631,Rv3001c,Rv0016c,Rv0440
Rv0012,Rv2359,Rv1539,Rv1822,Rv2476c,Rv2613c,Rv1477,Rv1538c,Rv2419c,Rv0018c,Rv0465c
Rv0013,Rv2745c,Rv1114,Rv0902c,Rv3168,Rv2829c,Rv1938,Rv2586c,Rv0126,Rv0900,Rv2870c
Rv0014c,Rv1449c,Rv0642c,Rv1345,Rv2786c,Rv2221c,Rv1336,Rv1962c,Rv1602,Rv1285,Rv3441c
Rv0015c,Rv3469c,Rv1843c,Rv1760,Rv1747,Rv2029c,Rv0676c,Rv0351,Rv0159c,Rv1915,Rv0447c
Rv0016c,Rv2882c,Rv1631,Rv2981c,Rv0824c,Rv3443c,Rv3914,Rv0733,Rv3032,Rv3465,Rv2773c
Rv0017c,Rv3443c,Rv2882c,Rv3914,Rv0824c,Rv0016c,Rv3032,Rv0733,Rv1631,Rv2773c,Rv3465
Rv0018c,Rv1477,Rv2419c,Rv1314c,Rv1183,Rv1539,Rv1493,Rv2476c,Rv3535c,Rv2359,Rv2613c
Rv0019c,Rv3433c,Rv1819c,Rv3823c,Rv0009,Rv3036c,Rv0627,Rv3838c,Rv2977c,Rv2710,Rv1701
Rv0020c,Rv0948c,Rv0130,Rv3270,Rv0678,Rv1884c,Rv3417c,Rv3223c,Rv2466c,Rv0949,Rv3024c
Rv0021c,Rv2349c,Rv1690,Rv1297,Rv3065,Rv1552,Rv2136c,Rv3825c,Rv0194,Rv2501c,Rv2631
Rv0022c,Rv2066,Rv1665,Rv2741,Rv2868c,Rv3085,Rv2208,Rv3653,Rv3780,Rv2200c,Rv3809c
Rv0023,Rv0284,Rv2178c,Rv3713,Rv2122c,Rv3028c,Rv0639,Rv1110,Rv2139,Rv3721c,Rv1295
Rv0024,Rv2841c,Rv0549c,Rv3791,Rv1699,Rv1605,Rv3384c,Rv0558,Rv1475c,Rv2145c,Rv0382c
Rv0025,Rv0654,Rv1885c,Rv3780,Rv0008c,Rv3765c,Rv1917c,Rv2793c,Rv3903c,Rv2584c,Rv3328c
Rv0026,Rv1737c,Rv2848c,Rv3853,Rv2031c,Rv1596,Rv1258c,Rv3855,Rv1448c,Rv0533c,Rv1088
Rv0027,Rv0987,Rv0969,Rv2549c,Rv1872c,Rv0277c,Rv0986,Rv0586,Rv2866,Rv3229c,Rv1553
Rv0028,Rv1981c,Rv1103c,Rv1242,Rv2196,Rv0512,Rv2748c,Rv3886c,Rv1372,Rv1558,Rv3660c
Rv0029,Rv2870c,Rv3518c,Rv0902c,Rv0005,Rv1938,Rv1169c,Rv3565,Rv1187,Rv1218c,Rv2816c
Rv0030,Rv1857,Rv2103c,Rv2010,Rv3405c,Rv1253,Rv0734,Rv2234,Rv1207,Rv2602,Rv3416
Rv0031,Rv1699,Rv3791,Rv0153c,Rv1330c,Rv2841c,Rv1605,Rv0886,Rv0382c,Rv0079,Rv0549c
Rv0032,Rv2482c,Rv2801A,Rv1650,Rv1077,Rv3379c,Rv0468,Rv1329c,Rv0853c,Rv1288,Rv1601
Rv0033,Rv2484c,Rv3487c,Rv0838,Rv3056,Rv0518,Rv0194,Rv0844c,Rv2820c,Rv1384,Rv3080c
Rv0034,Rv0438c,Rv3318,Rv2922c,Rv2112c,Rv1909c,Rv2579,Rv1675c,Rv0206c,NONE,NONE
Rv0035,Rv1997,Rv1392,Rv2824c,Rv1311,Rv2440c,Rv2121c,Rv1484,Rv2095c,Rv0417,Rv2742c
Rv0036c,Rv0079,Rv0153c,Rv1202,Rv2150c,Rv1131,Rv2453c,Rv3389c,Rv1330c,Rv0503c,Rv1699
Rv0037c,Rv1602,Rv1345,Rv3420c,Rv2421c,Rv1449c,Rv2614c,Rv2221c,Rv2746c,Rv1640c,Rv0491
Rv0038,Rv0079,Rv1474c,Rv0153c,Rv1475c,Rv2181,Rv2453c,Rv1699,Rv3791,Rv2150c,Rv2841c
Rv0039c,Rv3913,Rv1027c,Rv3378c,Rv3561,Rv3793,Rv1400c,Rv1558,Rv1931c,Rv0512,Rv2332
Rv0040c,Rv1819c,Rv0019c,Rv3433c,Rv3036c,Rv0627,Rv3823c,Rv3838c,Rv0009,Rv2977c,Rv2710
Rv0041,Rv2610c,Rv2460c,Rv0429c,Rv1606,Rv1389,Rv3834c,Rv3800c,Rv2845c,Rv2357c,Rv2703
Rv0042c,Rv0982,Rv0496,Rv1537,Rv1259,Rv3240c,Rv2919c,Rv2865,Rv3149,Rv3358,Rv0596c
Rv0043c,Rv3570c,Rv3881c,Rv3545c,Rv3537,Rv3534c,Rv3571,Rv1963c,Rv3910,Rv2710,Rv2034
Rv0044c,Rv1088,Rv3911,Rv0749,Rv0418,Rv3062,Rv0500,Rv0070c,Rv1258c,Rv1562c,Rv2530c
Rv0045c,Rv0203,Rv2118c,Rv0137c,Rv2232,Rv1302,Rv0933,Rv2702,Rv0486,Rv0668,Rv2928
Rv0046c,Rv0639,Rv2139,Rv3915,Rv0562,Rv0423c,Rv3713,Rv2178c,Rv2122c,Rv0284,Rv0706
Rv0047c,Rv1335,Rv1962c,Rv0379,Rv2743c,Rv1379,Rv1336,Rv3441c,Rv2786c,Rv0642c,Rv2946c
Rv0048c,Rv1983,Rv1876,Rv2296,Rv0845,Rv0643c,Rv1980c,Rv3377c,Rv1028c,Rv3573c,Rv3825c
Rv0049,Rv1259,Rv0982,Rv3240c,Rv2919c,Rv2865,Rv0496,Rv3358,Rv0596c,Rv1537,Rv0211
Rv0050,Rv1284,Rv1897c,Rv1108c,Rv2179c,Rv3383c,Rv0469,Rv1102c,Rv0409,Rv0732,Rv3214
Rv0051,Rv2702,Rv0933,Rv0486,Rv0137c,Rv2928,Rv0045c,Rv2596,Rv2530c,Rv3754,Rv0203
Rv0052,Rv2631,Rv3409c,Rv3065,Rv2349c,Rv2136c,Rv0221,Rv1690,Rv3619c,Rv1297,Rv0458
Rv0053,Rv2392,Rv2110c,Rv0462,Rv1248c,Rv3764c,Rv0489,Rv1956,Rv3588c,Rv2445c,Rv2165c
Rv0054,Rv3808c,Rv3225c,Rv2701c,Rv1771,Rv2725c,Rv1189,Rv1075c,Rv2823c,Rv1399c,Rv2539c
Rv0055,Rv0805,Rv2933,Rv2939,Rv2941,Rv2934,Rv2930,Rv2932,Rv2931,Rv2935,Rv3518c
Rv0056,Rv1701,Rv1391,Rv2151c,Rv1280c,Rv0009,Rv1492,Rv3823c,Rv2977c,Rv3433c,Rv0256c
Rv0057,Rv2817c,Rv2819c,Rv2818c,Rv0192,Rv0694,Rv1021,Rv1495,Rv0065,Rv2822c,Rv2217
Rv0058,Rv3232c,Rv1032c,Rv0535,Rv3406,Rv0103c,Rv1213,Rv2924c,Rv1151c,Rv1010,Rv0183
Rv0059,Rv2063A,Rv1850,Rv3744,Rv2573,Rv0132c,Rv1155,Rv3547,Rv0602c,Rv1469,Rv2973c
Rv0060,Rv0900,Rv0126,Rv2829c,Rv3835,Rv1114,Rv3168,Rv0626,Rv0211,Rv0596c,Rv2586c
Rv0061,Rv3203,Rv0187,Rv1223,Rv2959c,Rv2688c,Rv1076,Rv0577,Rv1219c,Rv1425,Rv3470c
Rv0061c,Rv1020,Rv0938,Rv3879c,Rv1994c,Rv3083,Rv1013,Rv1162,Rv1155,Rv2063A,Rv1850
Rv0062,Rv3608c,Rv1295,Rv3051c,Rv1613,Rv1110,Rv3048c,Rv2343c,Rv3028c,Rv1327c,Rv2612c
