Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,marP,Rv0950,Rv3916c,Rv0307c,Rv3717,ponA1,Rv1565c,Rv3684,Rv0954,Rv3811,Rv1096,Rv2680,Rv1432,Rv3594,Rv3005c
Rv0001,dnaA,0.0040641567,,,,,,,,,,,,,,,,0.0088,0.273069357296287,0.0815293571247457,0.605682421590272,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11204445,0.09911901,0.09643956,0.56176,1.0,1.0,0.74036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75078
Rv0002,dnaN,,,,,,,,,,,,,,,,,0.0009,0.753479680029781,0.160687746886403,0.654276995891798,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11056958,0.10304851,0.10212795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0003,recF,,,,,,,8.82e-09,8.7e-05,,,,,,,,,0.1151,0.607458953585253,0.545435192237859,0.366101603598818,0.3083201059935802,0.4145189066,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,0.354781,1.0,1.0,0.6759,1.0,1.0,1.0,1.0,1.0,0.13543114,0.14847118,0.11969946,0.30369,1.0,0.0,0.7528199999999999,1.0,1.0,0.0,1.0,0.3826,1.0,1.0,0.42468,0.6997399999999999,1.0,0.49222
Rv0004,-,,,,,,,,,,,,,,,,,,0.909333333333334,1.0,1.0,0.03724224379333688,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09524894,0.09352319,0.09943336,0.08567000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98049,1.0,1.0,1.0,1.0,1.0,1.0
Rv0005,gyrB,3.637654e-06,,,,,,,,,,,,,,,,0.0088,0.4898336256894,0.0819471325477351,0.722442082310915,,0.3303929639,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06563806,0.05906191,0.06464366,1.0,1.0,0.18879,0.10033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39119,0.46795,1.0,0.38872
Rv0006,gyrA,,,,,,,,,,,,,,,,,0.0088,0.575509767713367,0.374271842470949,0.659689779081528,,,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11257268,0.1016971,0.10225466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0007,-,,,,,,,0.000251,7.26e-06,,,,,,,0.000181056,,0.9569,0.027168401352986,0.272492043878379,0.0933534079857854,0.2994947270544253,0.4658425532,0.5122896175,0.509836727,0.0,0.0,1.0,0.953025,0.0,1.0,0.7091,1.0,1.0,1.0,1.0,1.0,1.0,0.07624335,0.00085625,0.09963292,0.08567000000000001,1.0,0.1263,0.0,1.0,0.69296,0.0,1.0,0.7375,1.0,1.0,0.9607600000000001,1.0,1.0,1.0
Rv0008c,-,,,,,,,,,,,,,,,,,,0.747142857142857,0.978571428571428,0.614285714285715,0.9638628773708576,0.4700266254,0.1167,0.03107,1.0,1.0,1.0,1.0,1.0,0.474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1189751,0.11461872,0.11125837,1.0,1.0,0.38416,0.20134,1.0,0.96755,0.78335,1.0,1.0,1.0,1.0,0.82688,0.5451699999999999,1.0,0.7322
Rv0009,ppiA,,,,,,0.003150268456367071,0.00753,0.000725051,,,,,,,,,,0.470740093240094,0.236276223776224,0.156812354312354,0.1876039721276957,0.1697566667,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,0.999183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10158195,0.13849457,0.06471181,0.78052,1.0,1.0,1.0,0.7065899999999999,1.0,0.07705,1.0,0.78445,1.0,1.0,0.51575,1.0,1.0,0.45547
Rv0010c,-,,,,,,,,,,,,,,,,,,0.589056423072004,0.706303236430051,0.700899430095171,0.02655445120179033,0.3087005097,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,0.8096,1.0,1.0,1.0,1.0,1.0,1.0,0.12330953,0.10570721,0.11893868,1.0,1.0,0.30595,1.0,1.0,1.0,0.6993699999999999,1.0,1.0,1.0,1.0,1.0,0.96544,1.0,0.30178
