Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD90,BXD93,BXD9,DBA
Rv0001,dnaA,0.0040641567,,,,,,,,,,,,,,,,0.0088,0.273069357296287,0.0815293571247457,0.605682421590272,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11204445,0.09911901,0.09643956,1.0,1.0,1.0,1.0,1.0,1.0,0.7414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0002,dnaN,,,,,,,,,,,,,,,,,0.0009,0.753479680029781,0.160687746886403,0.654276995891798,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11056958,0.10304851,0.10212795,1.0,0.99933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0003,recF,,,,,,,8.82e-09,8.7e-05,,,,,,,,,0.1151,0.607458953585253,0.545435192237859,0.366101603598818,0.3083201059935802,0.4145189066,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,0.354781,1.0,1.0,0.6759,1.0,1.0,1.0,1.0,1.0,0.13543114,0.14847118,0.11969946,1.0,1.0,1.0,0.82656,1.0,1.0,0.294,1.0,1.0,1.0,1.0,1.0,0.97187,0.18516,1.0,1.0,0.931,1.0,1.0,1.0,0.91886
Rv0004,-,,,,,,,,,,,,,,,,,,0.909333333333334,1.0,1.0,0.0372422437933368,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09524894,0.09352319,0.09943336,1.0,1.0,1.0,1.0,0.79359,1.0,1.0,1.0,1.0,0.74461,0.8269,0.63921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96831
Rv0005,gyrB,3.637654e-06,,,,,,,,,,,,,,,,0.0088,0.4898336256894,0.0819471325477351,0.722442082310915,,0.3303929639,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06563806,0.05906191,0.06464366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96998,1.0,1.0,1.0,0.9855,1.0,1.0,1.0,1.0,1.0,1.0
Rv0006,gyrA,,,,,,,,,,,,,,,,,0.0088,0.575509767713367,0.374271842470949,0.659689779081528,,,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11257268,0.1016971,0.10225466,1.0,1.0,1.0,0.8781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97824,1.0,1.0,1.0,0.97811,0.97593,0.73103
Rv0007,-,,,,,,,0.000251,7.26e-06,,,,,,,0.000181056,,0.9569,0.027168401352986,0.272492043878379,0.0933534079857854,0.2994947270544253,0.4658425532,0.5122896175,0.509836727,0.0,0.0,1.0,0.953025,0.0,1.0,0.7091,1.0,1.0,1.0,1.0,1.0,1.0,0.07624335,0.00085625,0.09963292,1.0,0.46862,1.0,0.44321,0.78458,1.0,1.0,1.0,1.0,1.0,0.39986,0.78229,0.46816,0.86876,0.44429,1.0,1.0,1.0,0.50863,0.91057,0.99641
Rv0008c,-,,,,,,,,,,,,,,,,,,0.747142857142857,0.978571428571428,0.614285714285715,0.9638628773708576,0.4700266254,0.1167,0.03107,1.0,1.0,1.0,1.0,1.0,0.474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1189751,0.11461872,0.11125837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58892,1.0,1.0
Rv0009,ppiA,,,,,,0.003150268456367,0.00753,0.000725051,,,,,,,,,,0.470740093240094,0.236276223776224,0.156812354312354,0.1876039721276957,0.1697566667,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,0.999183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10158195,0.13849457,0.06471181,1.0,1.0,0.29767,0.28205,0.58877,1.0,1.0,0.82495,1.0,0.8223,1.0,1.0,0.86012,1.0,0.11906,0.819,0.2561,0.90181,0.32129,0.18534,0.56166
Rv0010c,-,,,,,,,,,,,,,,,,,,0.589056423072004,0.706303236430051,0.700899430095171,0.0265544512017903,0.3087005097,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,0.8096,1.0,1.0,1.0,1.0,1.0,1.0,0.12330953,0.10570721,0.11893868,1.0,0.88346,1.0,0.67532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9862,1.0,1.0,1.0,1.0,1.0,0.91886
