#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv0001	1	32	31	1365	1.000000
Rv0002	0	31	31	1167	1.000000
Rv0003	12	35	7	71	0.000000
Rv0004	2	8	6	308	0.984100
Rv0005	3	43	40	1997	1.000000
Rv0006	2	46	44	2243	1.000000
Rv0007	4	11	5	393	0.612780
Rv0008c	3	4	1	2	0.000000
Rv0009	7	7	0	0	0.000000
Rv0010c	6	10	3	29	0.000000
Rv0011c	0	3	3	133	-1.000000
Rv0012	11	16	3	89	0.000000
Rv0013	1	15	14	640	0.999940
Rv0014c	0	24	24	1784	1.000000
Rv0015c	1	16	15	1244	1.000000
Rv0016c	12	36	6	133	0.000000
Rv0017c	13	27	4	149	0.000000
Rv0018c	7	25	12	695	0.999160
Rv0019c	8	13	2	20	0.000000
Rv0020c	7	52	43	1029	1.000000
Rv0021c	20	23	1	2	0.000000
Rv0022c	8	8	0	0	0.000000
Rv0023	0	12	12	582	0.999920
Rv0024	11	13	1	2	0.000000
Rv0025	7	8	1	2	0.000000
Rv0026	11	15	1	2	0.000000
Rv0027	2	5	2	31	0.000000
Rv0028	2	5	3	128	0.000940
Rv0029	15	19	1	2	0.000000
Rv0030	1	5	3	86	0.001040
Rv0031	0	1	1	2	-1.000000
Rv0032	28	57	12	231	0.097180
Rv0033	3	3	0	0	-1.000000
Rv0034	4	5	1	2	-1.000000
Rv0035	22	25	1	2	0.000000
Rv0036c	4	4	0	0	0.000000
Rv0037c	13	21	4	335	0.116320
Rv0038	6	8	1	2	0.000000
Rv0039c	2	4	2	25	0.000000
Rv0040c	5	10	3	61	0.000000
Rv0041	1	73	72	2800	1.000000
Rv0042c	3	5	1	2	0.000000
Rv0043c	8	11	1	2	0.000000
Rv0044c	16	20	1	2	0.000000
Rv0045c	7	7	0	0	0.000000
Rv0046c	0	17	17	1084	0.999980
Rv0047c	3	8	2	56	0.000000
Rv0048c	15	16	1	2	0.000000
Rv0049	6	9	1	2	0.000000
Rv0050	12	37	10	421	0.971740
Rv0051	19	34	2	22	0.000000
Rv0052	6	7	1	2	0.000000
Rv0053	0	7	7	281	0.999140
Rv0054	0	5	5	218	0.993340
Rv0055	1	5	3	69	0.000000
Rv0056	6	8	2	108	0.000000
Rv0057	7	16	3	72	0.000000
Rv0058	0	38	38	2523	1.000000
Rv0059	17	21	1	2	0.000000
Rv0060	1	23	22	998	1.000000
Rv0061	3	6	2	10	0.000000
Rv0062	19	22	1	2	0.000000
Rv0063	20	24	3	22	0.000000
Rv0064	34	69	4	167	0.000000
Rv0065	4	8	2	20	0.000000
Rv0066c	1	38	25	1656	1.000000
Rv0067c	4	12	5	327	0.762820
Rv0068	8	12	2	195	0.000000
Rv0069c	7	12	2	99	0.000000
Rv0070c	11	18	3	277	0.006320
Rv0071	5	8	3	36	0.000000
Rv0072	13	17	3	97	0.000000
Rv0073	15	16	1	2	0.000000
Rv0074	11	20	3	107	0.000000
Rv0075	20	25	1	2	0.000000
Rv0076c	3	3	0	0	-1.000000
Rv0077c	11	15	3	197	0.000000
Rv0078	4	9	2	91	0.000000
Rv0078A	9	10	1	2	0.000000
Rv0079	11	14	1	2	0.000000
Rv0080	3	5	1	2	0.000000
Rv0081	5	6	1	2	0.000000
Rv0082	4	7	3	35	0.000000
Rv0083	17	23	3	77	0.000000
Rv0084	8	9	1	2	0.000000
Rv0085	2	4	2	171	0.000020
Rv0086	9	15	1	2	0.000000
Rv0087	7	26	6	231	0.000660
Rv0088	3	14	8	409	0.979880
Rv0089	9	11	1	2	0.000000
Rv0090	8	12	1	2	0.000000
Rv0091	8	11	2	56	0.000000
Rv0092	22	30	3	140	0.000000
Rv0093c	4	8	2	56	0.000000
Rv0095c	3	9	5	227	0.005000
Rv0096	21	34	3	106	0.000000
Rv0097	15	26	2	41	0.000000
Rv0098	7	12	2	22	0.000000
Rv0099	11	32	7	416	0.713680
Rv0100	2	4	1	2	0.000000
Rv0101	68	122	5	362	0.012140
Rv0102	0	42	42	1929	1.000000
Rv0103c	24	31	2	12	0.000000
Rv0104	21	28	3	52	0.000000
Rv0105c	3	5	1	2	-1.000000
Rv0106	9	12	1	2	0.000000
Rv0107c	34	66	9	287	0.295240
Rv0108c	2	2	0	0	-1.000000
Rv0109	13	28	3	92	0.000000
Rv0110	11	13	1	2	0.000000
