Rv_ID,sanger_level_II
Rv0001,II.A - Synthesis and modification of macromolecules
Rv0002,II.A - Synthesis and modification of macromolecules
Rv0003,II.A - Synthesis and modification of macromolecules
Rv0005,II.A - Synthesis and modification of macromolecules
Rv0006,II.A - Synthesis and modification of macromolecules
Rv0009,II.A - Synthesis and modification of macromolecules
Rv0041,II.A - Synthesis and modification of macromolecules
Rv0053,II.A - Synthesis and modification of macromolecules
Rv0054,II.A - Synthesis and modification of macromolecules
Rv0055,II.A - Synthesis and modification of macromolecules
Rv0056,II.A - Synthesis and modification of macromolecules
Rv0058,II.A - Synthesis and modification of macromolecules
Rv0071,II.A - Synthesis and modification of macromolecules
Rv0105c,II.A - Synthesis and modification of macromolecules
Rv0120c,II.A - Synthesis and modification of macromolecules
Rv0126,II.A - Synthesis and modification of macromolecules
Rv0182c,II.A - Synthesis and modification of macromolecules
Rv0413,II.A - Synthesis and modification of macromolecules
Rv0427c,II.A - Synthesis and modification of macromolecules
Rv0429c,II.A - Synthesis and modification of macromolecules
Rv0445c,II.A - Synthesis and modification of macromolecules
Rv0629c,II.A - Synthesis and modification of macromolecules
Rv0630c,II.A - Synthesis and modification of macromolecules
Rv0631c,II.A - Synthesis and modification of macromolecules
Rv0639,II.A - Synthesis and modification of macromolecules
Rv0640,II.A - Synthesis and modification of macromolecules
Rv0641,II.A - Synthesis and modification of macromolecules
Rv0651,II.A - Synthesis and modification of macromolecules
Rv0652,II.A - Synthesis and modification of macromolecules
Rv0667,II.A - Synthesis and modification of macromolecules
Rv0668,II.A - Synthesis and modification of macromolecules
Rv0682,II.A - Synthesis and modification of macromolecules
Rv0683,II.A - Synthesis and modification of macromolecules
Rv0684,II.A - Synthesis and modification of macromolecules
Rv0685,II.A - Synthesis and modification of macromolecules
Rv0700,II.A - Synthesis and modification of macromolecules
Rv0701,II.A - Synthesis and modification of macromolecules
Rv0702,II.A - Synthesis and modification of macromolecules
Rv0703,II.A - Synthesis and modification of macromolecules
Rv0704,II.A - Synthesis and modification of macromolecules
Rv0705,II.A - Synthesis and modification of macromolecules
Rv0706,II.A - Synthesis and modification of macromolecules
Rv0707,II.A - Synthesis and modification of macromolecules
Rv0708,II.A - Synthesis and modification of macromolecules
Rv0709,II.A - Synthesis and modification of macromolecules
Rv0710,II.A - Synthesis and modification of macromolecules
Rv0714,II.A - Synthesis and modification of macromolecules
Rv0715,II.A - Synthesis and modification of macromolecules
Rv0716,II.A - Synthesis and modification of macromolecules
Rv0717,II.A - Synthesis and modification of macromolecules
Rv0718,II.A - Synthesis and modification of macromolecules
Rv0719,II.A - Synthesis and modification of macromolecules
Rv0720,II.A - Synthesis and modification of macromolecules
Rv0721,II.A - Synthesis and modification of macromolecules
Rv0722,II.A - Synthesis and modification of macromolecules
Rv0723,II.A - Synthesis and modification of macromolecules
Rv0735,II.A - Synthesis and modification of macromolecules
Rv0861c,II.A - Synthesis and modification of macromolecules
Rv0944,II.A - Synthesis and modification of macromolecules
Rv0949,II.A - Synthesis and modification of macromolecules
Rv0995,II.A - Synthesis and modification of macromolecules
Rv1007c,II.A - Synthesis and modification of macromolecules
Rv1010,II.A - Synthesis and modification of macromolecules
Rv1015c,II.A - Synthesis and modification of macromolecules
Rv1020,II.A - Synthesis and modification of macromolecules
Rv1080c,II.A - Synthesis and modification of macromolecules
Rv1160,II.A - Synthesis and modification of macromolecules
Rv1189,II.A - Synthesis and modification of macromolecules
Rv1210,II.A - Synthesis and modification of macromolecules
Rv1221,II.A - Synthesis and modification of macromolecules
Rv1253,II.A - Synthesis and modification of macromolecules
Rv1292,II.A - Synthesis and modification of macromolecules
Rv1297,II.A - Synthesis and modification of macromolecules
Rv1298,II.A - Synthesis and modification of macromolecules
Rv1299,II.A - Synthesis and modification of macromolecules
Rv1316c,II.A - Synthesis and modification of macromolecules
Rv1317c,II.A - Synthesis and modification of macromolecules
Rv1326c,II.A - Synthesis and modification of macromolecules
Rv1328,II.A - Synthesis and modification of macromolecules
Rv1329c,II.A - Synthesis and modification of macromolecules
Rv1364c,II.A - Synthesis and modification of macromolecules
Rv1388,II.A - Synthesis and modification of macromolecules
Rv1402,II.A - Synthesis and modification of macromolecules
Rv1406,II.A - Synthesis and modification of macromolecules
Rv1407,II.A - Synthesis and modification of macromolecules
