Rv_ID,Annotation
Rv0900,3
Rv3031,3
Rv2275,4
Rv0191,3
Rv2289,3
Rv2457c,4
Rv0363c,4
Rv0901,3
Rv1747,5
Rv0554,3
Rv0032,3
Rv2641,2
Rv1688,2
Rv2213,3
Rv1653,5
Rv2540c,5
Rv1309,3
Rv1846c,4
Rv3583c,4
Rv3792,5
Rv2613c,5
Rv2068c,5
Rv2888c,2
Rv1876,4
Rv0327c,2
Rv2223c,2
Rv2922,2
Rv1007c,4
Rv1562c,4
Rv2493,1
Rv0748,2
Rv2547,2
Rv0064A,1
Rv0026,1
Rv0104,2
Rv1360,1
Rv2102,1
Rv2204c,2
Rv1278,1
Rv1354c,2
Rv0196,1
Rv2273,1
Rv1488,2
Rv1290c,2
Rv2271,1
Rv1421,2
Rv2283,1
Rv0224c,1
Rv1979c,2
Rv2250c,1
Rv2084,1
Rv2081c,1
Rv2568c,1
Rv2565,2
Rv2047c,1
Rv0539,1
Rv0281,2
Rv3189,2
Rv0494,1
Rv3118,1
Rv1824,1
Rv1519,1
Rv1836c,2
Rv1337,1
Rv1265,1
Rv1407,2
Rv2004c,2
Rv0479c,1
Rv3129,1
Rv2578c,2
Rv2136c,3
Rv0665,2
Rv2203,1
Rv1590,1
Rv2000,1
Rv2091c,1
Rv0477,1
Rv3766,1
Rv2885c,2
Rv2900c,2
Rv3421c,1
Rv2929,1
Rv2915c,1
Rv3067,1
Rv0637,2
Rv2628,1
Rv0382c,3
Rv1478,4
Rv1416,4
Rv3924c,1
Rv0432,5
Rv2580c,3
Rv2093c,3
Rv2051c,5
Rv2883c,4
Rv1380,3
Rv0233,5
Rv1009,5
Rv2959c,3
Rv0682,3
Rv0736,5
Rv0436c,2
Rv1247c,3
Rv1409,4
Rv1981c,3
Rv3911,4
Rv3734c,5
Rv2466c,3
Rv1379,3
Rv0708,2
Rv1415,5
Rv0716,2
Rv0707,2
Rv0735,5
Rv0182c,4
Rv1643,2
Rv2357c,5
Rv2614c,3
Rv3282,3
Rv2946c,4
Rv2196,4
Rv1299,2
Rv2907c,2
Rv2625c,3
Rv2904c,2
Rv0720,2
Rv1642,2
Rv3464,4
Rv3460c,2
Rv2882c,3
Rv1390,3
Rv2865,4
Rv0652,2
Rv3214,5
Rv0929,3
Rv1297,4
Rv2869c,5
Rv2442c,2
Rv1884c,4
Rv2841c,3
Rv2176,5
Rv2612c,5
Rv3621c,1
Rv1430,4
Rv1361c,2
Rv2984,5
Rv0437c,3
Rv2962c,3
Rv0055,2
Rv0203,4
Rv2587c,3
Rv2555c,3
Rv0262c,4
Rv2920c,2
Rv1304,3
Rv3780,4
Rv1666c,2
Rv3903c,5
Rv1336,5
Rv0462,5
Rv2373c,4
Rv2476c,4
Rv3056,4
Rv0129c,5
Rv1317c,5
Rv3505,5
Rv3543c,5
Rv2070c,2
Rv0967,5
Rv0778,2
Rv0848,5
Rv0899,5
Rv2201,3
Rv3004,2
Rv3418c,5
Rv2071c,2
Rv2820c,3
Rv3227,5
Rv1569,5
Rv1901,1
Rv3059,3
Rv2276,5
Rv2003A,1
Rv0458,3
Rv2363,2
Rv2460c,4
Rv1391,4
Rv3098B,1
Rv1143,5
Rv2238c,5
Rv2747,5
Rv1570,5
Rv0889c,3
Rv2065,2
Rv0896,3
Rv3573c,5
Rv0337c,3
Rv3423c,5
Rv1229c,2
Rv1307,3
Rv3406,5
Rv3722c,4
Rv2495c,4
Rv2224c,5
Rv3417c,5
Rv0467,5
Rv3274c,2
Rv2677c,3
Rv3600c,4
Rv0503c,5
Rv0070c,5
Rv2034,4
Rv3241c,2
Rv1433,3
Rv1411c,5
Rv1016c,2
Rv0183,5
Rv3655c,3
Rv0886,3
Rv3182,2
Rv2525c,4
Rv3763,5
Rv3495c,3
Rv0642c,5
Rv2942,5
Rv0561c,4
Rv0994,3
Rv1858,2
Rv2152c,3
Rv2115c,5
Rv2214c,2
Rv1108c,3
Rv3607c,5
Rv1552,3
Rv1554,2
Rv3696c,3
Rv2626c,5
Rv2299c,3
Rv1349,5
Rv0694,3
Rv3111,4
Rv0869c,4
Rv2855,5
Rv1364c,5
Rv2244,4
Rv0236c,3
Rv2211c,3
Rv0114,3
Rv0510,3
Rv3534c,5
Rv0583c,4
Rv3597c,5
Rv2485c,2
Rv1943c,2
Rv0734,5
Rv2274A,2
Rv1345,5
Rv1522c,2
Rv2156c,3
Rv1530,2
Rv2611c,3
Rv0409,4
Rv1093,5
Rv3568c,5
Rv3339c,5
Rv2987c,3
Rv1690,3
Rv1942c,3
Rv0456A,2
Rv0403c,2
Rv1392,5
Rv1859,3
Rv2579,3
Rv1798,3
Rv3794,4
Rv1107c,2
Rv3028c,3
Rv1793,2
Rv3890c,1
Rv2151c,3
Rv0564c,4
Rv3423,5
Rv2121c,4
Rv0483,4
Rv1235,3
Rv2544,2
Rv1539,3
Rv1990c,3
Rv0202c,3
Rv0695,2
Rv1782,3
Rv3877,5
Rv3871,5
Rv3619c,3
Rv0524,3
Rv3470c,4
Rv0733,5
Rv3247c,5
Rv2455c,4
Rv1497,5
Rv2378c,3
Rv0800,2
Rv1306,3
Rv1121,3
Rv1075c,5
Rv3606c,2
Rv1031,2
Rv1860,5
Rv1483,5
Rv3810,4
Rv2090,2
Rv3102c,4
Rv0518,5
Rv2919c,3
Rv2221c,4
Rv1603,4
