,PE/PPE,cell wall and cell processes,information pathways,insertion seqs and phages,intermediary metabolism and respiration,lipid metabolism,regulatory proteins,"virulence, detoxification, adaptation"
PE35_KO_vs_mbio_H37Rv,-0.33853496611924305,0.21161580638804658,-0.3943001807098593,-0.09219555266568005,0.265255158053745,-0.17190639219991444,0.5897932015144141,-0.4938808681468812
PPE68_KO_vs_mbio_H37Rv,-0.016680898100145475,-0.18104527580523913,0.3038790508614468,0.019733360703676376,0.019440503877020787,-0.04847909960053052,-0.5891334160248229,0.11544055004428937
Rv0950c_KO_vs_CB_WT,1.9034627534377446,0.10421769385376115,-0.40542365951615245,-0.10008689521938403,-0.12369377993337391,-0.2010603650959418,0.5039991571974292,-0.04539897936737763
Rv0954_KO_vs_RJ_WT,-0.21861611553804913,-0.07509855096290799,0.09564495036854243,0.291765027358672,-0.0003277651926118519,0.18472311915436462,-0.13154484352741394,-0.039979081235791435
Rv1096_KO_vs_CB_WT,-1.114802056753319,0.18016799944674242,0.0,0.8670565433624007,0.4550095181925521,-0.22023962163394145,-0.48488806114235533,-0.023171817361560865
Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,0.029881102338521166,-0.03552534280435874,0.06630600152572597,0.02153589625303823,0.04368551812133255,0.004381092803932834,-0.06496548281929548,-0.01072697748893333
Rv3594_KO_vs_Rubin_FLUTE_WT,0.45529027488266705,0.12709885081871758,0.2040142879141602,0.1927547537573399,-0.02388733340341778,-0.1425362676230744,-0.2513926615731431,-0.13846129487651762
Rv3684_KO_vs_CB_WT,-0.8688761254098291,-0.27640169011446014,0.23619004990576942,-0.4224045832047118,-0.05561384003497746,0.14282276349515313,0.222616691286243,0.6581589733489062
Rv3717_KO_vs_Rubin_FLUTE_WT,-0.47874302029116067,-0.10680972417289804,0.17023537728019372,-0.3825636184838744,-0.0514007405550971,-0.0037157006529005905,0.04063868086703038,0.24339158750995715
Rv3811_KO_vs_Rubin_FLUTE_WT,0.016119418023562506,-0.003045374024269872,-0.0007783695849244623,-0.008382237244997797,0.047255491583500786,0.09848456489324955,-0.10841311018310265,-0.031156093302799205
bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,-0.2419398418740366,-0.05576570872613094,-0.06339150650449178,-0.617349102529125,-0.263809998568342,-0.48209574570668,0.11350676967362569,2.3021887747636094
bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,0.18842653717278582,0.045686228415289645,0.03221231906293097,0.7975998561599177,0.3943476899595238,0.43853140652621897,-0.12010785897400593,-2.3454363721231637
bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,-0.16225529400452085,0.10388595157917313,-0.06559778246997759,-0.5825180935210181,-0.3809894538402787,-0.29275573454678316,0.07358156976127933,2.0958871108984973
carey_621_vs_carey_rv,0.32842642862628985,-0.06517977791840363,-0.15961615355697986,-0.10874480011449428,0.06432641958956714,-0.02596942078238927,0.3783033286448029,0.19047732258628797
carey_630_vs_carey_rv,0.10575916888344276,-0.043004439866999956,0.0,0.05994597381497996,-0.03300712310367378,0.17927360458150304,0.13947767594622978,-0.06885440909683159
