ORF,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,Functional_Category
Rv0001,1.0,1.0,1.0,1.0,1.0,0.73174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97729,0.97882,0.01635,1.0,1.0,0.41101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89656,1.0,1.0,0.64058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0003,1.0,1.0,1.0,0.43844,1.0,0.47324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27431,1.0,1.0,0.83785,1.0,0.8650700000000001,0.98846,0.76677,0.25783,1.0,0.57712,0.7528600000000001,1.0,0.29773,0.0285,1.0,0.91889,0.50316,0.06529,0.11885,1.0,1.0,1.0,0.25111,0.77517,1.0,0.33318000000000003,0.45962,1.0,1.0,1.0,0.97527,0.21696,0.0,1.0,1.0,1.0,0.55248,1.0,1.0,1.0,1.0,1.0,0.68823,1.0,1.0,0.99313,1.0,1.0,1.0,0.06052,information pathways
Rv0005,1.0,1.0,1.0,1.0,1.0,0.62111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6739,0.93461,0.99445,1.0,1.0,0.9975,0.92659,1.0,0.30857,1.0,0.09171,0.5967100000000001,1.0,0.50131,1.0,1.0,0.41671,0.4957,0.40093,1.0,1.0,1.0,1.0,0.99242,1.0,1.0,1.0,0.95471,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70716,1.0,1.0,1.0,0.37106,information pathways
Rv0006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94709,0.39588,1.0,0.01341,0.98341,1.0,0.44204,0.4022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8749899999999999,1.0,0.60207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0007,1.0,1.0,1.0,0.7025899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7198899999999999,0.31961,0.73347,0.7472,1.0,0.91895,0.96302,0.72336,0.00263,1.0,0.0,1.0,1.0,1.0,0.0,0.6309,0.26538,0.96542,0.34492,1.0,1.0,1.0,1.0,0.17146,0.76088,1.0,0.09417,0.02765,1.0,1.0,1.0,1.0,0.21696,0.0,1.0,0.39684,0.72801,1.0,0.0,0.0,0.0,0.5596399999999999,1.0,1.0,0.0798,1.0,1.0,1.0,1.0,0.14509,0.0,cell wall and cell processes
Rv0008c,1.0,1.0,1.0,1.0,1.0,0.81476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44049,0.97702,0.76159,0.89805,1.0,1.0,0.96791,0.97154,0.28316,0.665,0.79635,0.6317699999999999,1.0,0.29906,0.8297100000000001,1.0,0.22692,0.8743700000000001,1.0,1.0,1.0,1.0,1.0,0.85082,1.0,1.0,1.0,0.57944,0.43527,0.8557299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0009,1.0,1.0,1.0,0.98715,1.0,0.54984,1.0,1.0,0.91508,1.0,1.0,1.0,1.0,0.10869,0.7198,1.0,0.9018,1.0,1.0,0.75005,0.97148,0.10352,1.0,0.46222,1.0,1.0,1.0,0.16963,1.0,0.99507,0.6218600000000001,1.0,1.0,1.0,1.0,1.0,0.7581399999999999,1.0,1.0,0.82186,0.93255,1.0,1.0,1.0,0.56087,0.00499,0.03005,1.0,0.77561,0.01847,0.8671,0.54374,1.0,1.0,1.0,1.0,1.0,1.0,0.26349,1.0,1.0,1.0,0.87766,0.00201,information pathways
Rv0010c,1.0,1.0,1.0,1.0,1.0,0.52056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61282,1.0,0.75367,1.0,1.0,0.9849,0.62744,1.0,1.0,0.68505,0.99346,1.0,0.91784,0.73678,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461,1.0,1.0,1.0,0.86321,1.0,1.0,1.0,1.0,0.75575,1.0,1.0,1.0,1.0,1.0,1.0,0.97297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0011c,1.0,1.0,1.0,0.42482,1.0,0.73055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8082699999999999,0.6452600000000001,0.81955,0.96375,0.8623799999999999,0.99214,0.66461,0.6661600000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4268,1.0,1.0,0.36764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,cell wall and cell processes
