Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_in_vitro,A.J_vs_in_vitro,C57BL.6J_vs_in_vitro,CC001.Unc_vs_in_vitro,CC002.Unc_vs_in_vitro,CC003.Unc_vs_in_vitro,CC004.TauUnc_vs_in_vitro,CC005.TauUnc_vs_in_vitro,CC006.TauUnc_vs_in_vitro,CC007.Unc_vs_in_vitro,CC008.GeniUnc_vs_in_vitro,CC009.Unc_vs_in_vitro,CC010.GeniUnc_vs_in_vitro,CC011.Unc_vs_in_vitro,CC012.GeniUnc_vs_in_vitro,CC013.GeniUnc_vs_in_vitro,CC015.Unc_vs_in_vitro,CC016.GeniUnc_vs_in_vitro,CC017.Unc_vs_in_vitro,CC018.Unc_vs_in_vitro,CC019.TauUnc_vs_in_vitro,CC021.Unc_vs_in_vitro,CC022.GeniUnc_vs_in_vitro,CC023.GeniUnc_vs_in_vitro,CC024.GeniUnc_vs_in_vitro,CC025.GeniUnc_vs_in_vitro,CC027.GeniUnc_vs_in_vitro,CC028.GeniUnc_vs_in_vitro,CC030.GeniUnc_vs_in_vitro,CC031.GeniUnc_vs_in_vitro,CC032.GeniUnc_vs_in_vitro,CC033.GeniUnc_vs_in_vitro,CC034.Unc_vs_in_vitro,CC035.Unc_vs_in_vitro,CC037.TauUnc_vs_in_vitro,CC038.GeniUnc_vs_in_vitro,CC039.Unc_vs_in_vitro,CC040.TauUnc_vs_in_vitro,CC041.TauUnc_vs_in_vitro,CC042.GeniUnc_vs_in_vitro,CC043.GeniUnc_vs_in_vitro,CC044.Unc_vs_in_vitro,CC045.GeniUnc_vs_in_vitro,CC046.Unc_vs_in_vitro,CC047.Unc_vs_in_vitro,CC051.TauUnc_vs_in_vitro,CC056.GeniUnc_vs_in_vitro,CC057.Unc_vs_in_vitro,CC059.TauUnc_vs_in_vitro,CC061.GeniUnc_vs_in_vitro,CC065.Unc_vs_in_vitro,Cast.EiJ_vs_in_vitro,IFNG_vs_in_vitro,NOD.ShiLtJ_vs_in_vitro,NOS_vs_in_vitro,NZO.H1LtJ_vs_in_vitro,PWK.PhJ_vs_in_vitro,Phox_vs_in_vitro,Rag_vs_in_vitro,Wsb.Eij_vs_in_vitro,mbio_H37Rv_vs_in_vitro,BXD102_vs_in_vitro_H37Rv,BXD29_vs_in_vitro_H37Rv,BXD39_vs_in_vitro_H37Rv,BXD40_vs_in_vitro_H37Rv,BXD48a_vs_in_vitro_H37Rv,BXD51_vs_in_vitro_H37Rv,BXD54_vs_in_vitro_H37Rv,BXD56_vs_in_vitro_H37Rv,BXD60_vs_in_vitro_H37Rv,BXD62_vs_in_vitro_H37Rv,BXD67_vs_in_vitro_H37Rv,BXD69_vs_in_vitro_H37Rv,BXD73_vs_in_vitro_H37Rv,BXD73b_vs_in_vitro_H37Rv,BXD77_vs_in_vitro_H37Rv,BXD79_vs_in_vitro_H37Rv,BXD90_vs_in_vitro_H37Rv,BXD93_vs_in_vitro_H37Rv,BXD9_vs_in_vitro_H37Rv,C57BL.6J_vs_in_vitro_H37Rv,DBA.2J_vs_in_vitro_H37Rv,Functional_Category
Rv0001,1.0,1.0,1.0,1.0,1.0,0.73174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,0.37562,1.0,1.0,0.49733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89656,1.0,1.0,0.64058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76623,1.0,0.51183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8589,1.0,1.0,1.0,0.43754,1.0,1.0,1.0,1.0,1.0,0.7414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.811,0.99933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0003,1.0,1.0,1.0,0.4384399999999999,1.0,0.4732399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5461600000000001,1.0,1.0,0.97081,1.0,0.91407,1.0,1.0,0.25783,1.0,0.57712,0.7528600000000001,1.0,0.29773,0.0285,1.0,0.91889,0.50316,0.06529,0.11885,1.0,1.0,1.0,0.25111,0.77517,1.0,0.33318,0.45962,1.0,1.0,1.0,0.97527,0.21696,0.0,1.0,1.0,1.0,0.55248,1.0,1.0,1.0,1.0,1.0,0.68823,1.0,1.0,0.99313,1.0,1.0,1.0,0.06052,0.1449,1.0,0.8981399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49175,1.0,1.0,1.0,1.0,0.8368200000000001,1.0,0.82904,1.0,0.2394,1.0,0.7640600000000001,1.0,1.0,1.0,1.0,0.71365,0.25874,0.96817,1.0,1.0,1.0,0.97578,1.0,0.7549600000000001,1.0,0.69597,1.0,1.0,1.0,1.0,1.0,0.7740100000000001,1.0,1.0,1.0,0.98567,1.0,1.0,0.96698,1.0,1.0,1.0,0.4440199999999999,1.0,0.93353,1.0,1.0,0.94379,1.0,0.0,1.0,1.0,0.82656,1.0,1.0,0.294,1.0,1.0,1.0,1.0,1.0,0.97187,0.18516,1.0,1.0,0.931,1.0,1.0,1.0,1.0,0.91886,information pathways
Rv0005,1.0,1.0,1.0,1.0,1.0,0.62111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6996100000000001,1.0,1.0,1.0,1.0,1.0,0.9183,1.0,0.3085699999999999,1.0,0.09171,0.5967100000000001,1.0,0.50131,1.0,1.0,0.41671,0.4957,0.40093,1.0,1.0,1.0,1.0,0.99242,1.0,1.0,1.0,0.95471,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70716,1.0,1.0,1.0,0.37106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92228,0.8995799999999999,1.0,1.0,1.0,1.0,0.8047,1.0,0.8802399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8677299999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.59906,0.63343,1.0,1.0,1.0,1.0,1.0,0.4184199999999999,1.0,0.88251,1.0,1.0,1.0,1.0,1.0,0.50621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96998,1.0,1.0,1.0,0.9855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv0006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91725,1.0,0.95168,0.7467199999999999,1.0,1.0,0.99732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8749899999999999,1.0,0.60207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88639,0.91653,1.0,1.0,1.0,1.0,0.78884,1.0,0.91427,1.0,1.0,1.0,1.0,1.0,1.0,0.71511,1.0,0.91692,1.0,1.0,1.0,1.0,1.0,0.95447,1.0,1.0,1.0,0.99771,1.0,1.0,1.0,1.0,1.0,1.0,0.01155,1.0,1.0,0.8781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97824,1.0,1.0,1.0,0.97811,0.97593,1.0,0.73103,information pathways
Rv0007,1.0,1.0,1.0,0.7025899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49662,0.66911,0.93044,0.94561,1.0,0.92746,0.7056899999999999,1.0,0.00263,1.0,0.0,1.0,1.0,1.0,0.0,0.6309,0.26538,0.96542,0.34492,1.0,1.0,1.0,1.0,0.17146,0.76088,1.0,0.09417,0.02765,1.0,1.0,1.0,1.0,0.21696,0.0,1.0,0.39684,0.72801,1.0,0.0,0.0,0.0,0.5596399999999999,1.0,1.0,0.0798,1.0,1.0,1.0,1.0,0.14509,0.0,1.0,1.0,0.34104,0.34234,1.0,0.6674399999999999,1.0,0.37568,1.0,0.52677,0.81099,0.49331,1.0,1.0,1.0,1.0,0.45376,0.73533,1.0,0.41844,0.35291,0.55362,1.0,1.0,0.55601,1.0,1.0,1.0,0.50647,0.8405299999999999,0.77436,1.0,0.52886,0.88887,0.7984100000000001,0.46818,0.5626899999999999,1.0,1.0,1.0,1.0,0.48694,1.0,0.59619,0.8511299999999999,1.0,1.0,1.0,0.99612,0.63107,0.99861,0.33091,0.95195,1.0,1.0,1.0,0.95669,1.0,0.6622,1.0,0.0016,0.46862,1.0,0.44321,0.78458,1.0,1.0,1.0,1.0,1.0,0.39986,0.78229,0.46816,0.86876,0.44429,1.0,1.0,1.0,0.50863,0.91057,1.0,0.99641,cell wall and cell processes
Rv0008c,1.0,1.0,1.0,1.0,1.0,0.81476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5402100000000001,1.0,0.94002,1.0,1.0,1.0,0.99732,1.0,0.2831599999999999,0.665,0.79635,0.6317699999999999,1.0,0.29906,0.8297100000000001,1.0,0.2269199999999999,0.8743700000000001,1.0,1.0,1.0,1.0,1.0,0.85082,1.0,1.0,1.0,0.57944,0.43527,0.8557299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63678,1.0,1.0,1.0,1.0,1.0,0.76754,1.0,1.0,1.0,1.0,1.0,0.76839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98292,1.0,1.0,1.0,1.0,1.0,0.83137,1.0,1.0,0.2793,1.0,1.0,1.0,1.0,1.0,0.40066,0.40544,1.0,1.0,0.99688,1.0,1.0,0.75061,0.96296,1.0,1.0,1.0,0.93593,1.0,0.8668299999999999,1.0,1.0,1.0,1.0,0.99694,1.0,1.0,1.0,1.0,1.0,1.0,0.948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58892,1.0,1.0,1.0,cell wall and cell processes
Rv0009,1.0,1.0,1.0,0.98715,1.0,0.54984,1.0,1.0,0.91508,1.0,1.0,1.0,1.0,0.2495099999999999,0.85929,0.98693,1.0,1.0,1.0,0.45113,1.0,0.10352,1.0,0.4622199999999999,1.0,1.0,1.0,0.16963,1.0,0.99507,0.6218600000000001,1.0,1.0,1.0,1.0,1.0,0.7581399999999999,1.0,1.0,0.82186,0.93255,1.0,1.0,1.0,0.56087,0.00499,0.03005,1.0,0.77561,0.01847,0.8671,0.54374,1.0,1.0,1.0,1.0,1.0,1.0,0.26349,1.0,1.0,1.0,0.87766,0.00201,0.22516,1.0,0.42932,0.88366,1.0,0.90614,1.0,0.7204699999999999,0.84104,0.2072699999999999,1.0,0.8671200000000001,1.0,1.0,0.61014,0.99095,0.8850100000000001,0.72606,1.0,1.0,0.24791,0.98526,1.0,1.0,1.0,0.31487,1.0,0.16332,0.22771,0.24253,0.2791,1.0,0.50898,1.0,0.25683,0.95292,1.0,0.33762,0.91832,1.0,0.83385,1.0,1.0,0.21155,0.8281799999999999,1.0,1.0,1.0,0.59722,1.0,1.0,0.99435,0.76971,1.0,1.0,0.74156,1.0,1.0,0.285,1.0,0.05492,1.0,0.29767,0.28205,0.58877,1.0,1.0,0.82495,1.0,0.8223,1.0,1.0,0.86012,1.0,0.11906,0.819,0.2561,0.90181,0.32129,0.18534,1.0,0.56166,information pathways
Rv0010c,1.0,1.0,1.0,1.0,1.0,0.52056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70292,1.0,0.94561,1.0,1.0,0.93638,1.0,1.0,1.0,0.68505,0.99346,1.0,0.91784,0.73678,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461,1.0,1.0,1.0,0.86321,1.0,1.0,1.0,1.0,0.75575,1.0,1.0,1.0,1.0,1.0,1.0,0.97297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92441,1.0,1.0,1.0,1.0,1.0,0.93968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72618,1.0,1.0,1.0,1.0,0.89008,1.0,0.94627,1.0,1.0,1.0,1.0,1.0,1.0,0.76356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8856,1.0,1.0,0.88346,1.0,0.67532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9862,1.0,1.0,1.0,1.0,1.0,1.0,0.91886,cell wall and cell processes
Rv0011c,1.0,1.0,1.0,0.42482,1.0,0.73055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35181,1.0,1.0,0.80401,1.0,0.48778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4268,1.0,1.0,0.36764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
