Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv0001,0.9966,0.9856,1.0,1.0,1.0,0.4108,1.0,1.0,1.0,0.486,1.0,1.0,1.0,0.3938,1.0,1.0,0.0257,1.0,1.0,0.0611,1.0,1.0,0.1601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9507,0.9495,1.0,0.5667,0.9973,1.0,0.1232,1.0,0.4051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.402,1.0,1.0,0.0633,1.0,0.402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3965,1.0,0.2427,1.0,1.0,1.0,0.3977,1.0,1.0,1.0,1.0,1.0,0.4038,0.4051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2495,1.0,1.0,1.0,1.0,information pathways
Rv0002,0.0721,0.1951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5001,0.1747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5095,0.5083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3995,1.0,1.0,0.3964,1.0,1.0,1.0,0.3971,1.0,1.0,1.0,1.0,0.1585,1.0,0.3925,1.0,1.0,1.0,1.0,1.0,1.0,0.1569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4024,1.0,information pathways
Rv0003,0.9589,0.9015,0.953,0.0189,0.5541,0.1428,0.6006,0.7281,0.305,0.4248,0.8916,0.851,0.9687,0.1093,0.7478,0.935,0.4601,0.9631,0.2339,0.8497,0.1555,0.0347,0.7218,0.2456,0.3322,0.2171,0.0391,0.0014,0.5707,0.5888,0.1227,0.0027,0.0028,0.81,0.3742,0.6828,0.0325,0.0781,0.3737,0.041,0.0599,0.6946,0.9189,0.7428,0.4925,0.0085,0.0,0.3849,0.2068,0.3295,0.0308,0.2001,0.0539,0.0563,0.0276,0.6108,0.0395,0.0836,0.5476,0.6248,0.2799,0.6409,0.3649,0.0054,0.0003,0.3345,0.0009,0.3373,1.0,0.0,0.4063,0.2101,0.0686,0.0111,0.7882,0.2069,0.4992,0.3569,0.2593,0.5003,0.0696,0.0131,0.9588,0.0458,0.0578,0.4359,0.1116,0.1251,0.8891,0.7174,0.0553,0.056,0.2152,0.0606,0.0253,0.0456,0.6039,0.0635,0.6996,0.4309,0.291,0.8814,0.1421,0.0035,0.0298,0.0309,0.3483,0.4054,0.3931,0.7312,0.149,0.6801,0.158,0.0513,0.0879,0.7319,0.9483,0.0296,0.9487,0.0938,0.0105,0.029,0.0586,0.7765,0.2368,0.7702,0.0433,0.174,information pathways
Rv0005,0.9189,0.9549,1.0,0.9533,0.8629,0.2816,0.6888,0.745,0.8699,0.9045,0.4805,0.6596,0.5607,0.1932,0.3913,0.7733,0.8897,0.3733,0.4444,0.3826,0.7872,0.0447,0.7556,0.0114,0.1834,0.7487,0.1075,0.732,0.6807,0.0799,0.1175,0.0415,1.0,0.8967,0.7011,0.3829,0.7665,0.7755,1.0,0.6849,0.3636,0.9843,0.9862,0.8729,1.0,0.7702,0.4772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7489,0.5108,0.3656,0.8729,0.2494,0.2499,0.0775,0.8569,0.8955,0.0704,0.6332,0.6198,0.6275,0.6224,1.0,0.9851,0.8435,0.4647,0.4434,0.6896,0.4614,0.6086,0.3734,0.3411,0.9214,0.6248,0.3237,0.3481,0.2744,0.748,0.6314,0.3876,0.4375,0.7699,0.468,0.5909,0.5706,0.4766,0.6148,0.8487,0.3325,0.3701,0.8646,0.7172,0.287,0.6916,0.6129,0.4611,0.6535,0.4045,0.5836,0.8476,0.9183,0.6494,0.4559,0.6806,0.7235,0.6075,0.7921,0.3512,0.4818,0.9604,0.188,0.6893,0.68,0.8727,0.6995,0.4478,0.9866,0.5457,0.522,0.7785,0.7194,0.504,information pathways
Rv0006,0.9388,0.9423,1.0,0.6286,1.0,0.7523,0.4866,1.0,1.0,0.7498,0.422,0.4103,0.8237,0.4887,0.8897,0.4434,0.1194,0.7002,0.441,0.8163,0.8945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1445,0.1905,0.4712,0.0162,0.8697,1.0,0.7647,1.0,0.7815,0.4436,0.5574,0.253,0.9997,0.1263,0.6616,0.4357,0.4517,0.7536,0.7526,0.5671,0.8904,1.0,0.5143,0.4406,1.0,0.4936,1.0,0.5343,0.8523,1.0,0.7794,0.5135,0.7888,0.5232,0.7871,1.0,0.0048,0.4818,0.5341,0.6798,0.712,0.6517,0.5201,0.7327,0.5355,0.8185,0.665,0.6898,0.8435,0.3741,0.5611,0.5664,0.887,0.845,0.5856,0.9824,0.7661,0.6341,0.8616,0.8898,0.343,0.4379,0.873,0.7421,0.5398,0.6744,0.2242,0.5332,0.6395,0.8076,0.879,0.9137,0.5623,0.6915,0.7249,0.2589,0.6719,0.5526,0.9311,0.6707,0.7073,0.5494,0.6096,0.6072,0.8545,0.6415,0.9777,0.6139,0.7324,0.5477,0.735,0.6858,0.9944,0.7464,0.7405,information pathways
Rv0007,0.6496,0.8753,0.336,0.0486,0.5198,0.9045,0.2004,0.4878,0.8787,0.247,0.6491,0.8544,0.4749,0.087,0.0701,0.3309,0.3702,0.2348,0.2535,0.1161,0.6848,0.0001,0.7524,0.0,0.9464,0.6892,0.8102,0.0,0.0185,0.0286,0.5899,0.0338,0.8976,0.4763,0.4608,0.4734,0.0159,0.0572,0.4822,0.0076,0.0014,0.5291,0.7401,0.3,0.7056,0.0085,0.0,0.0885,0.0176,0.0855,0.3181,0.0,0.0,0.0,0.0108,0.3933,0.7052,0.0004,1.0,1.0,0.5521,0.2743,0.0068,0.0,0.0371,0.1711,0.038,0.1664,1.0,0.0037,0.6131,0.0461,0.9942,0.1823,0.5681,0.616,0.83,0.3522,0.6105,0.8569,0.3299,0.035,0.3191,0.8742,0.4298,0.475,0.8271,0.6817,0.7963,0.2121,0.1085,0.8143,0.2268,0.0993,0.0199,0.8787,0.9606,0.8155,0.3778,0.8272,0.3847,0.493,0.1084,0.8035,0.019,0.17,0.0211,0.4452,0.6812,0.1555,0.9122,0.8399,0.1863,0.1518,0.3147,0.1283,0.0288,0.7624,0.4442,0.2693,0.3164,0.0312,0.1331,0.8955,0.0589,0.5364,0.0718,0.0253,cell wall and cell processes
Rv0008c,0.8686,0.9981,0.6304,0.6046,0.6524,0.5006,0.7995,0.7668,0.4806,0.7409,0.9235,0.7189,0.476,0.1075,0.8277,0.3629,0.6661,0.8615,0.6934,0.7947,0.4841,0.0396,0.0095,0.4813,0.2154,0.6178,0.0395,0.4831,0.7229,0.021,0.4786,1.0,0.1951,0.8559,0.7439,0.7309,0.4977,0.5514,0.7086,0.8882,0.091,0.0119,0.0503,0.3099,0.7448,0.5761,0.9561,0.6856,0.5012,0.8011,0.9459,1.0,0.7316,0.8842,0.9401,0.4704,0.39,0.5408,0.0877,0.8391,0.7941,0.6116,0.5669,0.6746,0.5012,0.5996,0.4861,0.6,1.0,0.8398,0.2175,0.8501,0.8462,0.9194,0.5753,0.538,0.4679,0.7959,0.6499,0.8057,0.7488,0.5211,0.4912,0.8621,0.9782,0.532,0.6748,0.412,0.9987,0.9928,0.8704,0.757,0.7083,0.7684,0.9102,0.4669,0.9976,0.915,0.5435,0.4984,0.6962,0.7995,0.1458,0.8035,0.7641,0.8621,0.793,0.731,0.2091,0.1318,0.8946,0.7588,0.2984,0.8696,0.4281,0.4484,0.6837,0.941,0.6403,0.7947,0.3791,0.6014,0.4243,0.5401,0.9514,0.8103,0.6013,0.8668,cell wall and cell processes
Rv0009,0.865,0.8731,0.8524,0.1048,0.8192,0.2195,0.2658,0.6344,0.0593,0.1938,0.054,0.1753,0.2203,0.0237,0.1344,0.6001,0.699,0.5525,0.9606,0.0476,0.4122,0.0095,0.8583,0.1638,0.9356,0.9509,0.957,0.023,0.0643,0.6955,0.197,0.9373,0.3004,0.6186,0.8538,0.2794,0.3766,0.5182,0.6188,0.2136,0.3406,0.5322,0.8791,0.5904,0.0698,0.0001,0.0018,0.3717,0.0442,0.0007,0.0606,0.0096,0.4579,0.5208,0.1148,0.3617,0.802,0.1153,0.0035,0.7379,0.8052,0.2523,0.1245,0.0001,0.804,0.5705,0.8012,0.5698,1.0,0.0063,0.4557,0.4676,0.8376,0.4506,0.8746,0.9537,0.3958,0.431,0.8554,0.7236,0.51,0.8221,0.4887,0.8749,0.6529,0.2221,0.1846,0.6524,0.6661,0.173,0.4373,0.5974,0.5308,0.4071,0.4308,0.5407,0.0546,0.4984,0.2971,0.9309,0.183,0.1105,0.3482,0.1983,0.6561,0.826,0.3007,0.8555,0.6778,0.5654,0.4022,0.899,0.4394,0.4141,0.1414,0.5285,0.4467,0.0959,0.5852,0.8023,0.1107,0.1686,0.9241,0.3058,0.181,0.6342,0.779,0.0354,information pathways
Rv0010c,0.9396,0.93,0.7051,0.6977,0.7277,0.1957,0.5775,0.8322,0.6573,0.7383,0.7034,0.9857,0.6567,0.9117,0.079,0.8275,0.2965,0.7649,0.4863,0.475,0.2378,0.5639,0.86,0.3621,0.6399,0.5364,0.5836,0.3767,0.5778,0.4278,0.9927,0.6444,0.9899,0.9448,0.8054,0.9432,0.9459,0.7612,0.1042,0.6171,0.2322,0.4467,0.6633,0.5153,0.2209,0.5069,0.4881,0.533,0.6049,0.0929,0.1178,0.6609,0.4954,0.5827,0.8236,0.9853,0.2476,0.3206,0.5302,0.8629,0.9107,0.3009,0.4471,0.9355,0.5475,0.2339,0.5455,0.2237,1.0,0.7862,0.6877,0.6378,0.6142,0.7388,0.4345,0.5346,0.6793,0.9661,0.8918,0.9694,0.5463,0.7403,0.8054,0.6049,0.9237,0.6866,0.6742,0.5778,0.5324,0.8384,0.3779,0.683,0.9043,0.6946,0.5872,0.3833,0.8234,0.665,0.5292,0.5784,0.7262,0.9953,0.3195,0.8698,0.5399,0.65,0.5127,0.392,0.8524,0.4333,0.6807,0.7988,0.9605,0.4813,0.588,0.9724,0.4252,0.7664,0.4533,0.794,0.8455,0.4491,0.6276,0.484,0.8873,0.4669,0.5552,0.7837,cell wall and cell processes
Rv0011c,0.7409,0.6845,0.4017,0.0181,0.3978,0.3986,0.7068,0.7031,0.8979,0.9034,1.0,1.0,1.0,0.041,0.6216,0.7698,0.1473,0.2314,0.0467,0.8728,0.219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4234,0.8919,1.0,0.092,0.8795,1.0,0.0469,0.9347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0995,0.1047,1.0,0.5021,0.0542,1.0,1.0,0.4547,1.0,1.0,1.0,1.0,1.0,0.2492,0.2482,1.0,1.0,1.0,1.0,1.0,0.0521,1.0,1.0,1.0,1.0,1.0,1.0,0.3993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
