control,experimental
mbio_H37Rv,CC030.GeniUnc
mbio_H37Rv,CC037.TauUnc
mbio_H37Rv,CC044.Unc
mbio_H37Rv,CC046.Unc
mbio_H37Rv,CC013.GeniUnc
mbio_H37Rv,CC038.GeniUnc
mbio_H37Rv,PWK.PhJ
mbio_H37Rv,CC017.Unc
mbio_H37Rv,A.J
mbio_H37Rv,CC061.GeniUnc
mbio_H37Rv,CC056.GeniUnc
mbio_H37Rv,CC025.GeniUnc
mbio_H37Rv,CC012.GeniUnc
mbio_H37Rv,in_vitro
mbio_H37Rv,CC051.TauUnc
mbio_H37Rv,CC047.Unc
mbio_H37Rv,CC007.Unc
mbio_H37Rv,CC032.GeniUnc
mbio_H37Rv,CC022.GeniUnc
mbio_H37Rv,CC019.TauUnc
mbio_H37Rv,CC011.Unc
mbio_H37Rv,CC034.Unc
mbio_H37Rv,CC035.Unc
mbio_H37Rv,CC057.Unc
mbio_H37Rv,CC008.GeniUnc
mbio_H37Rv,CC039.Unc
mbio_H37Rv,NZO.H1LtJ
mbio_H37Rv,NOD.ShiLtJ
mbio_H37Rv,CC023.GeniUnc
mbio_H37Rv,CC033.GeniUnc
mbio_H37Rv,CC016.GeniUnc
mbio_H37Rv,129s1.SvImJ
mbio_H37Rv,Rag
mbio_H37Rv,IFNG
mbio_H37Rv,Phox
mbio_H37Rv,CC002.Unc
mbio_H37Rv,CC065.Unc
mbio_H37Rv,CC042.GeniUnc
mbio_H37Rv,CC010.GeniUnc
mbio_H37Rv,CC003.Unc
mbio_H37Rv,CC006.TauUnc
mbio_H37Rv,CC041.TauUnc
mbio_H37Rv,CC040.TauUnc
mbio_H37Rv,CC015.Unc
mbio_H37Rv,CC009.Unc
mbio_H37Rv,Wsb.Eij
mbio_H37Rv,CC004.TauUnc
mbio_H37Rv,Cast.EiJ
mbio_H37Rv,C57BL.6J
mbio_H37Rv,CC005.TauUnc
mbio_H37Rv,CC028.GeniUnc
mbio_H37Rv,CC059.TauUnc
mbio_H37Rv,CC027.GeniUnc
mbio_H37Rv,CC045.GeniUnc
mbio_H37Rv,CC031.GeniUnc
mbio_H37Rv,CC001.Unc
mbio_H37Rv,CC018.Unc
mbio_H37Rv,CC043.GeniUnc
mbio_H37Rv,CC021.Unc
mbio_H37Rv,CC024.GeniUnc
mbio_H37Rv,NOS
C57BL.6J,CC030.GeniUnc
C57BL.6J,CC037.TauUnc
C57BL.6J,CC044.Unc
C57BL.6J,CC046.Unc
C57BL.6J,CC013.GeniUnc
C57BL.6J,CC038.GeniUnc
C57BL.6J,PWK.PhJ
C57BL.6J,CC017.Unc
C57BL.6J,A.J
C57BL.6J,CC061.GeniUnc
C57BL.6J,CC056.GeniUnc
C57BL.6J,CC025.GeniUnc
C57BL.6J,CC012.GeniUnc
C57BL.6J,in_vitro
C57BL.6J,CC051.TauUnc
C57BL.6J,CC047.Unc
C57BL.6J,CC007.Unc
C57BL.6J,CC032.GeniUnc
C57BL.6J,CC022.GeniUnc
C57BL.6J,CC019.TauUnc
C57BL.6J,CC011.Unc
C57BL.6J,CC034.Unc
C57BL.6J,CC035.Unc
C57BL.6J,CC057.Unc
C57BL.6J,CC008.GeniUnc
C57BL.6J,CC039.Unc
C57BL.6J,NZO.H1LtJ
C57BL.6J,NOD.ShiLtJ
C57BL.6J,CC023.GeniUnc
C57BL.6J,CC033.GeniUnc
C57BL.6J,CC016.GeniUnc
C57BL.6J,129s1.SvImJ
C57BL.6J,Rag
C57BL.6J,IFNG
C57BL.6J,Phox
C57BL.6J,CC002.Unc
C57BL.6J,CC065.Unc
C57BL.6J,CC042.GeniUnc
C57BL.6J,CC010.GeniUnc
C57BL.6J,CC003.Unc
C57BL.6J,CC006.TauUnc
C57BL.6J,CC041.TauUnc
C57BL.6J,CC040.TauUnc
C57BL.6J,CC015.Unc
C57BL.6J,CC009.Unc
C57BL.6J,Wsb.Eij
C57BL.6J,CC004.TauUnc
C57BL.6J,Cast.EiJ
C57BL.6J,C57BL.6J
C57BL.6J,CC005.TauUnc
C57BL.6J,CC028.GeniUnc
C57BL.6J,CC059.TauUnc
C57BL.6J,CC027.GeniUnc
C57BL.6J,CC045.GeniUnc
C57BL.6J,CC031.GeniUnc
C57BL.6J,CC001.Unc
C57BL.6J,CC018.Unc
C57BL.6J,CC043.GeniUnc
C57BL.6J,CC021.Unc
C57BL.6J,CC024.GeniUnc
C57BL.6J,NOS
129s1.SvImJ,A.J
129s1.SvImJ,C57BL.6J
129s1.SvImJ,CC001.Unc
129s1.SvImJ,CC002.Unc
129s1.SvImJ,CC003.Unc
129s1.SvImJ,CC004.TauUnc
129s1.SvImJ,CC005.TauUnc
129s1.SvImJ,CC006.TauUnc
129s1.SvImJ,CC007.Unc
129s1.SvImJ,CC008.GeniUnc
129s1.SvImJ,CC009.Unc
129s1.SvImJ,CC010.GeniUnc
129s1.SvImJ,CC011.Unc
129s1.SvImJ,CC012.GeniUnc
129s1.SvImJ,CC013.GeniUnc
129s1.SvImJ,CC015.Unc
129s1.SvImJ,CC016.GeniUnc
129s1.SvImJ,CC017.Unc
129s1.SvImJ,CC018.Unc
