condition,files
bellerose_MB_d21_untreated,"2019_Bellerose/MB_d21_untreated_1.wig,2019_Bellerose/MB_d21_untreated_2.wig,2019_Bellerose/MB_d21_untreated_3.wig,2019_Bellerose/MB2017_d21_untreated_1.wig,2019_Bellerose/MB2017_d21_untreated_2.wig"
bellerose_MB_HRZE_wk1,"2019_Bellerose/MB_HRZE_wk1_1.wig,2019_Bellerose/MB_HRZE_wk1_2.wig,2019_Bellerose/MB2017_HRZE_wk1_1.wig,2019_Bellerose/MB2017_HRZE_wk1_2.wig,2019_Bellerose/MB2017_HRZE_wk1_3.wig"
bellerose_MB_pretreatment,"2019_Bellerose/MB2017_pretreatment_1.wig,2019_Bellerose/MB2017_pretreatment_2.wig,2019_Bellerose/MB2017_pretreatment_3.wig,2019_Bellerose/MB_pretreatment_4.wig,2019_Bellerose/MB_pretreatment_5.wig,2019_Bellerose/MB_pretreatment_6.wig,2019_Bellerose/MB_pretreatment_7.wig"
ritterhaus_hypoxia_input,"2018_Ritterhaus_A-B/hypoxia/I_9.wig,2018_Ritterhaus_A-B/hypoxia/I_10.wig,2018_Ritterhaus_A-B/hypoxia/I_11.wig,2018_Ritterhaus_A-B/hypoxia/I_12.wig,2018_Ritterhaus_A-B/hypoxia/I_13.wig,2018_Ritterhaus_A-B/hypoxia/I_14.wig,2018_Ritterhaus_A-B/hypoxia/I_15.wig,2018_Ritterhaus_A-B/hypoxia/I_16.wig"
ritterhaus_hypoxia_H3,"2018_Ritterhaus_A-B/hypoxia/H3_1.wig,2018_Ritterhaus_A-B/hypoxia/H3_2.wig,2018_Ritterhaus_A-B/hypoxia/H3_3.wig,2018_Ritterhaus_A-B/hypoxia/H3_4.wig,2018_Ritterhaus_A-B/hypoxia/H3_5.wig,2018_Ritterhaus_A-B/hypoxia/H3_6.wig,2018_Ritterhaus_A-B/hypoxia/H3_7.wig,2018_Ritterhaus_A-B/hypoxia/H3_8.wig"
ritterhaus_hypoxia_H6,"2018_Ritterhaus_A-B/hypoxia/H6_17.wig,2018_Ritterhaus_A-B/hypoxia/H6_18.wig,2018_Ritterhaus_A-B/hypoxia/H6_19.wig,2018_Ritterhaus_A-B/hypoxia/H6_20.wig,2018_Ritterhaus_A-B/hypoxia/H6_21.wig,2018_Ritterhaus_A-B/hypoxia/H6_22.wig"
mishra_B6,"2017_Mishra_1A-1D/NOS2_C3H/B6_1.wig,2017_Mishra_1A-1D/NOS2_C3H/B6_2.wig,2017_Mishra_1A-1D/NOS2_C3H/B6_3.wig"
mishra_C3H,"2017_Mishra_1A-1D/NOS2_C3H/C3H_1.wig,2017_Mishra_1A-1D/NOS2_C3H/C3H_2.wig"
mishra_NOS2,"2017_Mishra_1A-1D/NOS2_C3H/NOS2_1.wig,2017_Mishra_1A-1D/NOS2_C3H/NOS2_2.wig"
minato_rich_plate,"2019_Minato_1-2/rich_plate_1.wig,2019_Minato_1-2/rich_plate_2.wig"
minato_minimal_plate,"2019_Minato_1-2/minimal_plate_1.wig,2019_Minato_1-2/minimal_plate_2.wig"
carey_621,"2018_Carey_A-H/621_1.wig,2018_Carey_A-H/621_2.wig"
carey_630,"2018_Carey_A-H/630_1.wig,2018_Carey_A-H/630_2.wig"
carey_631,"2018_Carey_A-H/631_1.wig,2018_Carey_A-H/641_2.wig"
carey_632,"2018_Carey_A-H/632_1.wig,2018_Carey_A-H/632_2.wig"
carey_641,"2018_Carey_A-H/641_1.wig,2018_Carey_A-H/641_2.wig"
carey_662,"2018_Carey_A-H/662_1.wig,2018_Carey_A-H/662_2.wig"
carey_663,"2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig"
carey_667,"2018_Carey_A-H/667_1.wig,2018_Carey_A-H/667_2.wig"
carey_rv,"2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig"
griffin_cholesterol,"2011_Griffin/cholesterol_H37Rv_rep1.wig,2011_Griffin/cholesterol_H37Rv_rep2.wig,2011_Griffin/cholesterol_H37Rv_rep3.wig"
griffin_glycerol,"2011_Griffin/glycerol_H37Rv_rep1.wig,2011_Griffin/glycerol_H37Rv_rep2.wig"
xu_emb_0,"2017_Xu_1A-1E/Ethambutol/EMB1_0.wig,2017_Xu_1A-1E/Ethambutol/EMB2_0.wig,2017_Xu_1A-1E/Ethambutol/EMB3_0.wig"
xu_emb_2.5,"2017_Xu_1A-1E/Ethambutol/EMB1_2.wig,2017_Xu_1A-1E/Ethambutol/EMB2_2_5.wig,2017_Xu_1A-1E/Ethambutol/EMB3_2_5.wig"
xu_emb_3,"2017_Xu_1A-1E/Ethambutol/EMB1_3.wig,2017_Xu_1A-1E/Ethambutol/EMB2_3.wig,2017_Xu_1A-1E/Ethambutol/EMB3_3.wig"
xu_inh_0,"2017_Xu_1A-1E/Isoniazid/INH2_0.wig,2017_Xu_1A-1E/Isoniazid/INH3_0.wig,2017_Xu_1A-1E/Isoniazid/INH4_0.wig,2017_Xu_1A-1E/Isoniazid/INH5_0.wig"
xu_inh_02,"2017_Xu_1A-1E/Isoniazid/INH2_02.wig,2017_Xu_1A-1E/Isoniazid/INH3_02.wig,2017_Xu_1A-1E/Isoniazid/INH5_02.wig"
xu_inh_025,"2017_Xu_1A-1E/Isoniazid/INH3_025.wig,2017_Xu_1A-1E/Isoniazid/INH4_025.wig,2017_Xu_1A-1E/Isoniazid/INH5_025.wig"
xu_rif_0,"2017_Xu_1A-1E/Rifampicin/Rif1_0.wig,2017_Xu_1A-1E/Rifampicin/Rif2_0.wig,2017_Xu_1A-1E/Rifampicin/Rif3_0.wig"
xu_rif_4,"2017_Xu_1A-1E/Rifampicin/Rif1_4.wig,2017_Xu_1A-1E/Rifampicin/Rif2_4.wig,2017_Xu_1A-1E/Rifampicin/Rif3_4.wig"
xu_van_0,"2017_Xu_1A-1E/Vancomycin/Van1_0.wig,2017_Xu_1A-1E/Vancomycin/Van2_0.wig,2017_Xu_1A-1E/Vancomycin/Van3_0.wig"
xu_van_16,"2017_Xu_1A-1E/Vancomycin/Van1_16.wig,2017_Xu_1A-1E/Vancomycin/Van2_16.wig,2017_Xu_1A-1E/Vancomycin/Van3_16.wig"
xu_mero_0,"2017_Xu_1A-1E/Meropenem/M5_0.wig,2017_Xu_1A-1E/Meropenem/M6_0.wig"
xu_mero_2.5,"2017_Xu_1A-1E/Meropenem/M5_2_5.wig,2017_Xu_1A-1E/Meropenem/M6_2_5.wig"
kieser_dPonA1,2015_Kieser_GI_1-3/dPonA1_KOD.wig
zhang_2012_invitro,2012_Zhang/zhang_2012_rep1.wig
zhang_AA_Rescue,2013_Zhang/AA_Rescue_rep1_H37Rv.wig
zhang_CD4_depl_d45,2013_Zhang/CD4_depl_d45_H37Rv.wig
