Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_mbio_H37Rv,A.J_vs_mbio_H37Rv,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_mbio_H37Rv,CC002.Unc_vs_mbio_H37Rv,CC003.Unc_vs_mbio_H37Rv,CC004.TauUnc_vs_mbio_H37Rv,CC005.TauUnc_vs_mbio_H37Rv,CC006.TauUnc_vs_mbio_H37Rv,CC007.Unc_vs_mbio_H37Rv,CC008.GeniUnc_vs_mbio_H37Rv,CC009.Unc_vs_mbio_H37Rv,CC010.GeniUnc_vs_mbio_H37Rv,CC011.Unc_vs_mbio_H37Rv,CC012.GeniUnc_vs_mbio_H37Rv,CC013.GeniUnc_vs_mbio_H37Rv,CC015.Unc_vs_mbio_H37Rv,CC016.GeniUnc_vs_mbio_H37Rv,CC017.Unc_vs_mbio_H37Rv,CC018.Unc_vs_mbio_H37Rv,CC019.TauUnc_vs_mbio_H37Rv,CC021.Unc_vs_mbio_H37Rv,CC022.GeniUnc_vs_mbio_H37Rv,CC023.GeniUnc_vs_mbio_H37Rv,CC024.GeniUnc_vs_mbio_H37Rv,CC025.GeniUnc_vs_mbio_H37Rv,CC027.GeniUnc_vs_mbio_H37Rv,CC028.GeniUnc_vs_mbio_H37Rv,CC030.GeniUnc_vs_mbio_H37Rv,CC031.GeniUnc_vs_mbio_H37Rv,CC032.GeniUnc_vs_mbio_H37Rv,CC033.GeniUnc_vs_mbio_H37Rv,CC034.Unc_vs_mbio_H37Rv,CC035.Unc_vs_mbio_H37Rv,CC037.TauUnc_vs_mbio_H37Rv,CC038.GeniUnc_vs_mbio_H37Rv,CC039.Unc_vs_mbio_H37Rv,CC040.TauUnc_vs_mbio_H37Rv,CC041.TauUnc_vs_mbio_H37Rv,CC042.GeniUnc_vs_mbio_H37Rv,CC043.GeniUnc_vs_mbio_H37Rv,CC044.Unc_vs_mbio_H37Rv,CC045.GeniUnc_vs_mbio_H37Rv,CC046.Unc_vs_mbio_H37Rv,CC047.Unc_vs_mbio_H37Rv,CC051.TauUnc_vs_mbio_H37Rv,CC056.GeniUnc_vs_mbio_H37Rv,CC057.Unc_vs_mbio_H37Rv,CC059.TauUnc_vs_mbio_H37Rv,CC061.GeniUnc_vs_mbio_H37Rv,CC065.Unc_vs_mbio_H37Rv,Cast.EiJ_vs_mbio_H37Rv,IFNG_vs_mbio_H37Rv,NOD.ShiLtJ_vs_mbio_H37Rv,NOS_vs_mbio_H37Rv,NZO.H1LtJ_vs_mbio_H37Rv,PWK.PhJ_vs_mbio_H37Rv,Phox_vs_mbio_H37Rv,Rag_vs_mbio_H37Rv,Wsb.Eij_vs_mbio_H37Rv,in_vitro_vs_mbio_H37Rv
Rv0001,1.0,1.0,1.0,1.0,1.0,0.73174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,0.37562,1.0,1.0,0.49733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89656,1.0,1.0,0.64058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90691,0.89625,0.8292299999999999,0.90089,0.92715,0.931,0.94262,0.93499,0.94514,0.85661,0.8477600000000001,0.94955,1.0,1.0,0.93726,0.87454,0.93738,1.0,1.0,0.94032,0.89823,0.8647,0.8926200000000001,0.92138,0.92107,0.91993,0.8609399999999999,0.84731,0.9018,1.0,0.91838,0.92031,1.0,0.88813,0.41157,0.84134,0.95608,0.93949,1.0,0.94955,0.9107,0.81001,0.8783200000000001,0.86744,1.0,1.0,0.90731,0.94474,1.0,0.8295100000000001,0.94646,0.89795,0.8941899999999999,0.88095,0.92084,0.96966,1.0,0.92821,0.8441700000000001,0.92913,0.43754
Rv0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7829699999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2926,1.0,0.7520899999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.36204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51081,0.811
Rv0003,1.0,1.0,1.0,0.4384399999999999,1.0,0.4732399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5461600000000001,1.0,1.0,0.97081,1.0,0.91407,1.0,1.0,0.25783,1.0,0.57712,0.7528600000000001,1.0,0.29773,0.0285,1.0,0.91889,0.50316,0.06529,0.11885,1.0,1.0,1.0,0.25111,0.77517,1.0,0.33318,0.45962,1.0,1.0,1.0,0.97527,0.21696,0.0,1.0,1.0,1.0,0.55248,1.0,1.0,1.0,1.0,1.0,0.68823,1.0,1.0,0.99313,1.0,1.0,1.0,0.06052,0.03759,0.05182,0.0,0.057,0.0566,0.06394,0.08457,0.04923,0.06825,0.04936,0.03595,0.04245,0.49008,0.07714,0.08792,0.05911,0.0741,0.52557,0.04906,0.02752,0.04293,0.04077,0.03388,0.069,0.06501,0.07041,0.1083,0.1995,0.0836,0.43309,0.0861,0.04715,0.09285,0.07116,0.30024,0.05591,0.09975,0.1057,0.0917,0.06488,0.08351,0.06759,0.03669,0.06138,0.04649,0.06688,0.0931,0.05797,0.44855,0.04264,0.05574,0.02705,0.0878299999999999,0.03658,0.06722,0.11182,0.35229,0.05482,0.03511,0.07705,0.0
Rv0004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8460700000000001,1.0,1.0,0.22244,0.84496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999,0.5755899999999999,0.67924,0.49003,1.0,0.72168,0.75074,0.77176,0.73519,0.77465,0.65167,0.6373300000000001,0.99686,1.0,0.90635,0.90435,0.6490600000000001,0.7777,0.85183,0.7371300000000001,0.72838,0.69339,0.6526,0.68807,1.0,0.74026,0.89235,0.65532,0.62116,0.7031,0.8036800000000001,1.0,0.71965,0.62878,0.67466,0.74019,0.6220899999999999,0.91543,0.7690100000000001,0.77157,0.75541,0.70236,0.58297,0.66635,0.6694399999999999,0.7237,0.7049300000000001,0.6953699999999999,0.75897,0.80442,0.5937399999999999,0.76752,0.8954,0.67898,0.8975,0.8798299999999999,0.90133,0.9182,0.87766,0.63605,0.9868,0.25328
Rv0005,1.0,1.0,1.0,1.0,1.0,0.62111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6996100000000001,1.0,1.0,1.0,1.0,1.0,0.9183,1.0,0.3085699999999999,1.0,0.09171,0.5967100000000001,1.0,0.50131,1.0,1.0,0.41671,0.4957,0.40093,1.0,1.0,1.0,1.0,0.99242,1.0,1.0,1.0,0.95471,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70716,1.0,1.0,1.0,0.37106,0.96019,0.95574,1.0,1.0,0.87415,0.87616,1.0,0.8720700000000001,0.96807,0.73601,0.66242,1.0,1.0,0.6956,0.78052,0.55991,1.0,0.96794,0.81535,0.86887,1.0,0.798,0.91938,0.9535,0.89159,0.94252,1.0,0.62938,0.75742,1.0,0.996,0.64303,0.95139,0.90908,0.75231,0.6227199999999999,0.87275,0.95449,1.0,1.0,0.93389,0.49946,0.95986,0.87377,0.97938,1.0,0.70801,0.90651,1.0,0.47017,1.0,0.97635,1.0,0.97997,0.85724,1.0,0.91848,0.93419,0.97599,0.91041,0.71732
Rv0006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91725,1.0,0.95168,0.7467199999999999,1.0,1.0,0.99732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8749899999999999,1.0,0.60207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06556,0.17014,0.0592899999999999,0.08782,0.35814,0.19734,0.18288,0.17982,0.37063,0.28326,0.17462,0.18039,0.75063,0.18504,0.22926,0.19328,0.13074,0.36596,0.20144,0.1727,0.15587,0.19111,0.30516,0.12409,0.17527,0.2014099999999999,0.17677,0.29913,0.17328,0.47951,0.18208,0.19722,1.0,0.32915,0.9178,0.29925,0.2001,0.1677,0.34514,0.13235,0.2352699999999999,1.0,0.24525,0.21516,0.19635,0.2701199999999999,0.31742,0.3662,0.58878,0.38524,0.1696099999999999,0.2917599999999999,0.26554,0.32075,0.12615,0.38615,0.518,0.1859,0.2354699999999999,0.18529,0.01155
Rv0007,1.0,1.0,1.0,0.7025899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49662,0.66911,0.93044,0.94561,1.0,0.92746,0.7056899999999999,1.0,0.00263,1.0,0.0,1.0,1.0,1.0,0.0,0.6309,0.26538,0.96542,0.34492,1.0,1.0,1.0,1.0,0.17146,0.76088,1.0,0.09417,0.02765,1.0,1.0,1.0,1.0,0.21696,0.0,1.0,0.39684,0.72801,1.0,0.0,0.0,0.0,0.5596399999999999,1.0,1.0,0.0798,1.0,1.0,1.0,1.0,0.14509,0.0,0.09937,0.18147,0.05039,0.15807,0.17684,0.15807,0.20108,0.15624,0.17322,0.19216,0.1596,0.17751,0.61783,0.18406,0.23553,0.20169,0.17327,0.53159,0.16541,0.15194,0.14177,0.15868,0.1744099999999999,0.23035,0.16307,0.17242,0.19635,0.19375,0.1627299999999999,0.47951,0.17456,0.1960599999999999,0.18074,0.17847,0.40101,1.0,0.18699,0.20005,0.19203,0.21924,0.24843,0.14457,0.19704,0.17633,0.17606,0.16525,0.20748,0.19121,0.48552,0.25032,0.17196,0.16533,0.18045,0.08313,0.18335,0.21233,0.51751,0.20817,0.1401599999999999,0.1942299999999999,0.0016
Rv0008c,1.0,1.0,1.0,1.0,1.0,0.81476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5402100000000001,1.0,0.94002,1.0,1.0,1.0,0.99732,1.0,0.2831599999999999,0.665,0.79635,0.6317699999999999,1.0,0.29906,0.8297100000000001,1.0,0.2269199999999999,0.8743700000000001,1.0,1.0,1.0,1.0,1.0,0.85082,1.0,1.0,1.0,0.57944,0.43527,0.8557299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92625,1.0,1.0,0.62829,1.0,1.0,1.0,1.0,1.0,0.58416,1.0,1.0,1.0,0.98468,0.99482,0.75134,1.0,1.0,0.98148,0.96356,0.87455,1.0,1.0,1.0,1.0,1.0,0.93607,1.0,0.93928,1.0,1.0,0.98161,0.81226,1.0,1.0,0.4095,1.0,1.0,1.0,1.0,0.95237,0.23455,0.26876,1.0,1.0,0.67594,0.99149,0.96341,0.78235,0.94925,1.0,1.0,0.9682,0.78236,0.88556,0.8337899999999999,0.94961,1.0,0.95598,1.0,0.99694
Rv0009,1.0,1.0,1.0,0.98715,1.0,0.54984,1.0,1.0,0.91508,1.0,1.0,1.0,1.0,0.2495099999999999,0.85929,0.98693,1.0,1.0,1.0,0.45113,1.0,0.10352,1.0,0.4622199999999999,1.0,1.0,1.0,0.16963,1.0,0.99507,0.6218600000000001,1.0,1.0,1.0,1.0,1.0,0.7581399999999999,1.0,1.0,0.82186,0.93255,1.0,1.0,1.0,0.56087,0.00499,0.03005,1.0,0.77561,0.01847,0.8671,0.54374,1.0,1.0,1.0,1.0,1.0,1.0,0.26349,1.0,1.0,1.0,0.87766,0.00201,0.08938,0.27623,0.07002,0.27752,0.29393,0.25145,0.33054,0.23275,0.22919,0.17474,0.33479,0.26845,0.62,0.31647,0.23065,0.34925,0.23237,0.53159,0.38344,0.41223,0.15205,0.31679,0.55173,0.36464,0.27121,0.17242,0.49322,0.1440799999999999,0.16345,0.47271,0.18147,0.38643,0.20132,0.45615,0.38993,0.29254,0.46636,0.19838,0.26692,0.39492,0.30466,0.33161,0.31519,0.1541,0.2206199999999999,0.2922,0.37445,0.56099,0.48552,0.475,0.49693,0.27805,0.2436199999999999,0.42394,0.41255,0.29359,0.71134,0.43914,0.14536,0.2421,0.05492
Rv0010c,1.0,1.0,1.0,1.0,1.0,0.52056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70292,1.0,0.94561,1.0,1.0,0.93638,1.0,1.0,1.0,0.68505,0.99346,1.0,0.91784,0.73678,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461,1.0,1.0,1.0,0.86321,1.0,1.0,1.0,1.0,0.75575,1.0,1.0,1.0,1.0,1.0,1.0,0.97297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8094899999999999,0.4951399999999999,0.97981,1.0,0.85321,0.85657,0.91779,0.69793,0.8210200000000001,0.7993100000000001,0.9847,0.99326,1.0,0.80147,0.93038,1.0,0.8671,1.0,0.8675,0.88289,0.79418,0.707,0.93828,0.6736800000000001,0.87875,0.98019,0.99386,0.71209,0.64265,1.0,0.8665,0.7578,0.88645,0.86362,1.0,0.47625,0.99839,0.81348,0.87981,0.79324,0.64959,0.88469,0.59768,0.99287,0.94391,1.0,0.70149,0.8366399999999999,1.0,0.54392,0.94349,0.687,1.0,0.94807,0.72125,0.89312,0.8368899999999999,0.98954,0.63605,0.81295,1.0
