Rv_ID,2003A_Sassetti_log2FC,2003B_Sassetti_log2FC,2005_Rengarajan_log2FC,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_log2FC,2011_Griffin_2_log2FC,2013_Zhang_1_log2FC,2013_Zhang_2_log2FC,2013_Zhang_3A_log2FC,2013_Zhang_3B_log2FC,2013_Zhang_3C_log2FC,2013_Zhang_3D_log2FC,2016_Korte_log2FC,2017_Mishra_1A_log2FC,2017_Mishra_1B_log2FC,2017_Mishra_1C_log2FC,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_log2FC,2012_Zhang_log2FC,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_log2FC,2015_Mendum_log2FC,2016_Nambi_log2FC,2017_Xu_1A_log2FC,2017_Xu_1B_log2FC,2017_Xu_1C_log2FC,2017_Xu_1D_log2FC,2017_Xu_1E_log2FC,2018_Carey_1A_log2FC,2018_Carey_1B_log2FC,2018_Carey_1C_log2FC,2018_Carey_1D_log2FC,2018_Carey_1E_log2FC,2018_Carey_1F_log2FC,2018_Carey_1G_log2FC,2018_Carey_1H_log2FC,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_log2FC,marP_log2FC,Rv0950_log2FC,Rv3916c_log2FC,Rv0307c_log2FC,Rv3717_log2FC,ponA1_log2FC,Rv1565c_log2FC,Rv3684_log2FC,Rv0954_log2FC,Rv3811_log2FC,Rv1096_log2FC,Rv2680_log2FC,Rv1432_log2FC,Rv3594_log2FC,Rv3005c_log2FC,Functional_Category
Rv0001,-3.378400690040971,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.242756287157781,1.584962500721156,-0.2138800225572905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,-0.05,4.53,0.0,0.0,2.14,0.0,-0.6,-1.02,-0.72,-3.29,0.0,0.0,0.43,0.0,2.21,3.83,0.0,0.0,1.18,0.0,-0.1,3.83,0.0,3.37,information pathways
Rv0002,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5743190420650521,1.584962500721156,-1.7724965128317511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-1.0,-0.72,-0.89,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,information pathways
Rv0003,0.0,0.0,0,0,0,0.0,3.223422549934937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9131899844630672,0.4391416122176471,-0.4521526718125242,-1.0,0.59923203283883,-0.5355964234001765,-0.5497772385802991,0.1930138178909563,-0.2108780764448887,-0.7387917906643401,1.29,0.03,-0.64,-0.49,-0.09,-0.31,0.03,-0.2,-0.41,0.45,-0.37,-0.75,0.03,-2.59,0.91,-0.62,-0.4,2.81,0.17,-1.2,0.48,0.39,-1.93,1.5,0.31,3.45,information pathways
Rv0005,-5.919521730394579,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.1087217674678658,4.087462841250339,-0.9054912250766836,0.0,-1.94893507118616,0.0,0.0,0.0,0.289506617194985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.21,1.96,0.45,0.13,-7.69,-5.61,-0.37,-0.97,-0.52,-0.71,-0.08,0.04,0.27,-2.3,-5.08,0.7,-5.19,information pathways
Rv0006,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.06945032222098506,-2.58619826861352,1.030136139526629,0.0,6.702939823803931,0.5305147166987798,0.3219280948873623,0.7004397181410922,0.0,0.415037499278844,1.51,-0.37,1.24,7.03,0.7,1.86,0.96,3.07,-0.61,-1.01,-0.73,0.47,-1.21,0.0,0.0,-0.12,-4.35,3.29,-0.1,1.66,0.59,0.25,-0.14,0.6,3.31,0.6,information pathways
Rv0007,0.0,0.0,0,0,0,0.0,8.927777962082342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8119897560000005,0.0,-1.0,0.5356381521198674,-0.8966567517469431,0.1947135947108856,-1.0,-2.7951080311414396,-3.284467095417663,-3.541732448659587,-0.4752626227987595,-0.6749837233250675,-5.057502469041333,1.13,-0.85,0.85,0.79,0.61,0.78,1.18,0.55,1.84,6.39,1.45,0.87,-0.47,-2.65,-7.85,0.11,-5.9,10.15,0.31,-1.21,0.73,-0.34,0.79,-0.7,0.85,-0.02,cell wall and cell processes
Rv0008c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96656250352699,0.0,0.0,0.0,0.0,0.3344741319794945,-0.4465463220935598,1.251198154159491,-1.0,0.644840825970929,0.05550473116781958,-0.2498313435410057,-0.02748879223304243,-0.6424043929628458,-0.2899699848048421,-2.75,0.04,1.36,-0.01,0.11,-0.18,-0.04,-0.26,1.63,0.58,0.88,0.08,0.43,-1.44,3.64,0.94,-1.48,-3.56,0.71,-0.51,-1.16,0.58,-3.82,4.04,0.44,-1.94,cell wall and cell processes
Rv0009,0.0,0.0,0,0,0,-1.8931348079596109,4.461704184724262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9453979592718972,1.497388051957075,-2.799532404587618,-1.0,2.08368726420608,-0.3348659785101512,-0.6875282868070347,-0.5079106312430051,0.4706886111778655,-0.8856845786460779,1.41,-0.45,0.55,-0.66,0.16,0.23,0.65,-0.11,1.66,1.08,2.02,0.46,-0.1,-0.11,0.09,-3.05,-0.06,1.59,0.24,0.78,-1.73,0.11,2.37,0.79,-1.38,-2.27,information pathways
Rv0010c,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9727451157600612,-0.2786292793175391,-0.8700390655636959,-1.0,1.2058265742690901,0.2442114972017932,0.32433648310269103,-0.1684063613960649,0.4466272127274329,-0.1772990119705906,0.63,-1.27,-0.2,-0.8,-0.05,0.74,0.65,1.41,-1.25,-1.42,-1.0,0.67,0.29,1.76,0.01,-0.43,0.21,-2.13,0.15,0.31,0.36,0.26,0.26,-0.53,-0.5,-4.05,cell wall and cell processes
Rv0011c,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.524992903614349,2.5849625007211556,-0.5956401462365568,-1.0,0.0,-2.9289169019385173,-1.0,-2.7813597135246595,-1.15200309344505,-2.222392421336448,3.64,-0.79,3.45,3.02,-0.79,3.49,-0.23,-0.79,-0.61,-1.01,-0.73,-2.74,-1.6,0.0,0.0,-0.88,4.26,0.0,-0.8,-6.75,-1.0,-1.98,0.0,0.0,0.37,0.49,cell wall and cell processes
