,PE/PPE,cell wall and cell processes,information pathways,insertion seqs and phages,intermediary metabolism and respiration,lipid metabolism,regulatory proteins,"virulence, detoxification, adaptation"
2003A_Sassetti_log2FC,0.5186456789720666,-0.0929962664725927,-0.38376298484703425,1.189719826833388,-0.22895134992994945,-0.024036343067387708,0.38413317543630343,0.08023863078069363
2003B_Sassetti_log2FC,0.6690411790162929,-0.6052567436969282,0.9468667815234771,1.0931341249645503,-0.18725153856929072,-0.2367544908576239,0.694176099746388,-0.13019470381685008
2005_Rengarajan_log2FC,2.668411151229456,-0.5104007095548013,0.0,8.46192879087605,0.14582664820556626,-0.044355229957865686,-0.9320753278982375,0.0
2006_Joshi_GI_1_log2FC,8.419308077806397,-0.9978993080594685,-0.6725645360844096,6.082684330866513,2.266319683024567,1.3591755622135593,-2.580949323126948,1.3408147120163667
2006_Joshi_GI_2_log2FC,0.0,0.4850941001291878,-0.8502552966433736,5.412214420810458,0.320526384407697,-1.543364063597393,-0.3145777782023711,7.2040420817724184
2011_Griffin_2_log2FC,10.528236355759946,0.2261499332514022,0.18576003280566258,7.291881490375468,-0.0240131698230475,-0.02482252467309583,-0.20750289849451337,-0.26330573650666683
2013_Zhang_1_log2FC,-0.23755642225332263,0.04016317721296714,-0.05189671060013882,-0.25379634896128384,0.13088377009958832,-0.05212820766905193,-0.08928972907003933,0.0253825540509386
2013_Zhang_2_log2FC,4.009054076153541,0.10323462280848794,0.35373977561859915,0.22646450785215477,-0.2892865295208749,0.04243007613587016,0.28609185039325724,-0.00824767287253549
2013_Zhang_3A_log2FC,0.0,0.0,0.0,0.0,1.2377700780527416,-0.803195213046286,-1.1013646952419565,-0.4570931398259792
2013_Zhang_3B_log2FC,-2.50795987940148,-2.555528579618357,-2.057337584570504,0.12729759322208592,0.3123094821877511,0.17860224356588075,0.284505646982957,-0.08856742409375096
2013_Zhang_3C_log2FC,-0.8104312030886238,0.3597514261826292,-2.2511494359709356,-1.9411654408896803,0.2913135671962074,-2.678369685527328,0.5336921026052219,-1.3360885539785075
2013_Zhang_3D_log2FC,-2.968466926636799,-0.17313764862829473,-1.0426592793382787,-0.4791383483953543,0.1392647973834635,0.4391490861353486,0.3988536978490166,-1.50636311923211
2016_Korte_log2FC,-2.968149830147025,-0.031000663064868417,2.262610424250401,10.354862830143674,0.16999914412002673,2.418727052502102,9.995118576011416,-0.47024174173363203
2017_Mishra_1A_log2FC,-2.7599382611929943,-0.0836251508226754,0.751243010024122,0.13609526788178106,-0.05997986772078733,0.19947243474655746,-0.33494685012239794,-5.218817048279242
2017_Mishra_1B_log2FC,-0.3776919611216738,-0.5387079473995362,0.47893380839472866,0.8410300001331601,0.07700004101039576,0.46695369533148595,0.19349438576021022,0.09964605196626808
2017_Mishra_1C_log2FC,-4.045046884604222,-0.0022625394324884878,-0.4144708159586387,-0.6486209466287403,-0.5608672596561767,0.5406148651436069,0.037990949112034426,-0.3588776838437889
2017_Mishra_1D_log2FC,-0.0940333232967309,0.7594809519741623,-0.4169673800368845,0.0,-0.010545275163770164,-0.2435511567439128,0.5134939208990754,-0.3123203792513107
2018_Rittershaus_1A_log2FC,1.3106358796598403,0.32490535227870687,0.17738686594106676,5.63547804117719,-0.14076476238292493,0.0883977535812717,-0.25465454484564687,-0.288412513026937
2018_Rittershaus_1B_log2FC,0.9218570097659713,-0.5045845731115255,0.4363929211125704,0.006313054963160145,0.4213004254781158,-0.5691606246392887,-0.025748536219514926,1.2533506856957133
2012_Zhang_log2FC,-1.845414402416983,0.06976836191536542,0.6842797947178448,0.00027555407131181324,-0.9415276662259645,-2.4945633911352063,0.6705176359349041,1.5792621707099106
2015_Kieser_GI_1_log2FC,0.1373983286065036,-0.09818874935149144,-0.19762526639760578,0.4097941096906181,0.0825646784042339,0.04373408072598309,0.042209613747420084,-0.13974988105818098
2015_Kieser_GI_2_log2FC,-0.2381583194132544,0.060375128788606805,0.10372681111595813,-0.07124455807368876,-0.14231035066794426,0.06359367127438977,0.039318169133353606,0.12932548751803777
2015_Kieser_GI_3_log2FC,0.2855081588312621,0.002708787798008007,-0.07677181955315734,0.26634979407072684,-0.028565595175803947,-0.05401490870139841,-0.10235603252955018,-0.057802124331322535
2015_Mendum_log2FC,-1.0647101034933675,-0.3843315224462465,-0.086014057181747,3.0896826170718765,-0.021529259065398005,-1.2272594583829128,-1.2589321332685899,-1.9327420483269377
2016_Nambi_log2FC,-0.014840798983125023,-0.05207295185748909,-0.08607762938631706,0.09980147407832815,-0.04829086377532005,-0.03604467629324501,-0.031007097636223283,0.03240120843746174
2017_Xu_1A_log2FC,-0.519946506977796,-0.20554906015441984,0.3394599839790772,0.5152934684510163,0.3279786355329842,0.2609884249409223,-0.14532521235695456,0.031396322974792834
2017_Xu_1B_log2FC,0.6798458146648644,-0.41383929257730695,-0.1944549019051767,1.056181426940212,-0.01611375848671222,0.3137783814122261,-0.055853465737906366,0.24255819210754517
2017_Xu_1C_log2FC,0.1735196020651116,-0.10168344119781791,-0.1771210181852992,0.11347803771296536,0.5447807280217689,0.23198262232435835,-0.4646503784219191,-0.10649375559544759
2017_Xu_1D_log2FC,0.48392174982865854,0.12343212748845846,-0.12528287360898932,-0.19309598188687033,-0.1195311198744849,0.09404386535685692,-0.17732406593982625,-0.4203913921906771
2017_Xu_1E_log2FC,0.801327102598665,-0.062277692915608446,0.17287295103471384,-1.1900819532452822,-0.022790771182558383,-0.504115670525012,0.2863952511151129,0.17785916847762834
2018_Carey_1A_log2FC,-0.11824167704362731,0.011955145679358976,-0.2337525387717126,0.2505609198144476,0.1360678095981037,0.2161687478023084,0.08396591686516554,0.00960386091469996
2018_Carey_1B_log2FC,-0.4219905110127577,-0.2151836309405314,0.10341118088653566,0.18772533454725615,-0.004576026301005411,0.3456199658543986,0.18286320165442488,-0.0240451965516635
2018_Carey_1C_log2FC,-0.26427183799821274,0.053876233550485216,0.18896169159146747,0.1622784539593078,-0.1516922919931296,-0.041391350829766256,-0.06634825301861065,0.04328255559364542
2018_Carey_1D_log2FC,-0.15207304579250305,0.025043186082737923,0.10791592740406322,-0.22589815450222656,0.021899966394887827,0.16885346197054898,0.0762180776311051,-0.3308906465827373
2018_Carey_1E_log2FC,1.3389264480458343,-0.0956566742586852,-0.09810183803448744,-0.055008988452249455,-0.05090774669049882,-0.924475796377051,-0.5060878134906319,0.23256361838028727
2018_Carey_1F_log2FC,-0.2862280456145176,-0.01042393056817628,0.30712923201569287,-0.30706711908795054,-0.06063839462987509,0.13899326707407328,0.06742620488664858,-0.06367154356031118
2018_Carey_1G_log2FC,-0.3070137662366471,0.0891147585939747,0.29093909954791003,-0.094078872901646,0.03182662334863855,-0.22763666424536724,-0.03726349960839193,-0.12780173618510096
2018_Carey_1H_log2FC,-0.38380307149462584,0.034972847533366005,-0.21830544520171927,-0.45361880990201525,0.13009342581957517,0.1534731860325946,0.19199831077659216,0.09533536352647534
2017B_DeJesus_1A_log2FC,0.5967767741455057,-0.040622128382970794,-0.5510516074731542,-0.13829490678166362,-0.04450258320897726,-0.038311233697001984,-0.007640775216480873,0.04274697862250118
2017B_DeJesus_1B_log2FC,-0.10878379572828513,0.10255271315929107,-0.030978915292238507,-0.23886204965074617,-0.02336003439394514,0.0672733141403569,0.11084793575632679,0.19939691929610204
2017B_DeJesus_1C_log2FC,-0.3032602192253662,0.11611164348703747,0.37091116311029415,-0.20144445203553693,0.062054842077301525,-0.18152194363662041,-0.05859613838860852,0.060230000963848826
marP_log2FC,0.17143406388316373,-0.15467893161197296,0.10338650616982696,-0.20975487809191865,0.08590885879276422,0.05357728617231743,0.14730735145428797,-0.04408876408107445
Rv0950_log2FC,1.3854929265232658,0.029285932918541445,-0.2886482411631668,0.6472533252442314,-0.03874369863277368,-0.2279987784703229,0.08689786384100585,-0.18955385311046072
Rv3916c_log2FC,-0.038171795491031,0.04283110846456205,-0.07639401437832702,-0.01984511842251056,-0.0005353754909534934,0.016848082809546968,-0.007617339447490903,0.09357821442735244
Rv0307c_log2FC,0.14549022417394203,0.007894663390575698,0.041960094085728115,-0.11883585225058765,-0.030258078996118667,-0.022561698226480426,0.02742380862676641,-0.007178477754780717
Rv3717_log2FC,-0.1898160665577029,-0.0358087015013478,-0.00012219328260807278,-0.18405224457251268,-0.025846722056398375,0.20812005908512965,-0.010368740747384015,0.19577815076730334
ponA1_log2FC,0.07171251297599847,-0.1099337028861036,-0.03352676225008275,-0.0406940324631325,0.05692002921279262,0.005251642639600404,0.015229551683535634,0.06867937787817446
Rv1565c_log2FC,-0.046193145510098316,-0.02375098217994042,0.025496582731129293,0.12092390499642863,-0.009301492200455695,0.09255214061953122,0.00790453932520508,-0.09860190488496408
Rv3684_log2FC,-0.5022284300134368,-0.24470711469746909,0.46051517168269396,-1.0908881798808756,-0.07545653105731527,0.072532240591151,-0.013558204908862937,0.4031074381454728
Rv0954_log2FC,-0.14869748623707515,-0.053328896167262496,-0.028108406885791443,0.1452490621353937,0.03359876212656649,0.23172840526260183,0.021360899694278106,-0.0978943998059664
Rv3811_log2FC,0.1848016312501508,-0.034883824582729886,0.05863452796436361,-0.07489467891588716,0.022614244563030145,0.0078064262501647596,0.02185896845043455,-0.043649013329225134
Rv1096_log2FC,-0.7975743544616474,0.11568673464827071,-0.046588658334629926,0.7772822651077032,0.2236306989393766,-0.11221344335300812,-0.24874497612741,0.25172050823218683
Rv2680_log2FC,0.030388434507360822,0.015908182268924476,-0.16488985019748498,0.047455215796146574,0.004694520333555762,0.03060245760933784,0.06767907707238977,-0.031993625559470724
Rv1432_log2FC,-0.09504882926893155,-0.011005297319052188,0.1332745094874227,0.028853120821849373,-0.039976532930087016,-0.07446017412065187,0.0703932326254146,-0.0288958502547893
Rv3594_log2FC,0.09302228015757624,0.0701437901193206,0.05058366490329584,0.07457923653811321,-0.010085741005473723,-0.2930570572578019,-0.15693987433898762,-0.06746917287449289
Rv3005c_log2FC,-0.02987469833134726,-0.02744921779763342,0.04619899191876215,-0.02578181891023436,0.03538176691617577,0.03569351650367628,-0.00809253406312725,-0.02883392682408829
