"","ORF","Name","Description","Final.Call","tuberculist","tbdb","kegg","pubmed","google","pubmed_name","google_name","essentiality","geneName"
"1","Rv0001","dnaA","Chromosomal replication initiator protein DnaA","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0001' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0001' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0001' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0001' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0001' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dnaA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dnaA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0001"
"2","Rv0002","dnaN","DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0002' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0002' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0002' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0002' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0002' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dnaN' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dnaN' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0002"
"3","Rv0003","recF","DNA replication and repair protein RecF (single-strand DNA binding protein)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0003' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0003' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0003' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0003' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0003' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=recF' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=recF' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0003"
"4","Rv0004","Rv0004","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0004' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0004' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0004' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0004' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0004' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0004' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0004' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0004"
"5","Rv0005","gyrB","DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0005' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0005' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0005' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0005' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0005' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=gyrB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=gyrB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0005"
"6","Rv0006","gyrA","DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0006' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0006' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0006' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0006' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0006' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=gyrA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=gyrA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv0006"
"7","Rv0007","Rv0007","Possible conserved membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0007' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0007' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0007' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0007' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0007' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0007' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0007' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0007"
"8","Rv0008c","Rv0008c","Possible membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0008c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0008c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0008c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0008c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0008c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0008c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0008c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0008c"
"9","Rv0009","ppiA","Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0009' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0009' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0009' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0009' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0009' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=ppiA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=ppiA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0009"
"10","Rv0010c","Rv0010c","Probable conserved membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv0010c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv0010c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv0010c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0010c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv0010c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv0010c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv0010c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv0010c"
