Rv_ID,CES_calls
Rv0001,carey_632_vs_mbio_H37Rv
Rv0006,carey_632_vs_mbio_H37Rv
Rv0013,minato_minimal_plate_vs_minato_rich_plate
Rv0102,minato_minimal_plate_vs_minato_rich_plate
Rv0189c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv0283,carey_630_vs_mbio_H37Rv
Rv0284,carey_630_vs_mbio_H37Rv
Rv0289,marP_KO_vs_marP_WT
Rv0290,marP_KO_vs_marP_WT
Rv0291,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv0337c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv0338c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv0363c,carey_621_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; minato_minimal_plate_vs_minato_rich_plate
Rv0558,carey_663_vs_mbio_H37Rv
Rv0638,carey_663_vs_mbio_H37Rv
Rv0667,carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv0668,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0
Rv0684,carey_663_vs_mbio_H37Rv
Rv0685,carey_663_vs_mbio_H37Rv
Rv0701,carey_663_vs_mbio_H37Rv
Rv0704,carey_663_vs_mbio_H37Rv
Rv0707,carey_663_vs_mbio_H37Rv
Rv0718,carey_663_vs_mbio_H37Rv
Rv0772,carey_630_vs_mbio_H37Rv
Rv0780,carey_663_vs_mbio_H37Rv
Rv0808,minato_minimal_plate_vs_minato_rich_plate
Rv0809,minato_minimal_plate_vs_minato_rich_plate
Rv0884c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv0951,carey_663_vs_mbio_H37Rv
Rv0956,minato_minimal_plate_vs_minato_rich_plate
Rv1007c,carey_663_vs_mbio_H37Rv
Rv1093,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv1122,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv1133c,minato_minimal_plate_vs_minato_rich_plate
Rv1166,kieser_dPonA1_vs_mbio_H37Rv
Rv1208,PE35_KO_vs_mbio_H37Rv; PPE68_KO_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv1338,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv1402,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv1409,carey_663_vs_mbio_H37Rv
Rv1415,minato_minimal_plate_vs_minato_rich_plate
Rv1461,carey_663_vs_mbio_H37Rv
