Rv_ID,gene_name,2003A_Sassetti_q_val,2003A_Sassetti_log2FC,2003B_Sassetti_q_val,2003B_Sassetti_log2FC,2005_Rengarajan_q_val,2005_Rengarajan_log2FC,2006_Joshi_GI_1_q_val,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_q_val,2006_Joshi_GI_2_log2FC,2011_Griffin_2_q_val,2011_Griffin_2_log2FC,2013_Zhang_1_q_val,2013_Zhang_1_log2FC,2013_Zhang_2_q_val,2013_Zhang_2_log2FC,2013_Zhang_3A_q_val,2013_Zhang_3A_log2FC,2013_Zhang_3B_q_val,2013_Zhang_3B_log2FC,2013_Zhang_3C_q_val,2013_Zhang_3C_log2FC,2013_Zhang_3D_q_val,2013_Zhang_3D_log2FC,2016_Korte_q_val,2016_Korte_log2FC,2017_Mishra_1A_q_val,2017_Mishra_1A_log2FC,2017_Mishra_1B_q_val,2017_Mishra_1B_log2FC,2017_Mishra_1C_q_val,2017_Mishra_1C_log2FC,2017_Mishra_1D_q_val,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_q_val,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_q_val,2018_Rittershaus_1B_log2FC,2012_Zhang_q_val,2012_Zhang_log2FC,2015_Kieser_GI_1_q_val,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_q_val,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_q_val,2015_Kieser_GI_3_log2FC,2015_Mendum_q_val,2015_Mendum_log2FC,2016_Nambi_q_val,2016_Nambi_log2FC,2017_Xu_1A_q_val,2017_Xu_1A_log2FC,2017_Xu_1B_q_val,2017_Xu_1B_log2FC,2017_Xu_1C_q_val,2017_Xu_1C_log2FC,2017_Xu_1D_q_val,2017_Xu_1D_log2FC,2017_Xu_1E_q_val,2017_Xu_1E_log2FC,2018_Carey_1A_q_val,2018_Carey_1A_log2FC,2018_Carey_1B_q_val,2018_Carey_1B_log2FC,2018_Carey_1C_q_val,2018_Carey_1C_log2FC,2018_Carey_1D_q_val,2018_Carey_1D_log2FC,2018_Carey_1E_q_val,2018_Carey_1E_log2FC,2018_Carey_1F_q_val,2018_Carey_1F_log2FC,2018_Carey_1G_q_val,2018_Carey_1G_log2FC,2018_Carey_1H_q_val,2018_Carey_1H_log2FC,2017B_DeJesus_1A_q_val,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_q_val,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_q_val,2017B_DeJesus_1C_log2FC,marP_q_val,marP_log2FC,Rv0950_q_val,Rv0950_log2FC,Rv3916c_q_val,Rv3916c_log2FC,Rv0307c_q_val,Rv0307c_log2FC,Rv3717_q_val,Rv3717_log2FC,ponA1_q_val,ponA1_log2FC,Rv1565c_q_val,Rv1565c_log2FC,Rv3684_q_val,Rv3684_log2FC,Rv0954_q_val,Rv0954_log2FC,Rv3811_q_val,Rv3811_log2FC,Rv1096_q_val,Rv1096_log2FC,Rv2680_q_val,Rv2680_log2FC,Rv1432_q_val,Rv1432_log2FC,Rv3594_q_val,Rv3594_log2FC,Rv3005c_q_val,Rv3005c_log2FC
Rv0001,dnaA,0.0040641567,-3.378400690040971,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0088,-1.0,0.273069357296287,1.242756287157781,0.0815293571247457,1.584962500721156,0.605682421590272,-0.2138800225572905,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,1.0,0.0,1.0,-0.05,1.0,4.53,1.0,0.0,1.0,0.0,1.0,2.14,1.0,0.0,0.11204445,-0.6,0.09911901,-1.02,0.09643956,-0.72,0.56176,-3.29,1.0,0.0,1.0,0.0,0.74036,0.43,1.0,0.0,1.0,2.21,1.0,3.83,1.0,0.0,1.0,0.0,1.0,1.18,1.0,0.0,1.0,-0.1,1.0,3.83,1.0,0.0,0.75078,3.37
Rv0002,dnaN,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009,-1.0,0.753479680029781,-0.5743190420650521,0.160687746886403,1.584962500721156,0.654276995891798,-1.772496512831751,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11056958,-0.6,0.10304851,-1.0,0.10212795,-0.72,1.0,-0.89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.21,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Rv0003,recF,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,8.7e-05,3.223422549934937,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1151,-1.0,0.607458953585253,0.9131899844630671,0.545435192237859,0.439141612217647,0.366101603598818,-0.4521526718125242,0.3083201059935802,-1.0,0.4145189066,0.59923203283883,1.0,-0.5355964234001765,1.0,-0.5497772385802991,1.0,0.1930138178909563,1.0,-0.2108780764448887,0.354781,-0.7387917906643401,1.0,1.29,1.0,0.03,0.6759,-0.64,1.0,-0.49,1.0,-0.09,1.0,-0.31,1.0,0.03,1.0,-0.2,0.13543114,-0.41,0.14847118,0.45,0.11969946,-0.37,0.30369,-0.75,1.0,0.03,1e-05,-2.59,0.7528199999999999,0.91,1.0,-0.62,1.0,-0.4,1e-05,2.81,1.0,0.17,0.3826,-1.2,1.0,0.48,1.0,0.39,0.42468,-1.93,0.6997399999999999,1.5,1.0,0.31,0.49222,3.45
Rv0004,-,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.909333333333334,0.02199431820819114,1.0,-1.119820337269385,1.0,-2.945263373151457,0.03724224379333688,-1.0,1.0,1.51563908782446,1.0,0.0,1.0,0.0,1.0,-0.3219280948873623,1.0,-0.15200309344505,1.0,0.0,1.0,1.53,1.0,1.51,1.0,1.53,1.0,1.53,1.0,1.52,1.0,1.53,1.0,2.07,1.0,1.51,0.09524894,-0.59,0.09352319,-1.01,0.09943336,-0.72,0.08567000000000001,-4.31,1.0,-2.6,1.0,0.0,1.0,0.0,1.0,4.91,1.0,-2.66,1.0,0.0,1.0,1.08,0.98049,-6.83,1.0,2.61,1.0,1.54,1.0,0.0,1.0,0.0,1.0,1.79,1.0,0.0
Rv0005,gyrB,3.637654e-06,-5.919521730394579,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0088,-1.0,0.4898336256894,3.108721767467866,0.0819471325477351,4.087462841250339,0.722442082310915,-0.9054912250766836,1.0,0.0,0.3303929639,-1.94893507118616,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.289506617194985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06563806,2.14,0.05906191,2.21,0.06464366,1.96,1.0,0.45,1.0,0.13,0.18879,-7.69,0.10033,-5.61,1.0,-0.37,1.0,-0.97,1.0,-0.52,1.0,-0.71,1.0,-0.08,1.0,0.04,1.0,0.27,0.39119,-2.3,0.46795,-5.08,1.0,0.7,0.38872,-5.19
Rv0006,gyrA,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0088,-1.0,0.575509767713367,0.06945032222098506,0.374271842470949,-2.58619826861352,0.659689779081528,1.030136139526629,1.0,0.0,1.0,6.70293982380393,1.0,0.5305147166987798,1.0,0.3219280948873623,1.0,0.7004397181410922,1.0,0.0,1.0,0.415037499278844,1.0,1.51,1.0,-0.37,1.0,1.24,1.0,7.03,1.0,0.7,1.0,1.86,1.0,0.96,1.0,3.07,0.11257268,-0.61,0.1016971,-1.01,0.10225466,-0.73,1.0,0.47,1.0,-1.21,1.0,0.0,1.0,0.0,1.0,-0.12,1.0,-4.35,1.0,3.29,1.0,-0.1,1.0,1.66,1.0,0.59,1.0,0.25,1.0,-0.14,1.0,0.6,1.0,3.31,1.0,0.6
Rv0007,-,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,7.26e-06,8.927777962082342,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.000181056,-3.811989756,1.0,0.0,0.9569,-1.0,0.027168401352986,0.5356381521198674,0.272492043878379,-0.8966567517469431,0.0933534079857854,0.1947135947108856,0.2994947270544253,-1.0,0.4658425532,-2.79510803114144,1e-05,-3.284467095417663,1e-05,-3.541732448659587,1.0,-0.4752626227987595,0.953025,-0.6749837233250675,1e-05,-5.057502469041333,1.0,1.13,0.7091,-0.85,1.0,0.85,1.0,0.79,1.0,0.61,1.0,0.78,1.0,1.18,1.0,0.55,0.07624335,1.84,0.00085625,6.39,0.09963292,1.45,0.08567000000000001,0.87,1.0,-0.47,0.1263,-2.65,1e-05,-7.85,1.0,0.11,0.69296,-5.9,1e-05,10.15,1.0,0.31,0.7375,-1.21,1.0,0.73,1.0,-0.34,0.9607600000000001,0.79,1.0,-0.7,1.0,0.85,1.0,-0.02
Rv0008c,-,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05,1.96656250352699,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.747142857142857,0.3344741319794945,0.978571428571428,-0.4465463220935598,0.614285714285715,1.251198154159491,0.9638628773708576,-1.0,0.4700266254,0.644840825970929,1.0,0.05550473116781958,1.0,-0.2498313435410057,1.0,-0.02748879223304243,1.0,-0.6424043929628458,1.0,-0.2899699848048421,0.474,-2.75,1.0,0.04,1.0,1.36,1.0,-0.01,1.0,0.11,1.0,-0.18,1.0,-0.04,1.0,-0.26,0.1189751,1.63,0.11461872,0.58,0.11125837,0.88,1.0,0.08,1.0,0.43,0.38416,-1.44,0.20134,3.64,1.0,0.94,0.96755,-1.48,0.78335,-3.56,1.0,0.71,1.0,-0.51,1.0,-1.16,1.0,0.58,0.82688,-3.82,0.5451699999999999,4.04,1.0,0.44,0.7322,-1.94
Rv0009,ppiA,1.0,0.0,1.0,0.0,1.0,0,1.0,0,1.0,0,0.003150268456367071,-1.893134807959611,0.000725051,4.461704184724262,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.470740093240094,0.9453979592718971,0.236276223776224,1.497388051957075,0.156812354312354,-2.799532404587618,0.1876039721276957,-1.0,0.1697566667,2.08368726420608,1.0,-0.3348659785101512,1.0,-0.6875282868070347,1.0,-0.5079106312430051,1.0,0.4706886111778655,0.999183,-0.8856845786460779,1.0,1.41,1.0,-0.45,1.0,0.55,1.0,-0.66,1.0,0.16,1.0,0.23,1.0,0.65,1.0,-0.11,0.10158195,1.66,0.13849457,1.08,0.06471181,2.02,0.78052,0.46,1.0,-0.1,1.0,-0.11,1.0,0.09,0.7065899999999999,-3.05,1.0,-0.06,0.07705,1.59,1.0,0.24,0.78445,0.78,1.0,-1.73,1.0,0.11,0.51575,2.37,1.0,0.79,1.0,-1.38,0.45547,-2.27
Rv0010c,-,1.0,0.0,1.0,0.0,0.05,-1,1.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.589056423072004,-0.9727451157600613,0.706303236430051,-0.2786292793175391,0.700899430095171,-0.8700390655636959,0.02655445120179033,-1.0,0.3087005097,1.20582657426909,1.0,0.2442114972017932,1.0,0.324336483102691,1.0,-0.1684063613960649,1.0,0.4466272127274329,1.0,-0.1772990119705906,1.0,0.63,0.8096,-1.27,1.0,-0.2,1.0,-0.8,1.0,-0.05,1.0,0.74,1.0,0.65,1.0,1.41,0.12330953,-1.25,0.10570721,-1.42,0.11893868,-1.0,1.0,0.67,1.0,0.29,0.30595,1.76,1.0,0.01,1.0,-0.43,1.0,0.21,0.6993699999999999,-2.13,1.0,0.15,1.0,0.31,1.0,0.36,1.0,0.26,1.0,0.26,0.96544,-0.53,1.0,-0.5,0.30178,-4.05
