screen_old_ID,screen_new_ID,both_CES,both_nonCES,CES_old_nonCES_new,nonCES_old_CES_new
2011_Griffin_2,griffin_cholesterol_vs_griffin_glycerol,59,3877,37,17
2013_DeJesus,griffin_glycerol_vs_mbio_H37Rv,20,3214,647,109
2013_Zhang_1,zhang_wt_mouse_d45_vs_zhang_input_library,253,3335,327,75
2013_Zhang_3A,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,3,3958,1,28
2013_Zhang_3B,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,7,3909,14,60
2013_Zhang_3C,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,11,3949,1,29
2013_Zhang_3D,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,2,3968,10,10
2016_Korte,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,2,3854,134,0
2017B_DeJesus_1A,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,19,3841,27,103
2017B_DeJesus_1B,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,54,3701,36,199
2017B_DeJesus_1C,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,30,3853,54,53
2017_Xu_1A,xu_van_16_vs_xu_van_0,72,3880,17,2
2017_Xu_1B,xu_rif_4_vs_xu_rif_0,62,3896,13,0
2017_Xu_1E,xu_mero_2.5_vs_xu_mero_0,41,3861,69,0
2018_Carey_1A,carey_621_vs_mbio_H37Rv,8,3759,27,196
2018_Carey_1B,carey_630_vs_mbio_H37Rv,9,3847,24,110
2018_Carey_1C,carey_631_vs_mbio_H37Rv,10,3797,31,152
2018_Carey_1D,carey_632_vs_mbio_H37Rv,5,3833,9,143
2018_Carey_1E,carey_641_vs_mbio_H37Rv,6,3864,6,114
2018_Carey_1F,carey_662_vs_mbio_H37Rv,10,3831,8,141
2018_Carey_1G,carey_663_vs_mbio_H37Rv,19,3753,29,189
2018_Carey_1H,carey_667_vs_mbio_H37Rv,8,3826,5,151
2018_Rittershaus_1A,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,98,3773,3,116
2018_Rittershaus_1B,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,27,3921,3,39
Rv0307c,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,7,3429,547,7
Rv0950,Rv0950c_KO_vs_CB_WT,13,3971,5,1
Rv0954,Rv0954_KO_vs_RJ_WT,40,3910,12,28
Rv1096,Rv1096_KO_vs_CB_WT,11,3972,7,0
Rv3005c,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,13,3532,445,0
Rv3594,Rv3594_KO_vs_Rubin_FLUTE_WT,24,3954,11,1
Rv3684,Rv3684_KO_vs_CB_WT,2,3987,1,0
Rv3717,Rv3717_KO_vs_Rubin_FLUTE_WT,67,3900,23,0
Rv3811,Rv3811_KO_vs_Rubin_FLUTE_WT,26,3949,15,0
Rv3916c,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,10,3649,283,48
marP,marP_KO_vs_marP_WT,262,3693,34,1
