category,C_reg,accuracy,log_loss
information pathways,10,0.82793867120954,0.43086075133701063
information pathways,100,0.575809199318569,0.6640758270705579
cell wall and cell processes,10,0.5843270868824532,0.6996140954762596
cell wall and cell processes,100,0.737649063032368,0.6931471824645996
intermediary metabolism and respiration,10,0.5689948892674617,0.708342049442219
intermediary metabolism and respiration,100,0.6819727891156463,0.6931471824645996
regulatory proteins,10,0.8654173764906303,0.36625061663077096
regulatory proteins,100,0.626916524701874,0.6225393568839896
"virulence, detoxification, adaptation",10,0.848381601362862,0.4072265838585426
"virulence, detoxification, adaptation",100,0.6377551020408163,0.657129049707312
insertion seqs and phages,10,0.8943781942078365,0.3143408198220563
insertion seqs and phages,100,0.6751700680272109,0.6007949470409325
lipid metabolism,10,0.7976190476190477,0.46898672864193275
lipid metabolism,100,0.6292517006802721,0.6714455907755045
PE/PPE,10,0.8673469387755102,0.3562049023390488
PE/PPE,100,0.6666666666666666,0.6152104730297394
