,PE/PPE,cell wall and cell processes,information pathways,insertion seqs and phages,intermediary metabolism and respiration,lipid metabolism,regulatory proteins,"virulence, detoxification, adaptation"
PE35_KO_vs_mbio_H37Rv,-0.3132095238571602,0.164927546622521,-0.500816464459283,0.44573614646398335,0.14948020194069286,0.007954864191550738,0.3739842403755967,-0.19508234210336625
PPE68_KO_vs_mbio_H37Rv,0.002794517732022781,-0.18719313665897255,0.22271182252474936,-0.6210618826339217,0.11324514079376002,-0.01406478896111428,-0.3235572161844777,0.027881853499045366
Rv0950c_KO_vs_CB_WT,1.8377699635058915,0.10239732150077266,-0.33692167746513585,0.00869574250585641,-0.18344779631040903,-0.3842063642660655,0.2611018859979897,-0.06097818359498634
Rv0954_KO_vs_RJ_WT,-0.1611314678111765,-0.09724941134431848,0.09214352886725202,0.17296149962294413,0.009092015543036019,0.15939077137255334,-0.12760917239438968,-0.0012340187671255947
Rv1096_KO_vs_CB_WT,-1.1350117781239528,0.18070090616382783,-0.21734159165396863,1.1715505994928745,0.38591541281901726,-0.03341132949247752,-0.2780151975630318,0.01825058916510654
Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,0.007336006959089807,-0.027286215496368994,0.06013737390938483,-0.009280578787470385,0.03318328217795941,0.012725626848205445,-0.059299373341731604,-0.03389685361747387
Rv3594_KO_vs_Rubin_FLUTE_WT,0.39575973585443086,-0.001933174904763127,0.26645268672535677,0.18038249781783056,-0.014983454326446823,-0.19481201434639872,-0.19339067711157423,-0.11821001602227121
Rv3684_KO_vs_CB_WT,-0.5672902076120603,-0.2389267146247506,0.4096956599585261,-0.7944250165016488,0.005052831159856156,0.02127033591073883,0.08200084395957334,0.4127541805524434
Rv3717_KO_vs_Rubin_FLUTE_WT,-0.5960732516119952,-0.06557662978589035,0.03622276776776188,-0.20742377397907358,-0.05844546377040127,0.05857185946796099,-0.061418103004535395,0.2318653562412316
Rv3811_KO_vs_Rubin_FLUTE_WT,0.22485631557260316,0.018238053660117652,-0.022295049683673178,-0.21625748931748098,0.024527381205190782,0.05231030263582269,0.04585867588061525,-0.030202683813693242
bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,-0.689536761563352,-0.06413459208761389,0.30499399004948125,-0.80171532710826,-0.21174626210992578,-0.6635142969085159,0.366172472411521,1.5386613092336825
bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,0.5565140205251549,-0.051543771791014034,-0.3440403716513625,0.9266583648922554,0.3262032474429024,0.6950542258203573,-0.40492453047851407,-1.4112709476600505
bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,-0.2213733397556366,0.09933139296800489,0.34937930642945947,-0.6105424921524534,-0.3498387012741059,-0.6735934479958348,0.12114318229155008,1.4653391052146019
carey_621_vs_carey_rv,0.330504568862254,-0.10876194402345156,-0.15395111241987655,0.20158565268694126,0.04816106876052903,0.0017975388437254515,0.14735120780749375,0.06829077865994143
carey_630_vs_carey_rv,0.022553495911368144,-0.09400808180504609,-0.043935436374029475,0.01840501913602686,-0.041338190637902464,0.23860836627547521,0.0720084456200182,-0.023802138908131976
carey_631_vs_carey_rv,0.7919998008606041,0.01994673555068236,0.04818402778921983,-0.16587822563351864,-0.213469923334677,-0.02989448333680467,-0.043311785369794395,0.3844659832473786
carey_632_vs_carey_rv,-0.22386902437924458,0.11011640897746079,0.21471715823775275,-0.7567213533274121,0.1018759132508933,0.17987119995813544,0.052979437524480796,-0.19294317398837318
