category,C_reg,accuracy,log_loss
information pathways,0.01,0.6047700170357752,0.6606402548729704
information pathways,0.1,0.5884353741496599,0.7017715032838716
information pathways,1.0,0.5911413969335605,0.706212788706978
cell wall and cell processes,0.01,0.5332197614991482,0.6846954591987191
cell wall and cell processes,0.1,0.5340136054421769,0.7071219891047164
cell wall and cell processes,1.0,0.5204081632653061,0.7210367565221183
intermediary metabolism and respiration,0.01,0.5536626916524702,0.6895349759718036
intermediary metabolism and respiration,0.1,0.5017006802721088,0.7036798557697733
intermediary metabolism and respiration,1.0,0.5025553662691652,0.7314007639659887
regulatory proteins,0.01,0.608843537414966,0.6445757014230302
regulatory proteins,0.1,0.5826235093696763,0.6622626463661302
regulatory proteins,1.0,0.6071428571428571,0.6902762854844278
"virulence, detoxification, adaptation",0.01,0.5833333333333334,0.6709199860862122
"virulence, detoxification, adaptation",0.1,0.608843537414966,0.6807143996783082
"virulence, detoxification, adaptation",1.0,0.606473594548552,0.7043492748172695
insertion seqs and phages,0.01,0.6037414965986394,0.65705870325634
insertion seqs and phages,0.1,0.6286201022146508,0.6693076014546226
insertion seqs and phages,1.0,0.65587734241908,0.6914018762298212
lipid metabolism,0.01,0.5638841567291312,0.6613964234104441
lipid metabolism,0.1,0.5578231292517006,0.6790841709497495
lipid metabolism,1.0,0.5621805792163543,0.7133159465170567
PE/PPE,0.01,0.6030664395229983,0.6481075819814801
PE/PPE,0.1,0.6337308347529813,0.6666764305115718
PE/PPE,1.0,0.6524701873935264,0.6780335953413151
