category,C_reg,accuracy,log_loss,roc_auc
information pathways,0.01,0.6252129471890971,0.6498765547641229,0.6351461038961038
information pathways,0.1,0.6678023850085179,0.6321412480714713,0.6393784786641928
information pathways,1.0,0.666098807495741,0.6544347733951825,0.5788497217068646
cell wall and cell processes,0.01,0.532312925170068,0.6853186641429101,0.5627455685192405
cell wall and cell processes,0.1,0.5741056218057922,0.6761969162766008,0.6004320941667287
cell wall and cell processes,1.0,0.5587734241908007,0.7033421056942586,0.5808014156743949
intermediary metabolism and respiration,0.01,0.5918367346938775,0.6675173822769637,0.6087700534759359
intermediary metabolism and respiration,0.1,0.5544217687074829,0.6721195239643198,0.6010375131689494
intermediary metabolism and respiration,1.0,0.5425170068027211,0.6978731681390755,0.5950764799231867
regulatory proteins,0.01,0.5672913117546848,0.677927850483089,0.5088433464345874
regulatory proteins,0.1,0.6695059625212947,0.6591318704411323,0.5194647201946473
regulatory proteins,1.0,0.6564625850340136,0.6941832571283293,0.534718323039491
"virulence, detoxification, adaptation",0.01,0.5519591141396933,0.6864865715133059,0.5669284759358288
"virulence, detoxification, adaptation",0.1,0.6541737649063032,0.641214554135697,0.5829147831910263
"virulence, detoxification, adaptation",1.0,0.686541737649063,0.6706736370642805,0.6000584893048128
insertion seqs and phages,0.01,0.7568027210884354,0.50207113715746,0.8268591873243036
insertion seqs and phages,0.1,0.8537414965986394,0.40343640341489556,0.8288397648862765
insertion seqs and phages,1.0,0.848381601362862,0.44090836140038847,0.7704953426685585
lipid metabolism,0.01,0.5697278911564626,0.676377564967308,0.5663609200194566
lipid metabolism,0.1,0.6105442176870748,0.6693993943332418,0.5747676515466777
lipid metabolism,1.0,0.6156462585034014,0.6876825010176357,0.5763671739281496
PE/PPE,0.01,0.6609880749574105,0.5950054176043854,0.72006552006552
PE/PPE,0.1,0.7614991482112436,0.4982330267927585,0.7756756756756756
PE/PPE,1.0,0.797274275979557,0.5689002922611519,0.778490990990991
