category,C_reg,accuracy,log_loss
information pathways,0.01,0.5979557069846678,0.6534439919188605
information pathways,0.1,0.6564625850340136,0.6276828870877054
information pathways,1.0,0.6575809199318569,0.645952441013117
cell wall and cell processes,0.01,0.5195911413969335,0.6906445874647635
cell wall and cell processes,0.1,0.5544217687074829,0.6835076402501269
cell wall and cell processes,1.0,0.5621805792163543,0.6806322737038671
intermediary metabolism and respiration,0.01,0.5833333333333334,0.6727007249114054
intermediary metabolism and respiration,0.1,0.5689948892674617,0.6666558321974106
intermediary metabolism and respiration,1.0,0.5595238095238095,0.6819012116025474
regulatory proteins,0.01,0.5085034013605442,0.6982874096058314
regulatory proteins,0.1,0.6326530612244898,0.6601768429571889
regulatory proteins,1.0,0.6115843270868825,0.6814230128174946
"virulence, detoxification, adaptation",0.01,0.5051020408163265,0.6984969119668247
"virulence, detoxification, adaptation",0.1,0.6286201022146508,0.6658443696306178
"virulence, detoxification, adaptation",1.0,0.6360544217687075,0.6779619103474369
insertion seqs and phages,0.01,0.7444633730834753,0.5385702058191802
insertion seqs and phages,0.1,0.7989778534923339,0.4748441575468907
insertion seqs and phages,1.0,0.7819420783645656,0.4879145970383706
lipid metabolism,0.01,0.5332197614991482,0.6858118855116998
lipid metabolism,0.1,0.5536626916524702,0.6786551268240135
lipid metabolism,1.0,0.5724020442930153,0.679276096695293
PE/PPE,0.01,0.6360544217687075,0.6067759234080139
PE/PPE,0.1,0.7086882453151618,0.5784854732801102
PE/PPE,1.0,0.7329931972789115,0.5762890562656215
