category,C_reg,accuracy,log_loss
information pathways,10,0.8534923339011925,0.36926274858676467
information pathways,100,0.7619047619047619,0.5621379904030129
cell wall and cell processes,10,0.6530612244897959,0.6316853255274243
cell wall and cell processes,100,0.737649063032368,0.6931471824645996
intermediary metabolism and respiration,10,0.6218057921635435,0.6702241432175573
intermediary metabolism and respiration,100,0.42078364565587734,0.6911865984704219
regulatory proteins,10,0.8705281090289608,0.34878969071924787
regulatory proteins,100,0.6814310051107325,0.5893053291603492
"virulence, detoxification, adaptation",10,0.8603066439522998,0.3566343885159447
"virulence, detoxification, adaptation",100,0.6717687074829932,0.6120080805199892
insertion seqs and phages,10,0.9421768707482994,0.17718170661863186
insertion seqs and phages,100,0.8807495741056218,0.3464207028941564
lipid metabolism,10,0.8537414965986394,0.3886054929138004
lipid metabolism,100,0.7278911564625851,0.5924828419591945
PE/PPE,10,0.9438775510204082,0.19514182544181685
PE/PPE,100,0.8824531516183987,0.33652779309545505
