category,C_reg,accuracy,log_loss
information pathways,10,0.8466780238500852,0.37006097100318125
information pathways,100,0.7563884156729132,0.588334534018978
cell wall and cell processes,10,0.6428571428571429,0.6357126370813622
cell wall and cell processes,100,0.737649063032368,0.6931471824645996
intermediary metabolism and respiration,10,0.608843537414966,0.6595672869283763
intermediary metabolism and respiration,100,0.6819727891156463,0.6931471824645996
regulatory proteins,10,0.8554421768707483,0.3750580480159102
regulatory proteins,100,0.6149914821124361,0.6375734103396155
"virulence, detoxification, adaptation",10,0.8469387755102041,0.38592722161761855
"virulence, detoxification, adaptation",100,0.5996592844974447,0.6469816192477739
insertion seqs and phages,10,0.9420783645655877,0.18917806885162372
insertion seqs and phages,100,0.8637137989778535,0.38902623898125993
lipid metabolism,10,0.826530612244898,0.4230203837738571
lipid metabolism,100,0.6337308347529813,0.6398424632098443
PE/PPE,10,0.9284497444633731,0.21744645620794448
PE/PPE,100,0.8384353741496599,0.43033827910972694
