#Resampling
#Console: python /usr/local/bin/transit resampling H37Rv_day32_rep1.wig,H37Rv_day32_rep2.wig,H37Rv_day32_rep3.wig Rv3005c_day32_rep1.wig,Rv3005c_day32_rep2.wig,Rv3005c_day32_rep3.wig /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table resampling_H37Rv_Rv3005c_day32_s10000_pc0.00.dat
#Control Data: H37Rv_day32_rep1.wig,H37Rv_day32_rep2.wig,H37Rv_day32_rep3.wig
#Experimental Data: Rv3005c_day32_rep1.wig,Rv3005c_day32_rep2.wig,Rv3005c_day32_rep3.wig
#Annotation path: /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table
#Time: 600.038864851
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.2	0.2	2.2	1.97	3.37	0.48020	0.75078
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	0.9	9.9	19.1	208.6	189.53	3.45	0.22800	0.49222
Rv0004	-	hypothetical protein Rv0004 	7	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	3.9	0.1	35.2	1.0	-34.23	-5.19	0.13990	0.38872
Rv0006	gyrA	DNA gyrase subunit A 	45	0.1	0.1	0.3	0.5	0.16	0.60	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	0.2	0.2	2.2	2.2	-0.03	-0.02	1.00000	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	1.8	0.5	11.1	2.9	-8.18	-1.94	0.45240	0.73220
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	2.0	0.4	24.4	5.1	-19.30	-2.27	0.18310	0.45547
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	13.8	0.8	206.8	12.5	-194.29	-4.05	0.09250	0.30178
Rv0011c	-	putative septation inhibitor protein 	3	0.0	0.4	0.0	1.2	1.22	0.49	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	0.8	0.8	20.2	20.1	-0.04	-0.00	0.99530	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	71.7	1.3	429.9	8.0	-421.99	-5.76	0.41660	0.69871
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	6.0	0.2	36.0	1.0	-34.99	-5.22	0.18100	0.45307
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	2.9	0.2	69.3	5.3	-64.05	-3.72	0.02590	0.13164
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	0.6	0.3	5.5	2.4	-3.09	-1.18	1.00000	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	13	18.4	0.2	110.5	1.2	-109.29	-6.50	0.73360	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	28.2	1.2	507.1	22.4	-484.74	-4.50	0.09430	0.30466
Rv0021c	-	hypothetical protein Rv0021c 	22	20.8	54.8	1062.2	2793.3	1731.06	1.39	0.96460	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	6.9	4.1	145.1	85.6	-59.53	-0.76	0.55500	0.83031
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	11.3	59.3	203.3	1068.0	864.72	2.39	0.23310	0.49601
Rv0025	-	hypothetical protein Rv0025 	7	4.1	0.6	49.2	7.7	-41.48	-2.67	0.27920	0.54978
Rv0026	-	hypothetical protein Rv0026 	14	31.1	0.6	839.6	16.6	-823.01	-5.66	0.00010	0.00285
Rv0027	-	hypothetical protein Rv0027 	5	2.4	0.2	28.5	2.2	-26.33	-3.71	0.80820	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	85.9	79.2	1030.4	950.4	-80.03	-0.12	0.94730	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	23.6	3.0	778.3	99.9	-678.34	-2.96	0.03040	0.14544
Rv0030	-	hypothetical protein Rv0030 	5	0.7	0.0	6.4	0.0	-6.36	-0.77	0.08200	0.27737
