Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P9WJG7	ARFB_MYCTU	reviewed	Uncharacterized membrane protein ArfB	arfB Rv0900 MTCY31.28	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	50
P9WQ27	BE_MYCTU	reviewed	Probable 1,4-alpha-glucan branching enzyme Rv3031 (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Branching enzyme) (BE)	Rv3031	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	526
P9WPF9	CDTS_MYCTU	reviewed	Cyclo(L-tyrosyl-L-tyrosyl) synthase (EC 2.3.2.21) (Cyclodipeptide synthase) (CDPS) (Cyclodityrosine synthase)	Rv2275	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	289
P9WJX7	CHLEP_MYCTU	reviewed	Chloramphenicol efflux pump Rv0191	Rv0191	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	413
P9WPG9	CDH_MYCTU	reviewed	Probable CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	cdh Rv2289 MTCY339.21c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	260
P9WPB9	CLPX_MYCTU	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX Rv2457c MTV008.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	426
P9WQA3	ALF_MYCTU	reviewed	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	fba Rv0363c MTCY13E10.25c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
P9WJG5	ARFC_MYCTU	reviewed	Uncharacterized membrane protein ArfC	arfC Rv0901 MTCY31.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	175
O65934	ABC1_MYCTU	reviewed	ABC transporter ATP-binding/permease protein Rv1747 (EC 7.-.-.-)	Rv1747	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	865
P9WNH1	BPOC_MYCTU	reviewed	Putative non-heme bromoperoxidase BpoC (EC 1.11.1.18)	bpoC Rv0554	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	262
P9WQ85	BIOF2_MYCTU	reviewed	Putative 8-amino-7-oxononanoate synthase 2 (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF2 Rv0032	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	771
P9WIR5	CADI_MYCTU	reviewed	Cadmium-induced protein CadI	cadI Rv2641 MTCY441.11	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	152
P9WJP7	3MGH_MYCTU	reviewed	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	Rv1688 MTCI125.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	203
