"","Orf","Name","Desc","Sites","Sites_Hit","B6","B6_pval","B6_Qval","DBA","DBA_pval","DBA_Qval","BXD9","BXD9_pval","BXD9_Qval","BXD29","BXD29_pval","BXD29_Qval","BXD39","BXD39_pval","BXD39_Qval","BXD40","BXD40_pval","BXD40_Qval","BXD48a","BXD48a_pval","BXD48a_Qval","BXD51","BXD51_pval","BXD51_Qval","BXD54","BXD54_pval","BXD54_Qval","BXD56","BXD56_pval","BXD56_Qval","BXD60","BXD60_pval","BXD60_Qval","BXD62","BXD62_pval","BXD62_Qval","BXD67","BXD67_pval","BXD67_Qval","BXD69","BXD69_pval","BXD69_Qval","BXD73","BXD73_pval","BXD73_Qval","BXD73b","BXD73b_pval","BXD73b_Qval","BXD77","BXD77_pval","BXD77_Qval","BXD79","BXD79_pval","BXD79_Qval","BXD90","BXD90_pval","BXD90_Qval","BXD93","BXD93_pval","BXD93_Qval","BXD102","BXD102_pval","BXD102_Qval"
"1","Rv0001","dnaA","chromosomal replication initiation protein ",31,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.86,0.0258,0.7414,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"2","Rv0002","dnaN","DNA polymerase III subunit beta ",31,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.48,0.2842,1,0,1,1,0.15,0.2876,0.99933
"3","Rv0003","recF","recombination protein F ",35,20,0.43,0.3241,1,0.32,0.4023,0.91886,0.04,0.937,1,0.63,0.1163,1,0.53,0.1881,0.82656,-0.05,0.8934,1,0.7,0.1097,1,1.39,0.0042,0.294,0.46,0.2799,1,-0.14,0.7434,1,0.06,0.8914,1,-0.05,0.9061,1,0.12,0.7737,1,0.59,0.1403,0.97187,0.97,0.0071,0.18516,-0.19,0.681,1,0.05,0.8998,1,0.59,0.1029,0.931,0.13,0.7401,1,0.33,0.4571,1,0.1,0.8174,1
"4","Rv0004","-","hypothetical protein Rv0004 ",7,1,-0.9,0.4859,1,-0.9,0.494,0.96831,-0.28,0.8492,1,-0.9,0.4915,1,-0.9,0.4893,1,4.02,0.0899,0.79359,-0.89,0.7615,1,7.08,0.1717,1,-0.9,0.4919,1,2.67,0.2967,1,3.8,0.0767,0.74461,5.08,0.2813,0.8269,5.44,0.0792,0.63921,-0.9,0.4965,1,-0.9,0.4858,1,-0.9,0.4814,1,-0.9,0.49,1,-0.9,0.3671,1,3.95,0.2829,1,-0.9,0.4941,1,-0.85,0.4872,1
"5","Rv0005","gyrB","DNA gyrase subunit B ",42,2,-0.27,0.8285,1,-0.02,0.9892,1,-1.84,0.3088,1,-0.7,0.625,1,-1.2,0.462,1,-0.48,0.6993,1,-0.04,0.9768,1,0.33,0.8743,1,-0.93,0.5437,1,-0.63,0.6599,1,-0.98,0.5263,1,0.63,0.5484,0.96998,-0.34,0.7793,1,-0.05,0.9673,1,-0.3,0.823,1,-1.79,0.3238,0.9855,-1.34,0.4316,1,-0.33,0.7972,1,-0.3,0.809,1,0.71,0.4865,1,0.4,0.7085,1
"6","Rv0006","gyrA","DNA gyrase subunit A ",45,3,1.49,0.2023,1,-1.31,0.1795,0.73103,-1.32,0.1809,0.97593,-1.03,0.2941,1,-1.16,0.2335,0.8781,-0.23,0.7799,1,-0.6,0.683,1,0.22,0.8383,1,0.84,0.5295,1,0.18,0.8036,1,-0.42,0.6153,1,0.35,0.6833,1,-0.73,0.4605,1,-0.18,0.8198,1,-1.1,0.2532,1,-0.95,0.3084,0.97824,0.33,0.6964,1,-0.2,0.7835,1,-0.35,0.6769,1,-0.88,0.3828,0.97811,-0.83,0.3844,1
"7","Rv0007","-","POSSIBLE CONSERVED MEMBRANE PROTEIN ",10,8,-0.41,0.5966,1,-0.47,0.5656,0.99641,-1.38,0.1545,0.91057,-1.38,0.1708,1,-2.54,0.0401,0.44321,-1.94,0.0874,0.78458,-1.81,0.2284,1,0.88,0.2945,1,-0.32,0.676,1,-0.24,0.7701,1,-1.06,0.2465,1,-2.67,0.0459,0.39986,-1.7,0.1145,0.78229,-2.86,0.0352,0.46816,-1.68,0.1019,0.86876,-3.05,0.0362,0.44429,0.03,0.9634,1,-0.23,0.788,1,-1.17,0.2078,1,-2.32,0.0515,0.50863,-2.96,0.0349,0.46862
"8","Rv0008c","-","POSSIBLE MEMBRANE PROTEIN ",4,3,-0.75,0.4698,1,-0.3,0.7398,1,0.82,0.3816,1,-0.45,0.6419,1,0.18,0.8362,1,-0.14,0.876,1,0.56,0.5674,1,1.01,0.3449,1,-1.72,0.191,0.948,-1.29,0.2702,1,-0.84,0.4452,1,0.4,0.6536,1,-0.17,0.8577,1,-0.36,0.703,1,-0.39,0.7026,1,-0.85,0.4408,1,-1.17,0.3135,1,-0.42,0.6619,1,0.23,0.7877,1,-3.25,0.0738,0.58892,0.25,0.7607,1
"9","Rv0009","ppiA","PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ",7,6,0.07,0.8707,1,-0.82,0.0951,0.56166,-1.52,0.0072,0.18534,-1.34,0.0141,0.29767,-1.37,0.0164,0.28205,-1.03,0.0484,0.58877,-0.78,0.2135,1,-1.17,0.1133,1,-0.78,0.1102,0.82495,-0.01,0.9754,1,-0.77,0.1045,0.8223,0.19,0.7239,1,-0.11,0.8107,1,-0.83,0.1071,0.86012,-0.63,0.217,1,-1.82,0.0037,0.11906,-0.89,0.0801,0.819,-1.36,0.0138,0.2561,-0.8,0.0998,0.90181,-1.28,0.0215,0.32129,0.12,0.8056,1
"10","Rv0010c","-","PROBABLE CONSERVED MEMBRANE PROTEIN ",10,6,-0.28,0.7041,1,-0.57,0.4034,0.91886,-0.62,0.3736,1,-0.83,0.2429,1,-1.23,0.1153,0.67532,-0.64,0.3683,1,0.24,0.7511,1,-1.46,0.1996,1,-0.13,0.8548,1,-0.37,0.5665,1,-0.27,0.6886,1,-0.25,0.7097,1,-0.52,0.4384,1,-0.05,0.935,1,-0.32,0.6247,1,0.59,0.3312,0.9862,-0.7,0.3139,1,0.11,0.8485,1,-0.62,0.3658,1,0.3,0.5858,1,-1.12,0.1499,0.88346
