Rv_ID,gene_name,func_tuberculist,COG,u1,u2,u3
Rv0003,recF,information pathways,L,-3.392495,-0.7678782,21.184734
Rv0007,-,cell wall and cell processes,S,3.3222892,-4.5847583,13.685445
Rv0009,ppiA,information pathways,O,4.741359,-2.9172733,12.191081
Rv0012,-,cell wall and cell processes,S,6.9283195,-4.0378613,11.065834
Rv0013,trpG,intermediary metabolism and respiration,EH,10.631085,-4.130562,12.821777
Rv0016c,pbpA,cell wall and cell processes,M,2.6671944,-6.022086,13.766489
Rv0017c,rodA,cell wall and cell processes,D,2.6703823,-6.070484,13.791383
Rv0018c,ppp,regulatory proteins,T,2.73887,-5.8018312,13.592626
Rv0019c,-,regulatory proteins,T,2.623438,-6.004334,13.725435
Rv0020c,TB39.8,regulatory proteins,T,4.12448,-2.8279889,10.823381
Rv0029,-,conserved hypotheticals,S,3.1273074,-4.1320944,7.552563
Rv0038,-,conserved hypotheticals,K,-1.266018,-2.1798081,13.85647
Rv0039c,-,cell wall and cell processes,S,-3.46459,-3.9195373,-5.693651
Rv0040c,mtc28,cell wall and cell processes,S,0.88471913,-6.830815,13.664915
Rv0043c,-,regulatory proteins,K,6.708822,-4.321439,10.468193
Rv0047c,-,conserved hypotheticals,K,6.927435,-4.0092435,11.076018
Rv0049,-,conserved hypotheticals,S,2.6823056,2.1284688,8.616699
Rv0050,ponA1,cell wall and cell processes,M,7.2076387,-2.4973633,12.110273
Rv0051,-,cell wall and cell processes,S,2.6844757,2.0932078,8.6307125
Rv0056,rplI,information pathways,J,7.856643,-2.2268412,12.183516
Rv0062,celA1,intermediary metabolism and respiration,G,6.666859,-4.3614264,10.509611
Rv0064,-,cell wall and cell processes,S,-3.6280866,-3.716093,-5.6576734
Rv0066c,icd2,intermediary metabolism and respiration,C,10.26429,2.1473534,13.37669
Rv0067c,-,regulatory proteins,K,7.8903184,-2.2060652,12.171978
Rv0072,-,cell wall and cell processes,V,7.5090194,-0.59674156,14.825646
Rv0073,-,cell wall and cell processes,V,10.054981,1.2879944,13.397386
Rv0075,-,intermediary metabolism and respiration,E,3.1096184,-4.1449018,7.53739
Rv0078,-,regulatory proteins,K,-3.7194674,-0.5095711,21.680262
Rv0081,-,regulatory proteins,K,3.464499,-4.90382,10.201503
Rv0087,hycE,intermediary metabolism and respiration,C,-1.2984806,-1.8920391,14.170978
Rv0088,-,lipid metabolism,J,-3.667882,-3.4866161,-5.041377
Rv0092,ctpA,cell wall and cell processes,P,10.335311,-3.9826193,12.641456
Rv0096,PPE1,PE/PPE,S,1.4574293,-5.024071,13.921593
Rv0097,-,intermediary metabolism and respiration,Q,1.4092107,-5.0681453,13.951454
Rv0098,-,lipid metabolism,S,-2.7371986,-0.25723222,17.954458
Rv0099,fadD10,lipid metabolism,IQ,-3.0056944,-0.51812714,19.582022
Rv0101,nrp,lipid metabolism,Q,1.4531127,-4.9730105,13.976206
Rv0102,-,cell wall and cell processes,S,10.704276,-4.227163,12.767217
Rv0103c,ctpB,cell wall and cell processes,P,7.8554134,-0.045326877,14.381511
Rv0106,-,conserved hypotheticals,R,-3.0016794,-0.6812837,19.877155
Rv0108c,-,conserved hypotheticals,S,3.677786,-2.5931547,10.69695
Rv0111,-,intermediary metabolism and respiration,I,-3.1385288,-3.1914904,-4.9998493
Rv0112,gca,cell wall and cell processes,MG,3.07035,-4.1695757,7.486127
Rv0113,gmhA,cell wall and cell processes,G,-3.6242156,-4.2482495,-5.372988
Rv0116c,-,cell wall and cell processes,S,7.5456705,-1.7138981,13.628513
Rv0121c,-,conserved hypotheticals,R,-3.6873283,-4.1521177,-5.407341
Rv0123,-,conserved hypotheticals,S,0.89192253,-6.7845063,13.635584
Rv0125,pepA,intermediary metabolism and respiration,O,-3.3754842,-4.188509,-5.4002237
Rv0126,treS,"virulence, detoxification, adaptation",G,10.293532,2.1224487,13.391721
Rv0127,-,"virulence, detoxification, adaptation",G,10.349607,2.1120849,13.384122
Rv0129c,fbpC,lipid metabolism,R,3.1880512,-5.879452,10.633789
Rv0135c,-,regulatory proteins,K,3.8687968,-2.6844776,10.891436
Rv0138,-,conserved hypotheticals,S,2.6283932,2.3068771,8.547659
Rv0140,-,conserved hypotheticals,S,3.1743164,-4.2084603,7.6191816
Rv0153c,ptbB,regulatory proteins,T,7.7414026,-2.2526135,12.057734
Rv0154c,fadE2,lipid metabolism,I,8.006513,-2.314304,12.34369
Rv0155,pntAa,intermediary metabolism and respiration,C,7.205756,-2.212247,12.180296
Rv0157,pntB,intermediary metabolism and respiration,C,6.9396877,-2.2958007,12.189764
Rv0158,-,regulatory proteins,K,7.9063025,-2.2000937,12.198355
Rv0161,-,intermediary metabolism and respiration,C,-1.246715,-1.9263029,13.961926
