#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	14.4	14.8	419.0	428.8	9.79	0.03	0.94790	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	6.0	1.0	6.0	1.0	-5.01	-2.60	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	38.5	42.0	77.0	84.0	6.98	0.13	1.00000	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	8.0	3.5	16.0	6.9	-9.08	-1.21	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	54.0	38.9	540.0	389.3	-150.73	-0.47	0.34050	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	22.8	30.6	91.0	122.5	31.51	0.43	0.62370	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	63.7	59.3	382.0	355.7	-26.32	-0.10	0.80370	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	35.3	43.1	318.0	388.3	70.28	0.29	0.69150	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	6.0	2.0	12.0	4.0	-8.05	-1.60	0.34080	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	44.6	54.5	624.0	762.7	138.73	0.29	0.57950	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	22.5	11.4	45.0	22.7	-22.28	-0.99	0.66110	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	11.3	11.9	34.0	35.6	1.57	0.07	0.85910	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	13.0	6.7	389.0	200.6	-188.44	-0.96	0.06050	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	26.8	17.1	697.0	443.6	-253.39	-0.65	0.14140	1.00000
