#Resampling
#GUI with: norm=TTR, samples=10000, pseudocounts=0.00, adaptive=False, histogram=False, includeZeros=False, output=/pacific/home/mdejesus/TRASH/Subbu/resampling_H37Rv_Rv0307c_day0_s10000_pc0.00.dat
#Control Data: /pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep2.wig
#Experimental Data: /pacific/home/mdejesus/TRASH/Subbu/Rv0307c_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/Rv0307c_day0_rep2.wig
#Annotation path: /pacific/home/mdejesus/TRASH/Subbu/H37Rv.prot_table
#Time: 1012.51782894
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.3	0.0	1.4	1.39	0.43	0.42360	0.74036
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	2.2	4.1	66.3	124.4	58.11	0.91	0.46600	0.75282
Rv0004	-	hypothetical protein Rv0004 	7	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	47.8	0.0	286.6	0.0	-286.56	-5.61	0.01740	0.10033
Rv0006	gyrA	DNA gyrase subunit A 	45	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	10.5	0.0	125.5	0.5	-124.99	-7.85	0.00000	0.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	12.7	158.7	76.4	952.4	875.97	3.64	0.04930	0.20134
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	18.9	20.1	188.5	200.5	11.97	0.09	0.91510	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	18.9	19.0	150.8	152.3	1.45	0.01	0.98170	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	6.5	0.0	90.9	0.0	-90.86	-2.91	0.00000	0.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	22.8	0.3	45.6	0.5	-45.04	-6.39	0.33280	0.66055
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	0.0	179.3	0.0	358.7	358.68	7.49	0.33420	0.66055
