Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv0001	dnaA	Chromosomal replication initiator protein DnaA	Essential	information pathways	Rv0685, Rv2361c, Rv3806c, Rv1094, Rv1603, Rv2247, Rv0534c, Rv0951, Rv2726c, Rv1656
Rv0002	dnaN	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	Essential	information pathways	Rv3596c, Rv2906c, Rv2987c, Rv3031, Rv2109c, Rv1658, Rv1652, Rv0803, Rv2580c, Rv1606
Rv0003	recF	DNA replication and repair protein RecF (single-strand DNA binding protein)	Non essential	information pathways	Rv2737c, Rv1984c, Rv3339c, Rv3451, Rv2275, Rv2873, Rv3504, Rv1634, Rv3287c, Rv1542c
Rv0004	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2246, Rv2837c, Rv2165c, Rv1340, Rv1248c, Rv3764c, Rv0462, Rv2110c, Rv2391, Rv2392
Rv0005	gyrB	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	Essential	information pathways	Rv1169c, Rv3518c, Rv1938, Rv3565, Rv1187, Rv2816c, Rv2870c, Rv1608c, Rv1218c, Rv0220
Rv0006	gyrA	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	Essential	information pathways	Rv0286, Rv2294, Rv1625c, Rv3366, Rv1161, Rv1196, Rv2299c, Rv0977, Rv1660, NONE
Rv0007	-	Possible conserved membrane protein	Non essential	cell wall and cell processes	Rv2171, Rv2051c, Rv2733c, Rv2869c, Rv3413c, Rv0859, Rv0860, Rv1698, Rv1932, Rv1700
Rv0008c	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv1917c, Rv0654, Rv1885c, Rv1021, Rv3667, Rv3765c, Rv3328c, Rv0192, Rv2822c, Rv2217
Rv0009	ppiA	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	Non essential	information pathways	Rv3823c, Rv3433c, Rv0019c, Rv1819c, Rv1492, Rv1701, Rv3036c, Rv0256c, Rv0627, Rv2977c
Rv0010c	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv1777, Rv3133c, Rv3089, Rv3506, Rv3734c, Rv1180, Rv2429, Rv0114, Rv2821c, Rv0182c
Rv0011c	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv2594c, Rv2582, Rv3804c, Rv2981c, Rv2220, Rv0946c, Rv1631, Rv3001c, Rv0016c, Rv0440
Rv0012	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv2359, Rv1539, Rv1822, Rv2476c, Rv2613c, Rv1477, Rv1538c, Rv2419c, Rv0018c, Rv0465c
Rv0013	trpG	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	Essential	intermediary metabolism and respiration	Rv2745c, Rv1114, Rv0902c, Rv3168, Rv2829c, Rv1938, Rv2586c, Rv0126, Rv0900, Rv2870c
