#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.8	0.1	-3.29	13.4	1.36	-12.0	0.10290	0.56176
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.9	0.0	-0.89	3.4	0.00	-3.4	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	17.6	10.5	-0.75	2176.8	1295.90	-880.9	0.03740	0.30369
Rv0004	-	hypothetical protein Rv0004 	7	18.8	0.0	-4.31	150.1	0.00	-150.1	0.00700	0.08567
Rv0005	gyrB	DNA gyrase subunit B 	42	13.6	18.7	0.45	272.8	373.30	100.5	0.66920	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	2.8	3.8	0.47	44.2	61.36	17.2	0.74790	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	183.6	335.1	0.87	7343.2	13403.69	6060.5	0.00700	0.08567
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	43.4	45.9	0.08	520.9	551.39	30.5	0.86800	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	80.9	111.1	0.46	2266.5	3111.10	844.6	0.20090	0.78052
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	46.0	73.4	0.67	1654.8	2640.72	986.0	0.61370	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	3.6	0.5	-2.74	43.0	6.43	-36.5	0.04610	0.35305
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	45.6	1011.3	4.47	2915.6	64720.53	61804.9	0.00000	0.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	9.5	31.4	1.73	151.7	502.42	350.7	0.10470	0.56355
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.9	0.0	-0.89	3.4	0.00	-3.4	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	11.4	26.7	1.23	136.4	320.05	183.7	0.27730	0.87578
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	16.5	0.4	-5.25	2175.7	57.34	-2118.4	0.00000	0.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	39.6	1.5	-4.73	3958.1	149.32	-3808.8	0.00000	0.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	25.9	6.4	-2.02	1451.5	358.55	-1093.0	0.00180	0.02650
Rv0019c	-	hypothetical protein Rv0019c 	13	16.5	0.6	-4.90	860.0	28.82	-831.2	0.00000	0.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	46.3	4.8	-3.28	1666.7	171.48	-1495.2	0.00000	0.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	61.7	72.7	0.24	5431.2	6399.24	968.0	0.39750	0.96168
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	72.3	72.4	0.00	2313.9	2315.62	1.7	0.99800	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	1.9	3.9	1.05	68.4	141.84	73.5	0.23340	0.81653
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	28.1	42.8	0.61	1235.0	1884.31	649.3	0.19170	0.76993
Rv0025	-	hypothetical protein Rv0025 	7	38.3	43.9	0.20	1072.4	1228.25	155.9	0.61490	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	61.2	49.0	-0.32	2936.6	2351.84	-584.8	0.25890	0.85826
Rv0027	-	hypothetical protein Rv0027 	5	37.9	35.7	-0.09	757.8	713.85	-43.9	0.87730	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	47.1	51.1	0.12	942.0	1021.48	79.5	0.79720	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	41.9	53.7	0.36	3016.6	3866.62	850.0	0.40110	0.96168
Rv0030	-	hypothetical protein Rv0030 	5	27.6	27.7	0.00	552.5	553.08	0.6	0.99860	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.7	0.75	0.0	2.72	2.7	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	42.7	52.0	0.28	8880.4	10809.75	1929.3	0.28510	0.88251
