Rv_ID,gene_name,func_tuberculist,COG,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10
Rv0003,recF,information pathways,L,2.250207,6.0495105,7.7685747,-3.3202708,-5.7583737,10.0330105,1.4842992,-6.074707,-0.206108,-4.10746
Rv0007,-,cell wall and cell processes,S,-0.69698477,3.0680382,6.8307757,-2.0821006,-7.1754107,11.619222,-0.778162,-3.8776262,2.216901,-1.1139656
Rv0009,ppiA,information pathways,O,-0.4207902,3.1134107,7.699445,-2.094793,-7.1906395,11.692169,-0.6872381,-3.801855,2.3132598,-0.9570508
Rv0012,-,cell wall and cell processes,S,-0.86644274,2.111032,7.038775,-2.317243,-6.8559923,13.053456,-2.423438,-4.4136825,4.044961,-0.08312885
Rv0013,trpG,intermediary metabolism and respiration,EH,-1.647276,0.80007875,7.319732,-0.6415938,-6.982925,13.965538,-3.0831742,-4.8845496,5.11594,1.195349
Rv0016c,pbpA,cell wall and cell processes,M,-1.1106076,2.8481243,5.2779636,-2.790359,-7.3616595,11.961605,-1.4441159,-3.4139245,2.7100277,-1.1027093
Rv0017c,rodA,cell wall and cell processes,D,-1.1205525,2.8468926,5.235913,-2.8096254,-7.3674226,11.950968,-1.4454373,-3.3916214,2.7001522,-1.1199473
Rv0018c,ppp,regulatory proteins,T,-1.0137827,2.9095256,5.5433636,-2.687784,-7.318261,11.99848,-1.368805,-3.6187263,2.6714842,-1.0898682
Rv0019c,-,regulatory proteins,T,-1.0824583,2.8569784,5.301553,-2.799118,-7.3554316,11.980914,-1.4502809,-3.4482646,2.7120962,-1.123444
Rv0020c,TB39.8,regulatory proteins,T,-0.7756853,2.294145,7.0561786,-2.4126816,-6.84391,12.98678,-2.3311164,-4.505164,3.909752,-0.1912883
Rv0029,-,conserved hypotheticals,S,-0.7401353,2.6323912,2.3553867,3.0885472,-4.9486995,6.6444116,-0.13271175,-5.09904,1.57794,-1.129072
Rv0038,-,conserved hypotheticals,K,0.7389728,4.977315,9.599738,-1.8300014,-7.8117657,10.660133,1.135794,-5.0285387,-0.40411234,-2.0623436
Rv0039c,-,cell wall and cell processes,S,0.24751458,-6.843555,-14.51128,-3.3669627,-0.1667731,-1.8024393,-0.02100234,3.3878927,2.0395167,-1.5572766
Rv0040c,mtc28,cell wall and cell processes,S,-1.2283276,3.229077,3.840925,-3.3967068,-7.47283,11.7567215,-1.2448215,-3.0645075,2.2102668,-1.8605237
Rv0043c,-,regulatory proteins,K,-0.77559227,2.01893,6.7679706,-2.5953112,-6.611877,13.090479,-2.74512,-4.4961925,4.2293577,-0.24446996
Rv0047c,-,conserved hypotheticals,K,-0.8747117,2.1300046,7.0777726,-2.3341594,-6.882169,13.061599,-2.4125566,-4.4012556,4.036216,-0.072279334
Rv0049,-,conserved hypotheticals,S,0.022273434,-6.605861,-13.274672,-3.0882578,-0.9865729,-1.186225,-0.06660398,2.5247998,2.0863724,-0.91663104
Rv0050,ponA1,cell wall and cell processes,M,-0.6506274,1.4880706,8.254329,-1.5944577,-6.9468303,11.802601,-1.128364,-2.5411127,3.3573484,0.112843886
Rv0051,-,cell wall and cell processes,S,0.06286169,-6.6201396,-13.442832,-3.1712146,-0.8767686,-1.2666391,-0.1356139,2.6169164,2.0948446,-1.0050534
Rv0056,rplI,information pathways,J,-0.4813011,1.1738197,8.709605,-1.7103753,-6.795389,11.876819,-1.1597558,-2.1706512,3.3733337,0.47764146
Rv0062,celA1,intermediary metabolism and respiration,G,-0.76569724,2.0359728,6.7758064,-2.5778651,-6.6127124,13.103599,-2.7379134,-4.511628,4.2101107,-0.23765312
Rv0064,-,cell wall and cell processes,S,0.311946,-6.786177,-14.331461,-3.3356595,-0.27382013,-1.8723246,0.00027031262,3.3973808,2.0419168,-1.4098623
Rv0066c,icd2,intermediary metabolism and respiration,C,-2.4923918,2.355742,7.827781,-4.1260815,-7.5136147,11.6729355,-2.9866648,1.1740134,5.587305,2.9904964
Rv0067c,-,regulatory proteins,K,-0.47594768,1.180693,8.707198,-1.7338604,-6.7855167,11.8923645,-1.1747597,-2.1809087,3.3736346,0.47997543
Rv0072,-,cell wall and cell processes,V,-1.2327901,2.4984598,7.8124695,-3.6443474,-7.3632092,11.597834,-1.7589471,-1.560069,4.2347145,0.84212595
Rv0073,-,cell wall and cell processes,V,-2.412711,2.7596316,7.7898617,-3.894052,-7.3795023,11.897756,-2.9675238,0.7982342,5.582848,2.8698905
Rv0075,-,intermediary metabolism and respiration,E,-0.766497,2.5917253,2.3052268,3.1402783,-4.877387,6.5992656,-0.15280156,-5.123249,1.6357138,-1.0992988
Rv0078,-,regulatory proteins,K,2.35274,6.2688217,7.7654233,-3.3482237,-5.6780343,9.810621,1.794824,-6.1996694,-0.4110797,-4.465482
Rv0081,-,regulatory proteins,K,0.23790522,5.5227365,9.294483,-2.825761,-6.98972,11.308977,0.7362601,-3.9826534,1.540265,-0.49770737
Rv0087,hycE,intermediary metabolism and respiration,C,0.8464207,4.984789,9.455716,-1.709306,-7.7184844,10.433665,1.420329,-5.1545568,-0.59731305,-2.3416858
Rv0088,-,lipid metabolism,J,0.4102138,-6.578805,-14.542446,-3.6460123,0.14536402,-1.9868035,-0.58253527,3.3204975,2.1481137,-1.4681975
Rv0092,ctpA,cell wall and cell processes,P,1.2126199,6.868759,9.473692,-3.1322925,-6.5380254,12.532847,0.63401943,-3.2237246,2.847454,1.9021496
Rv0096,PPE1,PE/PPE,S,-0.5589242,3.4759018,6.668015,-2.3390641,-7.3274946,11.364239,-0.34546402,-3.917114,1.6071178,-1.6867741
Rv0097,-,intermediary metabolism and respiration,Q,-0.49031875,3.5342991,6.7138567,-2.3623903,-7.380599,11.438625,-0.36590052,-3.9385786,1.6217918,-1.6304135
Rv0098,-,lipid metabolism,S,-0.046166815,4.224381,7.206962,-1.8135682,-6.2624755,9.726039,0.56385446,-4.3794074,-0.23373118,-2.405492
Rv0099,fadD10,lipid metabolism,IQ,0.9085165,5.0992765,8.506259,-2.2124088,-6.951847,10.360758,1.124349,-5.165024,-0.25770816,-2.759816
Rv0101,nrp,lipid metabolism,Q,-0.49601158,3.533105,6.7038293,-2.3392656,-7.395294,11.440292,-0.3403418,-3.9466202,1.599185,-1.6436838
Rv0102,-,cell wall and cell processes,S,-1.6634012,0.81181145,7.373228,-0.62724614,-6.9386606,13.92191,-3.064689,-4.9291945,5.149818,1.2064575
