Rv_ID,gene_name,Annotation,func_tuberculist,COG,u1,u2,cluster_labels
Rv0003,recF,2.0,information pathways,L,-17.735023,14.495029,15
Rv0006,gyrA,5.0,information pathways,L,-27.707169,27.708073,10
Rv0007,-,1.0,cell wall and cell processes,S,-24.125223,27.623251,4
Rv0009,ppiA,4.0,information pathways,O,-17.27498,29.045324,18
Rv0012,-,1.0,cell wall and cell processes,S,-14.3810425,29.086258,14
Rv0013,trpG,3.0,intermediary metabolism and respiration,EH,-13.796715,38.21063,0
Rv0016c,pbpA,4.0,cell wall and cell processes,M,-24.693277,27.436907,4
Rv0017c,rodA,2.0,cell wall and cell processes,D,-24.635294,27.50025,4
Rv0018c,ppp,5.0,regulatory proteins,T,-25.127272,27.528545,4
Rv0019c,-,5.0,regulatory proteins,T,-24.741482,27.49911,4
Rv0020c,TB39.8,5.0,regulatory proteins,T,-17.347366,28.902754,18
Rv0029,-,1.0,conserved hypotheticals,S,-13.618233,25.139063,9
Rv0038,-,1.0,conserved hypotheticals,K,-13.84627,26.659637,9
Rv0039c,-,1.0,cell wall and cell processes,S,-9.492684,44.852264,19
Rv0040c,mtc28,1.0,cell wall and cell processes,S,-9.588927,31.990353,11
Rv0043c,-,1.0,regulatory proteins,K,-14.167828,28.982517,14
Rv0047c,-,1.0,conserved hypotheticals,K,-14.372353,29.200912,14
Rv0049,-,1.0,conserved hypotheticals,S,-24.37176,27.837906,4
Rv0050,ponA1,5.0,cell wall and cell processes,M,-16.018593,30.886581,13
Rv0051,-,1.0,cell wall and cell processes,S,-16.918903,15.267956,15
Rv0056,rplI,2.0,information pathways,J,-15.517258,31.064295,13
Rv0062,celA1,3.0,intermediary metabolism and respiration,G,-14.167882,28.920471,14
Rv0064,-,2.0,cell wall and cell processes,S,-8.762543,45.959915,5
Rv0066c,icd2,5.0,intermediary metabolism and respiration,C,-9.831157,-1.7318262,2
Rv0067c,-,1.0,regulatory proteins,K,-15.537429,31.094658,13
Rv0072,-,2.0,cell wall and cell processes,V,-14.430204,33.378796,7
Rv0073,-,3.0,cell wall and cell processes,V,-10.420732,-1.4737873,2
Rv0075,-,1.0,intermediary metabolism and respiration,E,-13.619007,25.158764,9
Rv0078,-,1.0,regulatory proteins,K,-18.086477,12.605539,3
Rv0081,-,2.0,regulatory proteins,K,-12.015302,26.34582,20
Rv0082,-,1.0,intermediary metabolism and respiration,C,-27.721478,27.707846,10
Rv0087,hycE,2.0,intermediary metabolism and respiration,C,-13.781521,26.107908,9
Rv0088,-,1.0,lipid metabolism,J,-8.5012665,45.647293,5
Rv0092,ctpA,5.0,cell wall and cell processes,P,-10.684828,27.440542,20
Rv0096,PPE1,2.0,PE/PPE,S,-8.805913,18.451788,6
Rv0097,-,2.0,intermediary metabolism and respiration,Q,-8.835699,18.448439,6
Rv0098,-,2.0,lipid metabolism,S,-9.287122,44.324543,19
Rv0099,fadD10,2.0,lipid metabolism,IQ,-18.34745,13.599025,3
Rv0101,nrp,2.0,lipid metabolism,Q,-8.866028,18.429764,6
Rv0102,-,1.0,cell wall and cell processes,S,-13.7922,38.23009,0
Rv0103c,ctpB,3.0,cell wall and cell processes,P,-14.327877,33.918266,7
Rv0106,-,1.0,conserved hypotheticals,R,-18.373814,13.706926,3
Rv0108c,-,1.0,conserved hypotheticals,S,-27.297083,27.79249,10
Rv0111,-,1.0,intermediary metabolism and respiration,I,-8.831448,45.563255,5
Rv0112,gca,1.0,cell wall and cell processes,MG,-13.601973,25.169712,9
Rv0113,gmhA,3.0,cell wall and cell processes,G,-8.736453,45.954353,5
Rv0116c,-,5.0,cell wall and cell processes,S,-15.112974,33.212593,7
Rv0121c,-,1.0,conserved hypotheticals,R,-8.773811,45.994358,5
Rv0122,-,1.0,conserved hypotheticals,S,-13.369314,32.54499,7
Rv0123,-,1.0,conserved hypotheticals,S,-9.583282,32.011475,11
Rv0125,pepA,1.0,intermediary metabolism and respiration,O,-9.073356,45.71305,5
Rv0126,treS,5.0,"virulence, detoxification, adaptation",G,-9.8753605,-1.677361,2
Rv0127,-,3.0,"virulence, detoxification, adaptation",G,-9.874153,-1.6950117,2
Rv0129c,fbpC,5.0,lipid metabolism,R,-13.759836,26.685793,9
Rv0135c,-,1.0,regulatory proteins,K,-17.506014,28.982016,18
Rv0138,-,1.0,conserved hypotheticals,S,-17.040697,15.018809,15
Rv0140,-,1.0,conserved hypotheticals,S,-13.609805,25.187769,9
Rv0153c,ptbB,1.0,regulatory proteins,T,-15.835984,30.881462,13
Rv0154c,fadE2,1.0,lipid metabolism,I,-15.848151,31.059498,13
Rv0155,pntAa,1.0,intermediary metabolism and respiration,C,-16.07025,30.877533,13
Rv0157,pntB,2.0,intermediary metabolism and respiration,C,-16.215004,30.782427,13
Rv0158,-,1.0,regulatory proteins,K,-15.467804,31.087126,13
Rv0161,-,1.0,intermediary metabolism and respiration,C,-14.045034,26.567719,9
Rv0168,yrbE1B,1.0,"virulence, detoxification, adaptation",Q,-12.652875,30.331682,16
Rv0169,mce1A,4.0,"virulence, detoxification, adaptation",NT,-12.664967,30.32098,16
Rv0170,mce1B,2.0,"virulence, detoxification, adaptation",Q,-12.637216,30.3307,16
Rv0171,mce1C,1.0,"virulence, detoxification, adaptation",NT,-12.63555,30.338234,16
Rv0172,mce1D,2.0,"virulence, detoxification, adaptation",Q,-12.67304,30.305195,16
Rv0173,lprK,1.0,cell wall and cell processes,Q,-12.583983,30.380571,16
Rv0174,mce1F,2.0,"virulence, detoxification, adaptation",Q,-12.680017,30.320314,16
Rv0175,-,2.0,cell wall and cell processes,S,-15.894982,27.75209,1
Rv0176,-,1.0,cell wall and cell processes,S,-12.647355,30.318329,16
Rv0177,-,1.0,conserved hypotheticals,S,-27.216618,27.801807,10
Rv0178,-,2.0,cell wall and cell processes,S,-13.713897,31.900127,7
Rv0179c,lprO,1.0,cell wall and cell processes,S,-13.510935,31.064175,16
Rv0180c,-,1.0,cell wall and cell processes,S,-24.79629,27.39049,4
Rv0181c,-,2.0,conserved hypotheticals,R,-13.754489,32.758884,7
