#Resampling
#Console: python /usr/local/bin/transit resampling TnSeq_H37Rv_CB.wig TnSeq_Mtb_Rv3684ko.wig /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table resampling_H37Rv_Rv3684_day0_s10000_pc0.00.dat
#Control Data: TnSeq_H37Rv_CB.wig
#Experimental Data: TnSeq_Mtb_Rv3684ko.wig
#Annotation path: /home/mad/transit_tests/transit_tamu/src/pytransit/genomes/H37Rv.prot_table
#Time: 651.158548117
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	14.0	15.7	419.0	472.0	53.04	0.17	0.71590	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	6.0	12.7	6.0	12.7	6.66	1.08	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	38.5	23.6	77.0	47.2	-29.80	-0.71	0.32990	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	16.0	15.0	16.0	15.0	-1.03	-0.10	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	54.0	67.1	540.0	671.2	131.21	0.31	0.48860	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	22.8	37.1	91.0	148.5	57.52	0.71	0.77310	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	54.6	64.3	382.0	450.2	68.16	0.24	0.64080	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	31.8	35.2	318.0	352.3	34.30	0.15	0.83250	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	6.0	3.5	12.0	6.9	-5.09	-0.80	0.66800	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	39.0	40.2	624.0	643.6	19.58	0.04	0.94360	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	22.5	13.8	45.0	27.6	-17.37	-0.70	1.00000	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
