#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	17.9	7.8	-1.20	930.8	405.18	-525.6	0.01400	0.38260
Rv0004	-	hypothetical protein Rv0004 	7	51.6	0.5	-6.83	206.6	1.82	-204.8	0.14840	0.98049
Rv0005	gyrB	DNA gyrase subunit B 	42	35.5	33.6	-0.08	212.9	201.51	-11.4	0.95380	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	4.7	14.8	1.66	18.7	59.02	40.4	0.53480	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	133.1	57.5	-1.21	2661.3	1149.42	-1511.9	0.04990	0.73750
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	21.2	14.9	-0.51	127.5	89.29	-38.2	0.56600	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	35.2	60.6	0.78	422.5	727.38	304.9	0.06370	0.78445
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	62.7	77.8	0.31	1003.6	1244.88	241.3	0.69060	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	47.9	0.4	-6.75	287.4	2.66	-284.8	0.02020	0.48553
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	82.4	37.9	-1.12	2471.4	1136.24	-1335.1	0.23350	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	0.0	0.9	0.93	0.0	1.82	1.8	1.00000	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	4.4	17.2	1.96	17.7	68.85	51.2	0.25790	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	51.8	2.2	-4.57	3002.6	126.41	-2876.2	0.00000	0.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	94.4	6.6	-3.85	4718.1	327.54	-4390.6	0.00000	0.00000
