#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'H37Rv_vs_delta_Rv3594_TTR.dat', mode 'w' at 0x2d7dc00> expList=['delta_Rv3594_TnSeq.wig'] doAdaptive=False ctrlList=['H37Rv_TnSeq.wig']
#Control Samples:  H37Rv_TnSeq.wig
#Experimental Samples:  delta_Rv3594_TnSeq.wig
#Normalized with TTR
#TTR factors:	1.0000	0.9593
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0001	dnaA	chromosomal replication initiation protein 	31	1	1.0	0.0	-1.0	0.00	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	25	563.0	697.4	134.4	0.31	0.56600	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	2	10.0	34.5	24.5	1.79	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	3	191.0	310.8	119.8	0.70	0.60760	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	4	6.0	59.5	53.5	3.31	0.37320	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	10	628.0	1135.8	507.8	0.85	0.19600	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	4	177.0	239.8	62.8	0.44	0.78210	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	7	985.0	378.0	-607.0	-1.38	0.26590	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	8	888.0	628.4	-259.6	-0.50	0.55030	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	3	77.0	99.8	22.8	0.37	0.70390	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	13	1518.0	1455.3	-62.7	-0.06	0.90240	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	2	37.0	89.2	52.2	1.27	0.66790	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	2	1.0	1.0	-0.0	-0.06	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	4	310.0	55.6	-254.4	-2.48	0.17210	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	36	30	2671.0	3548.5	877.5	0.41	0.44190	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	24	3296.0	4682.5	1386.5	0.51	0.30010	1.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	13	2609.0	2660.2	51.2	0.03	0.96580	1.00000
