#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0001	dnaA	chromosomal replication initiation protein 	31	1	0.2	0.0	-0.2	3.83	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	9	19.1	54.0	34.9	1.50	0.30560	0.69974
Rv0004	-	hypothetical protein Rv0004 	7	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	3	35.2	1.0	-34.2	-5.08	0.13960	0.46795
Rv0006	gyrA	DNA gyrase subunit A 	45	1	0.3	0.5	0.2	0.60	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	3	2.2	1.4	-0.8	-0.70	0.94490	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	2	11.1	182.5	171.4	4.04	0.18340	0.54517
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	3	24.4	42.2	17.8	0.79	0.94420	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	5	206.8	143.0	-63.8	-0.53	0.61580	0.96544
Rv0011c	-	putative septation inhibitor protein 	3	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	10	20.2	12.1	-8.0	-0.73	0.36630	0.76721
Rv0013	trpG	para-aminobenzoate synthase component II 	15	1	429.9	0.2	-429.7	-10.84	0.10060	0.39939
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	1	0.0	11.3	11.3	1.92	0.39650	0.79349
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	36	6	0.0	46.4	46.4	3.95	0.00000	0.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	12	69.3	383.0	313.6	2.47	0.01190	0.13337
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	6	5.5	228.3	222.8	5.37	0.01870	0.16843
Rv0019c	-	hypothetical protein Rv0019c 	13	5	110.5	466.6	356.1	2.08	0.22950	0.59694
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	6	507.1	519.0	11.9	0.03	0.97920	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	16	1062.2	1383.6	321.4	0.38	0.48490	0.83937
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	6	145.1	1317.4	1172.3	3.18	0.02110	0.18028
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	7	203.3	741.2	537.9	1.87	0.03590	0.24528
Rv0025	-	hypothetical protein Rv0025 	7	6	49.2	307.6	258.4	2.64	0.20270	0.57117
Rv0026	-	hypothetical protein Rv0026 	14	9	839.6	601.1	-238.5	-0.48	0.52730	0.87700
Rv0027	-	hypothetical protein Rv0027 	5	4	28.5	71.7	43.2	1.33	0.34770	0.74587
Rv0028	-	hypothetical protein Rv0028 	5	4	1030.4	152.4	-878.0	-2.76	0.21580	0.58338
Rv0029	-	hypothetical protein Rv0029 	18	9	778.3	3.2	-775.1	-7.94	0.00000	0.00000
Rv0030	-	hypothetical protein Rv0030 	5	3	6.4	257.5	251.2	5.34	0.21190	0.58044
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	37	2403.1	1325.5	-1077.6	-0.86	0.06490	0.33114
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	80.0	173.0	93.0	1.11	0.30920	0.70325
Rv0034	-	hypothetical protein Rv0034 	5	2	10.3	827.1	816.8	6.33	0.13210	0.45477
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	17	1228.5	1047.4	-181.1	-0.23	0.70580	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	3	67.4	332.7	265.3	2.30	0.20350	0.57160
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	14	2784.5	2406.8	-377.7	-0.21	0.80630	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	5	76.2	109.6	33.3	0.52	0.45620	0.82413
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	2	106.0	1.0	-104.9	-6.67	0.09160	0.39131
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	6	181.3	20.1	-161.2	-3.18	0.12240	0.43719
Rv0041	leuS	leucyl-tRNA synthetase 	72	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	3	78.6	105.3	26.6	0.42	1.00000	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	6	144.7	12.0	-132.7	-3.59	0.02080	0.17895
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	14	560.3	247.5	-312.8	-1.18	0.30570	0.69974
Rv0045c	-	POSSIBLE HYDROLASE 	7	6	933.8	182.3	-751.5	-2.36	0.07600	0.36057
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	4	946.4	185.8	-760.7	-2.35	0.79130	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	14	1537.6	2393.1	855.4	0.64	0.47420	0.83241
Rv0049	-	hypothetical protein Rv0049 	8	6	606.1	156.6	-449.5	-1.95	0.22910	0.59694
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	8	17.5	54.1	36.6	1.63	0.08620	0.38219
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	16	2002.8	354.8	-1648.0	-2.50	0.00420	0.06868
Rv0052	-	hypothetical protein Rv0052 	7	6	380.7	1401.7	1021.0	1.88	0.07420	0.35499
Rv0053	rpsF	30S ribosomal protein S6 	6	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	1	0.0	0.4	0.4	-2.90	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	1	1806.7	0.5	-1806.2	-11.92	0.10110	0.39939
Rv0056	rplI	50S ribosomal protein L9 	7	2	7.5	0.2	-7.3	-5.28	0.45890	0.82413
Rv0057	-	hypothetical protein Rv0057 	15	6	39.6	21.6	-18.0	-0.87	0.38720	0.79008
Rv0058	dnaB	replicative DNA helicase 	39	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	15	1747.0	2072.2	325.2	0.25	0.89400	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	1	273.6	1.0	-272.6	-8.07	0.09690	0.39939
Rv0061	-	hypothetical protein Rv0061 	6	3	136.5	90.8	-45.7	-0.59	0.67870	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	16	1492.7	493.3	-999.4	-1.60	0.02640	0.20533
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	15	510.0	428.5	-81.5	-0.25	0.70300	1.00000
Rv0064	-	hypothetical protein Rv0064 	68	35	498.8	674.9	176.2	0.44	0.46710	0.82774
Rv0065	-	hypothetical protein Rv0065 	8	6	328.5	638.8	310.3	0.96	0.32840	0.72154
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	1	0.0	2.7	2.7	-0.16	1.00000	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	4	0.0	25.2	25.2	3.07	0.00000	0.00000
Rv0068	-	short chain dehydrogenase 	12	8	775.9	661.1	-114.7	-0.23	0.82200	1.00000
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	9	212.3	183.7	-28.6	-0.21	0.82250	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	11	604.1	592.3	-11.9	-0.03	0.97540	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	6	92.1	236.1	144.0	1.36	0.26360	0.64486
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	10	1799.6	1554.0	-245.6	-0.21	0.80850	1.00000
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	11	1587.4	324.3	-1263.1	-2.29	0.28190	0.67191
Rv0074	-	hypothetical protein Rv0074 	19	12	538.8	646.6	107.8	0.26	0.72910	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	17	1319.2	163.0	-1156.2	-3.02	0.00050	0.01956
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	3	85.6	256.5	171.0	1.58	0.26460	0.64651
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	11	1106.3	337.9	-768.4	-1.71	0.06060	0.32606
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	3	0.2	97.0	96.8	8.84	0.00930	0.11524
Rv0078A	-	hypothetical protein Rv0078A 	10	6	185.1	305.3	120.2	0.72	0.65240	0.99506
Rv0079	-	hypothetical protein Rv0079 	14	11	533.1	188.5	-344.7	-1.50	0.10000	0.39939
Rv0080	-	hypothetical protein Rv0080 	4	3	2.8	16.4	13.7	2.57	0.22450	0.59230
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	5	681.0	71.0	-610.0	-3.26	0.02130	0.18160
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	4	28.6	1.1	-27.5	-4.72	0.21380	0.58269
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	15	486.3	579.9	93.6	0.25	0.70720	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	7	83.4	138.6	55.1	0.73	0.42660	0.80669
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	2	28.8	0.9	-27.9	-5.05	0.87920	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	6	612.8	22.1	-590.8	-4.80	0.02640	0.20533
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	7	2.5	209.0	206.6	6.41	0.00030	0.01425
Rv0088	-	hypothetical protein Rv0088 	14	4	42.2	0.8	-41.4	-5.67	0.06650	0.33426
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	5	65.4	196.4	131.1	1.59	0.11820	0.42992
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	9	263.0	357.8	94.8	0.44	0.71180	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	7	1171.8	489.2	-682.6	-1.26	0.38950	0.79049
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	16	179.8	595.4	415.6	1.73	0.06290	0.32707
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	3	13.1	774.5	761.5	5.89	0.00730	0.10009
Rv0094c	-	hypothetical protein Rv0094c 	14	11	282.4	244.4	-38.0	-0.21	0.83150	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	3	22.7	0.4	-22.3	-5.82	0.32290	0.71559
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	14	144.0	10.3	-133.7	-3.80	0.44970	0.82413
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	15	26.4	62.5	36.1	1.24	0.10150	0.39939
Rv0098	-	hypothetical protein Rv0098 	11	5	6.7	1.3	-5.3	-2.31	0.22570	0.59324
Rv0099	fadD10	acyl-CoA synthetase 	32	6	0.4	65.4	64.9	7.28	0.01570	0.15429
Rv0100	-	hypothetical protein Rv0100 	3	2	1.8	15.8	14.0	3.11	0.09170	0.39132
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	50	49.5	354.5	305.0	2.84	0.00100	0.02956
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	2	0.0	84.5	84.5	4.82	0.06080	0.32606
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	27	1572.6	6627.1	5054.5	2.08	0.11880	0.43050
Rv0104	-	hypothetical protein Rv0104 	27	19	1397.9	1683.6	285.6	0.27	0.59780	0.94577
Rv0105c	rpmB	50S ribosomal protein L28 	5	3	20.3	611.8	591.5	4.91	0.00910	0.11311
Rv0106	-	hypothetical protein Rv0106 	12	9	37.7	503.3	465.6	3.74	0.00550	0.08440
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	37	2235.9	2372.7	136.8	0.09	0.85570	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	2	12.3	77.7	65.4	2.66	0.18350	0.54517
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	9	206.2	1041.2	835.0	2.34	0.01560	0.15429
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	11	657.7	657.3	-0.5	-0.00	0.99930	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	24	652.0	202.9	-449.2	-1.68	0.12110	0.43452
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	10	578.1	6.6	-571.4	-6.44	0.00000	0.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	4	57.5	61.5	4.0	0.10	0.97960	1.00000
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	7	400.3	356.0	-44.3	-0.17	0.87310	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	12	615.0	663.8	48.8	0.11	0.83290	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	14	306.1	614.3	308.2	1.01	0.16610	0.52339
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	11	121.4	222.0	100.6	0.87	0.41090	0.79453
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	14	270.7	150.8	-119.9	-0.84	0.42600	0.80633
Rv0119	fadD7	acyl-CoA synthetase 	13	1	0.0	1.2	1.2	-1.36	1.00000	1.00000
Rv0120c	fusA2	elongation factor G 	27	14	302.0	938.3	636.3	1.64	0.14770	0.48504
Rv0121c	-	hypothetical protein Rv0121c 	10	4	20.4	0.0	-20.4	-2.77	0.01390	0.14634
Rv0122	-	hypothetical protein Rv0122 	9	4	130.0	167.3	37.3	0.36	0.72280	1.00000
Rv0123	-	hypothetical protein Rv0123 	8	1	0.2	0.0	-0.2	3.83	1.00000	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	6	521.2	150.9	-370.3	-1.79	0.11260	0.41945
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	7	210.3	9.5	-200.8	-4.46	0.01450	0.14950
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	3	164.6	0.7	-163.9	-7.96	0.46840	0.82842
Rv0127	-	hypothetical protein Rv0127 	30	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	16	3161.7	2136.5	-1025.2	-0.57	0.35560	0.75591
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	27	10	25.4	474.8	449.4	4.22	0.00040	0.01663
Rv0130	-	hypothetical protein Rv0130 	4	3	19.7	25.2	5.5	0.36	0.67510	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	12	1859.2	925.3	-933.9	-1.01	0.32550	0.71754
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	10	404.8	1244.1	839.3	1.62	0.10720	0.40929
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	4	422.2	298.8	-123.4	-0.50	0.96370	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	10	650.1	485.2	-164.9	-0.42	0.55090	0.89889
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	6	24.5	20.2	-4.3	-0.28	0.90960	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	18	1145.9	1616.7	470.8	0.50	0.35440	0.75457
Rv0137c	msrA	methionine sulfoxide reductase A 	11	6	790.8	185.8	-605.1	-2.09	0.45520	0.82413
Rv0138	-	hypothetical protein Rv0138 	6	6	548.3	674.8	126.5	0.30	0.62790	0.97514
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	11	1132.1	428.1	-704.1	-1.40	0.07200	0.34738
Rv0140	-	hypothetical protein Rv0140 	15	12	804.5	58.8	-745.8	-3.77	0.00070	0.02408
Rv0141c	-	hypothetical protein Rv0141c 	9	5	151.4	116.5	-34.9	-0.38	0.69440	1.00000
Rv0142	-	hypothetical protein Rv0142 	6	5	91.2	311.6	220.4	1.77	0.17790	0.54102
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	16	1023.1	1267.1	244.0	0.31	0.59710	0.94541
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	13	1129.3	2313.8	1184.5	1.03	0.43650	0.81536
Rv0145	-	hypothetical protein Rv0145 	15	9	439.6	275.1	-164.5	-0.68	0.34740	0.74563
Rv0146	-	hypothetical protein Rv0146 	16	12	415.1	482.2	67.1	0.22	0.78220	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	21	1993.3	834.6	-1158.7	-1.26	0.05230	0.30508
