#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.1	0.0	0.2	0.0	-0.21	-0.10	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	0.6	0.2	19.1	5.0	-14.09	-1.93	0.11080	0.42468
Rv0004	-	hypothetical protein Rv0004 	7	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	3.9	0.0	35.2	0.0	-35.19	-2.30	0.08510	0.39119
Rv0006	gyrA	DNA gyrase subunit A 	45	0.1	0.0	0.3	0.0	-0.31	-0.14	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	0.2	0.4	2.2	3.8	1.62	0.79	0.59620	0.96076
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	1.8	0.1	11.1	0.8	-10.28	-3.82	0.44660	0.82688
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	2.7	14.0	24.4	125.8	101.39	2.37	0.16070	0.51575
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	17.2	20.6	206.8	247.3	40.50	0.26	0.99100	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	0.7	0.6	20.2	17.5	-2.67	-0.20	0.79960	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	71.7	6.3	429.9	38.0	-391.97	-3.50	0.41350	0.79435
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	1.7	3.3	36.0	68.4	32.45	0.93	0.25970	0.64966
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	1.8	10.7	69.3	417.7	348.40	2.59	0.00040	0.01923
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	0.6	10.0	5.5	89.9	84.37	4.02	0.32600	0.72181
Rv0019c	-	hypothetical protein Rv0019c 	13	12.3	8.9	110.5	80.3	-30.22	-0.46	0.92390	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	21.1	28.0	507.1	671.5	164.40	0.41	0.75210	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	22.1	14.2	1062.2	682.6	-379.59	-0.64	0.31350	0.70573
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	8.1	17.3	145.1	312.3	167.19	1.11	0.13360	0.46777
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	6.8	2.2	203.3	67.5	-135.81	-1.59	0.14710	0.49108
Rv0025	-	hypothetical protein Rv0025 	7	4.1	4.5	49.2	53.9	4.70	0.13	0.93900	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	28.0	13.8	839.6	413.7	-425.94	-1.02	0.16740	0.52634
Rv0027	-	hypothetical protein Rv0027 	5	1.9	1.5	28.5	22.1	-6.46	-0.37	0.93900	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	85.9	58.8	1030.4	705.7	-324.68	-0.55	0.62280	0.98298
Rv0029	-	hypothetical protein Rv0029 	18	25.9	2.6	778.3	78.6	-699.68	-3.31	0.02010	0.18870
Rv0030	-	hypothetical protein Rv0030 	5	0.7	0.2	6.4	2.0	-4.35	-1.66	0.24160	0.62273
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	22.9	11.4	2403.1	1192.5	-1210.61	-1.01	0.03470	0.24505
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	8.9	5.3	80.0	47.7	-32.26	-0.74	0.51030	0.87236
Rv0034	-	hypothetical protein Rv0034 	5	1.7	13.6	10.3	81.3	71.09	2.99	0.05540	0.32328
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	21.6	13.3	1228.5	759.8	-468.73	-0.69	0.28640	0.67802
