Rv_ID,Name,Description,Final Call,Functional_Category,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,pca1,pca2,pca3,tsne1,tsne2,y_hc
Rv0003,recF,DNA replication and repair protein RecF (single-strand DNA binding protein),NE,information pathways,-0.03,-0.08,0.03,-1.2,0.39,3.83,0.31,0.17,-0.62,0.48,-0.14,-0.17,-0.02,0.95,0.12,0.04,-0.27,-0.01,-0.45,-0.07,-0.53,-1.4,0.46,1.46,1.5,-1.36,1.76,2.81,-0.35,-0.36,-1.93,-2.97,-1.14,-0.14,-0.59,0.28,-1.2,-1.47,-0.98,-0.75,1.03,0.3,0.09,-0.21,0.55,-0.55,-1.29,-0.25,-0.38,0.28,0.87,-0.53,-0.57,-0.55,-2.93,-0.31,1.09,-2.13,0.51,0.41,1.3,-0.49,-1.26,-2.25,-4.950952377883812,15.492798023873004,-5.795328035613461,-2.9547029,-37.44952,4
Rv0004,-,hypothetical protein,NE,conserved hypotheticals,-3.81,-3.39,-2.6,-6.83,1.54,0.0,1.79,1.08,4.91,2.61,0.0,0.0,0.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,3.49,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.68,-4.47,-1.75,-3.7,-6.05,0.0,-4.07,6.03,0.36,2.27,3.76,0.62,0.0,0.0,0.02,0.29,3.09,2.68,-0.56,-3.82,-4.56,-3.56,0.0,1.96,-3.56,0.0,0.0,0.0,0.7,-2.62,-2.62,3.0707049245411038,-1.3043380860606026,4.264815729449432,7.104335,13.6772785,1
Rv0007,-,Possible conserved membrane protein,NE,cell wall and cell processes,-0.44,-0.14,-0.47,-1.21,-0.34,-0.27,0.85,0.31,0.11,0.73,0.56,-0.18,-0.74,0.8,-0.89,0.51,0.61,0.39,0.63,1.05,0.21,-5.43,4.36,-5.71,-0.7,-0.42,0.18,10.15,4.54,-2.76,0.79,-1.88,-0.39,-0.73,-0.77,1.69,-4.2,-7.91,-0.62,0.87,2.35,-1.44,-0.63,0.81,-2.93,-1.02,-4.32,-0.58,-0.89,-1.98,-1.4,-5.02,-3.54,-3.28,-5.16,-0.87,0.39,-8.3,0.0,0.0,-0.9,3.05,-2.77,-7.24,-2.881420031921472,5.918736424019627,1.757095870974064,-10.030735,-35.89264,1
Rv0008c,-,Possible membrane protein,NE,cell wall and cell processes,-0.22,-0.0,0.43,-0.51,0.58,-3.9,0.44,0.71,0.94,-1.16,-0.09,0.37,0.46,-2.77,-0.19,-1.06,-0.4,-0.16,-0.36,-0.23,-0.71,-2.39,-3.12,1.02,4.04,0.63,-5.31,-3.56,-0.64,-7.37,-3.82,1.16,-4.8,-0.25,-0.47,-0.25,0.56,-0.99,0.96,0.08,-2.21,2.8,1.69,-1.11,0.56,-0.2,-0.05,-0.47,-0.78,0.2,0.04,0.07,-0.25,0.06,0.87,0.52,-1.29,-1.35,-1.11,0.15,-0.26,0.44,2.11,0.59,-2.7843711076723787,3.1497464425205015,-3.3443956334658522,5.7702456,-45.295433,0
Rv0009,ppiA,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A),NE,information pathways,-0.13,-0.12,-0.1,0.78,0.11,-3.73,-1.38,0.24,-3.05,-1.73,1.45,0.8,-0.65,1.27,-0.59,0.19,-0.18,0.2,0.02,0.77,-0.3,-2.56,-0.21,-1.32,0.79,-0.45,-0.04,1.59,-0.93,-0.32,2.37,0.13,-1.82,-0.41,0.12,-0.94,-0.52,-0.56,0.73,0.46,0.62,0.5,0.12,-0.38,2.06,-1.14,-1.47,0.29,0.76,-1.6,-0.81,-1.46,-0.76,-0.41,-1.98,-0.46,0.13,-2.09,-1.57,-0.24,0.26,1.99,-1.39,-4.1,0.6143055983475907,6.254284010281368,0.9127638282635746,-15.282796,-41.005184,1
Rv0010c,-,Probable conserved membrane protein,NE,cell wall and cell processes,-0.06,0.07,0.29,0.31,0.26,-7.21,-0.5,0.15,-0.43,0.36,0.34,-0.02,-0.36,0.23,-1.46,0.15,-0.78,-0.21,0.53,0.53,1.12,0.85,0.21,0.83,-0.53,-0.51,-0.57,-2.13,-0.71,1.37,0.26,-0.26,0.23,-0.06,-0.21,-0.06,-0.05,0.23,-1.68,0.67,-0.81,-1.43,-0.74,0.69,1.2,-0.27,-0.32,0.36,0.31,-0.94,-0.86,-0.31,0.32,0.24,0.33,0.01,0.87,2.04,-0.35,-0.16,0.09,1.58,1.45,0.46,3.9203329895847725,9.198225883760736,1.6469280911361257,-14.844847,20.949726,3
Rv0011c,-,Probable conserved transmembrane protein,NE,cell wall and cell processes,0.42,0.56,-1.6,-6.75,-1.98,2.02,0.37,-0.8,-0.88,-1.0,0.0,0.0,0.0,3.39,-0.9,0.8,3.15,-1.6,3.35,-0.39,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21,-0.2,0.0,-3.8,-0.26,-2.59,-2.74,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,-1.31,-0.71,-1.08,-1.08,0.0,-1.02,-2.9,-4.47,0.0,-4.08,-4.47,0.0,0.0,0.0,0.0,-3.5,-3.5,-7.127797069566829,1.1353397132590144,-0.5849283919781448,31.573252,-29.90897,1
Rv0012,-,Probable conserved membrane protein,NE,cell wall and cell processes,-0.24,-0.74,0.29,-1.12,-1.12,-0.23,-0.06,0.04,-1.22,0.18,0.59,0.32,-0.28,0.24,0.23,-0.24,0.62,0.1,0.31,-0.22,0.52,-1.78,4.65,0.68,-0.73,-3.19,0.92,2.55,-0.15,1.94,-0.2,-3.92,-2.51,-1.14,-1.33,-1.24,0.05,0.08,1.69,4.47,-0.36,0.27,1.66,1.39,1.49,-0.15,-0.92,-1.36,-1.71,-1.16,-1.3,-0.66,-0.65,-1.08,-1.14,-0.18,-0.63,-1.61,0.65,0.45,1.3,-0.17,-1.38,-2.21,3.499370251040018,1.522270455428532,1.441266521450916,-13.590975,22.796694,1
Rv0016c,pbpA,Probable penicillin-binding protein PbpA,NE,cell wall and cell processes,0.09,-0.25,-0.96,-4.57,-0.84,-2.56,0.45,0.28,-0.16,0.48,-3.76,-2.44,1.32,1.42,-0.75,0.81,1.7,0.33,1.34,-0.17,-0.05,-0.01,2.16,-1.02,0.74,1.76,-2.56,-2.56,0.0,1.73,0.93,-0.81,0.4,-0.82,-1.03,-0.58,-1.55,-1.67,0.58,-5.25,4.72,-3.49,-2.04,1.45,-0.73,0.38,1.14,-2.81,-3.41,-0.96,-0.27,-2.16,-0.57,-0.86,-6.1,-1.14,-0.52,-4.0,0.84,1.39,-2.29,2.39,-3.08,-5.93,-1.1634882554832846,-2.2741852194563243,1.0778484178828653,16.382624,-8.233132,1
Rv0017c,rodA,Probable cell division protein RodA,NE,cell wall and cell processes,-0.12,-0.19,-0.65,-3.85,-0.38,-6.63,0.51,0.17,0.31,0.75,-1.75,-2.05,-0.3,0.86,-0.51,0.85,1.43,0.35,1.03,-0.07,-0.24,-1.31,2.97,-0.88,2.47,2.03,-8.83,-5.46,2.05,-0.24,2.59,1.52,0.48,-0.62,-0.64,-0.01,-1.53,-1.79,1.23,-4.73,4.69,-1.11,-1.24,-0.12,-0.58,0.18,0.43,-2.87,-3.57,-0.84,-0.24,-2.29,-0.83,-1.78,-7.2,-1.03,-0.6,-3.79,0.82,-1.39,6.59,1.99,-8.4,-4.38,-3.6652958713206463,-2.3884802800529457,1.3800571581960985,9.5364895,-19.442598,0
