#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS_term15_2.txt -l -iN 15 -iC 15
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2086.511485815048
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	25	0.0	0.7	0.72	0.0	32.58	0.7	0.06870	0.56252
Rv0002	dnaN	DNA polymerase III subunit beta 	22	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0003	recF	recombination protein F 	25	42.4	39.8	-0.09	3176.6	1989.25	-2.6	0.82480	1.00000
Rv0004	-	hypothetical protein Rv0004 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	28	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	30	0.2	0.5	1.51	15.1	28.82	0.3	0.24410	0.85882
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	8	79.9	226.3	1.50	1917.1	3621.52	146.5	0.05000	0.50708
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	3	42.0	32.5	-0.37	378.2	194.74	-9.6	0.77690	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	4	226.5	392.9	0.79	2717.5	3143.34	166.5	0.00890	0.17667
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	151.4	248.8	0.72	3634.7	3981.14	97.4	0.37390	0.92034
Rv0011c	-	putative septation inhibitor protein 	3	2.1	1.8	-0.22	19.0	10.88	-0.3	0.86640	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	193.3	196.6	0.02	5799.1	3931.11	3.3	0.96140	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	10	0.0	0.5	0.63	0.0	10.89	0.5	0.40300	0.92034
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	15	0.0	0.7	0.73	0.0	19.86	0.7	0.15630	0.75593
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	10	0.0	0.4	0.53	0.0	8.98	0.4	0.39810	0.92034
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	30	33.0	10.6	-1.64	2965.7	634.30	-22.4	0.00000	0.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	17	58.5	33.8	-0.79	2982.3	1148.62	-24.7	0.05870	0.53719
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	20	68.9	76.3	0.15	4135.2	3051.82	7.4	0.81360	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	10	126.5	95.9	-0.40	3795.7	1918.80	-30.6	0.35550	0.92034
Rv0020c	TB39.8	hypothetical protein Rv0020c 	47	16.3	18.8	0.21	2291.3	1771.16	2.6	0.77080	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	13	328.0	439.4	0.42	12793.9	11423.52	111.3	0.34530	0.92034
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	6	216.5	200.4	-0.11	3896.8	2404.37	-16.1	0.83070	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	0.0	0.5	0.58	0.0	8.98	0.5	0.40110	0.92034
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	10	183.3	167.6	-0.13	5499.6	3351.62	-15.7	0.85010	1.00000
Rv0025	-	hypothetical protein Rv0025 	4	99.9	109.7	0.14	1198.4	877.58	9.8	0.88150	1.00000
Rv0026	-	hypothetical protein Rv0026 	7	135.7	80.8	-0.75	2849.6	1130.96	-54.9	0.35820	0.92034
Rv0027	-	hypothetical protein Rv0027 	4	102.9	53.9	-0.93	1235.0	431.09	-49.0	0.34180	0.92034
Rv0028	-	hypothetical protein Rv0028 	4	229.6	347.8	0.60	2755.8	2782.18	118.1	0.34110	0.92034
Rv0029	-	hypothetical protein Rv0029 	10	114.2	171.5	0.59	3425.1	3429.45	57.3	0.44780	0.94116
Rv0030	-	hypothetical protein Rv0030 	4	63.5	32.0	-0.99	761.6	255.96	-31.5	0.20960	0.82101
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	5.1	31.4	2.61	15.4	62.87	26.3	0.40110	0.92034
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	41	97.9	91.4	-0.10	12045.2	7491.18	-6.6	0.79190	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	361.9	483.1	0.42	3256.8	2898.44	121.2	0.38920	0.92034
Rv0034	-	hypothetical protein Rv0034 	3	180.0	486.7	1.43	1620.0	2920.03	306.7	0.31340	0.92034
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	19	241.4	414.6	0.78	13760.8	15754.97	173.2	0.03650	0.43473
Rv0036c	-	hypothetical protein Rv0036c 	3	435.8	464.2	0.09	3921.9	2785.03	28.4	0.87970	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	14	153.2	265.1	0.79	6432.9	7422.69	111.9	0.15330	0.75593
Rv0038	-	hypothetical protein Rv0038 	6	160.5	128.6	-0.32	2889.3	1543.21	-31.9	0.63330	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	210.3	237.2	0.17	2523.4	1897.36	26.9	0.78410	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	6	355.9	221.7	-0.68	6406.7	2660.93	-134.2	0.04050	0.45265
Rv0041	leuS	leucyl-tRNA synthetase 	49	0.0	0.1	2.14	3.7	10.92	0.1	0.75870	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	4	35.7	98.7	1.47	428.1	789.59	63.0	0.10250	0.67679
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	5	199.6	307.3	0.62	2994.5	3072.70	107.6	0.41490	0.92072
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	16	146.5	189.5	0.37	7029.9	6065.49	43.1	0.43410	0.93415
Rv0045c	-	POSSIBLE HYDROLASE 	6	95.3	241.9	1.34	1715.2	2903.12	146.6	0.02520	0.34084
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	10	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	6	180.0	191.5	0.09	3240.7	2297.48	11.4	0.90520	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	10	372.5	332.0	-0.17	11174.1	6639.04	-40.5	0.70790	1.00000
Rv0049	-	hypothetical protein Rv0049 	4	118.8	149.8	0.33	1425.9	1198.08	30.9	0.54840	0.97932
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	27	32.4	12.6	-1.36	2622.5	681.50	-19.8	0.01400	0.25276
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	108.3	134.8	0.32	9097.7	7547.62	26.5	0.51370	0.96455
Rv0052	-	hypothetical protein Rv0052 	5	220.8	380.0	0.78	3312.4	3799.97	159.2	0.11720	0.72165
Rv0053	rpsF	30S ribosomal protein S6 	4	0.0	1.4	1.24	0.0	10.93	1.4	0.38980	0.92034
Rv0054	ssb	single-strand DNA-binding protein 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
