#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'resampling_H37Rv_Rv1565c_day32_TTR.dat', mode 'w' at 0x392ac00> expList=['Rv1565c_day32_rep1.wig', 'Rv1565c_day32_rep2.wig', 'Rv1565c_day32_rep3.wig'] doAdaptive=False ctrlList=['H37Rv_day32_rep1.wig', 'H37Rv_day32_rep2.wig', 'H37Rv_day32_rep3.wig']
#Control Samples:  H37Rv_day32_rep1.wig, H37Rv_day32_rep2.wig, H37Rv_day32_rep3.wig
#Experimental Samples:  Rv1565c_day32_rep1.wig, Rv1565c_day32_rep2.wig, Rv1565c_day32_rep3.wig
#Normalized with TTR
#TTR factors:	1.0000	0.2109	0.3076	0.7218	0.4697	0.6368
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0001	dnaA	chromosomal replication initiation protein 	31	1	0.2	0.0	-0.2	3.83	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	8	19.1	133.8	114.6	2.81	0.00000	0.00000
Rv0004	-	hypothetical protein Rv0004 	7	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	3	35.2	24.5	-10.7	-0.52	0.70250	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	1	0.3	0.0	-0.3	3.29	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	5	2.2	2508.1	2505.9	10.15	0.00000	0.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	2	11.1	0.9	-10.1	-3.56	0.44940	0.78335
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	5	24.4	73.5	49.1	1.59	0.00840	0.07705
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	4	206.8	47.4	-159.4	-2.13	0.36020	0.69937
Rv0011c	-	putative septation inhibitor protein 	3	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	7	20.2	118.3	98.1	2.55	0.00210	0.02930
Rv0013	trpG	para-aminobenzoate synthase component II 	15	2	429.9	10.8	-419.2	-5.32	0.42020	0.75454
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	1	0.0	0.5	0.5	-2.68	1.00000	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	36	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	7	69.3	1.6	-67.7	-5.46	0.00400	0.04508
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	5	5.5	17.6	12.1	1.67	0.32700	0.66156
Rv0019c	-	hypothetical protein Rv0019c 	13	2	110.5	12.3	-98.2	-3.17	0.95080	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	6	507.1	2.4	-504.7	-7.74	0.02780	0.16605
Rv0021c	-	hypothetical protein Rv0021c 	22	16	1062.2	634.3	-427.9	-0.74	0.22270	0.51631
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	5	145.1	42.3	-102.8	-1.78	0.21650	0.50837
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	9	203.3	304.5	101.2	0.58	0.43820	0.77329
Rv0025	-	hypothetical protein Rv0025 	7	5	49.2	7.1	-42.2	-2.80	0.28090	0.60000
Rv0026	-	hypothetical protein Rv0026 	14	9	839.6	246.9	-592.7	-1.77	0.03290	0.18515
Rv0027	-	hypothetical protein Rv0027 	5	3	28.5	24.6	-4.0	-0.22	0.91610	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	4	1030.4	376.5	-653.9	-1.45	0.47130	0.79851
Rv0029	-	hypothetical protein Rv0029 	18	10	778.3	388.3	-390.0	-1.00	0.27200	0.58813
Rv0030	-	hypothetical protein Rv0030 	5	3	6.4	21.9	15.5	1.78	0.21360	0.50520
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	32	2403.1	1638.3	-764.8	-0.55	0.23830	0.53688
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	80.0	92.9	12.9	0.22	0.74580	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	3	10.3	141.5	131.3	3.79	0.00550	0.05745
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	19	1228.5	1643.6	415.1	0.42	0.42920	0.76417
Rv0036c	-	hypothetical protein Rv0036c 	4	3	67.4	527.3	460.0	2.97	0.00940	0.08261
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	15	2784.5	1362.0	-1422.5	-1.03	0.09200	0.34148
Rv0038	-	hypothetical protein Rv0038 	7	5	76.2	248.3	172.1	1.70	0.01220	0.09975
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	2	106.0	0.0	-106.0	-5.14	0.01460	0.11096
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	7	181.3	127.8	-53.5	-0.51	0.62090	0.94546
Rv0041	leuS	leucyl-tRNA synthetase 	72	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	2	78.6	0.0	-78.6	-4.71	0.01450	0.11096
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	6	144.7	48.7	-96.0	-1.57	0.13820	0.41027
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	14	560.3	205.2	-355.1	-1.45	0.22600	0.52033
Rv0045c	-	POSSIBLE HYDROLASE 	7	6	933.8	257.4	-676.4	-1.86	0.15620	0.44390
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	4	946.4	11.7	-934.8	-6.34	0.11720	0.36677
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	14	1537.6	913.1	-624.6	-0.75	0.28640	0.60558
Rv0049	-	hypothetical protein Rv0049 	8	5	606.1	1.9	-604.2	-8.31	0.00090	0.01610
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	4	17.5	1.4	-16.1	-3.60	0.11580	0.36439
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	13	2002.8	87.0	-1915.8	-4.52	0.00000	0.00000
Rv0052	-	hypothetical protein Rv0052 	7	6	380.7	115.2	-265.5	-1.72	0.19970	0.49004
Rv0053	rpsF	30S ribosomal protein S6 	6	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	1	1806.7	0.5	-1806.2	-11.91	0.09810	0.34148
Rv0056	rplI	50S ribosomal protein L9 	7	4	7.5	41.4	33.9	2.47	0.05640	0.25986
Rv0057	-	hypothetical protein Rv0057 	15	6	39.6	77.2	37.6	0.96	0.42480	0.75973
Rv0058	dnaB	replicative DNA helicase 	39	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	14	1747.0	1248.2	-498.8	-0.48	0.86910	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	1	273.6	0.0	-273.6	-6.51	0.10410	0.34237
Rv0061	-	hypothetical protein Rv0061 	6	4	136.5	246.1	109.6	0.85	0.36310	0.70294
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	21	16	1492.7	691.6	-801.1	-1.11	0.10170	0.34148
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	23	15	510.0	339.8	-170.2	-0.59	0.31360	0.64266
Rv0064	-	hypothetical protein Rv0064 	68	30	498.8	769.3	270.5	0.63	0.15850	0.44659
Rv0065	-	hypothetical protein Rv0065 	8	6	328.5	20.2	-308.3	-4.02	0.05430	0.25340
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	3	0.0	29.8	29.8	3.31	0.01520	0.11379
Rv0068	-	short chain dehydrogenase 	12	7	775.9	116.1	-659.8	-2.74	0.02710	0.16369
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	7	212.3	203.4	-8.9	-0.06	0.94230	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	11	604.1	437.2	-166.9	-0.47	0.58400	0.91057
Rv0071	-	POSSIBLE MATURASE 	8	6	92.1	113.9	21.8	0.31	0.74400	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	11	1799.6	480.2	-1319.4	-1.91	0.05460	0.25421
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	15	11	1587.4	406.3	-1181.0	-1.97	0.35080	0.68531
Rv0074	-	hypothetical protein Rv0074 	19	12	538.8	409.3	-129.5	-0.40	0.62110	0.94546
Rv0075	-	PROBABLE AMINOTRANSFERASE 	24	18	1319.2	520.6	-798.6	-1.34	0.04110	0.21181
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	3	85.6	21.1	-64.5	-2.02	0.17220	0.46234
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	14	10	1106.3	538.9	-567.4	-1.04	0.19310	0.47964
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	8	4	0.2	122.2	122.0	9.18	0.00030	0.00704
Rv0078A	-	hypothetical protein Rv0078A 	10	7	185.1	147.2	-37.9	-0.33	0.74840	1.00000
Rv0079	-	hypothetical protein Rv0079 	14	10	533.1	338.6	-194.5	-0.65	0.41490	0.75074
Rv0080	-	hypothetical protein Rv0080 	4	2	2.8	46.7	43.9	4.07	0.18430	0.47043
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	5	681.0	76.2	-604.7	-3.16	0.02550	0.15774
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	3	28.6	0.7	-27.9	-5.31	0.20670	0.49623
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	15	486.3	489.5	3.2	0.01	0.98860	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	6	83.4	56.6	-26.8	-0.56	0.57200	0.90137
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	1	28.8	0.0	-28.8	-3.26	0.40260	0.74087
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	6	612.8	70.1	-542.8	-3.13	0.08930	0.33837
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	25	6	2.5	26.4	24.0	3.43	0.11360	0.35973
Rv0088	-	hypothetical protein Rv0088 	14	6	42.2	63.0	20.7	0.58	0.55700	0.88732
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	10	6	65.4	389.1	323.7	2.57	0.03270	0.18481
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	8	263.0	167.3	-95.6	-0.65	0.60100	0.92730
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	7	1171.8	190.6	-981.2	-2.62	0.15960	0.44713
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	16	179.8	422.0	242.2	1.23	0.14190	0.41692
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	3	13.1	3.1	-10.0	-2.07	0.25090	0.55678
Rv0094c	-	hypothetical protein Rv0094c 	14	12	282.4	270.9	-11.5	-0.06	0.94520	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	9	2	22.7	6.0	-16.7	-1.93	0.42680	0.76194
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	14	144.0	56.6	-87.4	-1.35	0.99850	1.00000
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	15	26.4	191.8	165.4	2.86	0.00140	0.02225
Rv0098	-	hypothetical protein Rv0098 	11	5	6.7	12.4	5.7	0.90	0.36550	0.70588
Rv0099	fadD10	acyl-CoA synthetase 	32	8	0.4	31.6	31.2	6.23	0.00000	0.00000
Rv0100	-	hypothetical protein Rv0100 	3	3	1.8	13.0	11.2	2.83	0.16020	0.44790
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	122	52	49.5	400.2	350.7	3.01	0.00000	0.00000
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	30	25	1572.6	1317.7	-254.9	-0.26	0.66590	0.99140
Rv0104	-	hypothetical protein Rv0104 	27	17	1397.9	852.2	-545.8	-0.71	0.19830	0.48810
Rv0105c	rpmB	50S ribosomal protein L28 	5	3	20.3	1.2	-19.1	-4.09	0.08420	0.32649
Rv0106	-	hypothetical protein Rv0106 	12	9	37.7	430.8	393.0	3.51	0.00070	0.01336
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	65	32	2235.9	1373.9	-862.0	-0.70	0.18900	0.47488
Rv0108c	-	hypothetical protein Rv0108c 	2	2	12.3	88.2	75.9	2.84	0.18680	0.47223
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	27	9	206.2	278.6	72.4	0.43	0.59210	0.91961
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	11	657.7	1209.7	552.0	0.88	0.16370	0.45170
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	42	22	652.0	255.5	-396.6	-1.35	0.17540	0.46563
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	10	578.1	384.5	-193.6	-0.59	0.40530	0.74215
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	3	57.5	0.5	-57.0	-6.94	0.02820	0.16694
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	7	400.3	430.3	30.1	0.10	0.91470	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	12	615.0	614.3	-0.7	-0.00	0.99740	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	17	13	306.1	250.6	-55.5	-0.29	0.69560	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	10	121.4	440.6	319.2	1.86	0.04830	0.23331
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	11	270.7	513.4	242.7	0.92	0.26630	0.58094
Rv0119	fadD7	acyl-CoA synthetase 	13	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0120c	fusA2	elongation factor G 	27	13	302.0	227.4	-74.6	-0.41	0.67150	0.99639
Rv0121c	-	hypothetical protein Rv0121c 	10	5	20.4	101.5	81.1	2.31	0.20650	0.49605
Rv0122	-	hypothetical protein Rv0122 	9	4	130.0	30.9	-99.1	-2.07	0.29670	0.61914
Rv0123	-	hypothetical protein Rv0123 	8	1	0.2	3.0	2.8	3.84	0.03580	0.19225
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	13	6	521.2	140.0	-381.1	-1.90	0.10400	0.34237
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	7	210.3	61.1	-149.3	-1.78	0.23690	0.53554
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	1	164.6	2.9	-161.6	-5.81	0.39520	0.73996
Rv0127	-	hypothetical protein Rv0127 	30	1	0.0	2.3	2.3	-0.38	0.10330	0.34153
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	15	3161.7	919.3	-2242.4	-1.78	0.02720	0.16369
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	27	8	25.4	40.0	14.6	0.65	0.50260	0.82970
Rv0130	-	hypothetical protein Rv0130 	4	3	19.7	0.0	-19.7	-2.71	0.08240	0.32265
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	13	1859.2	227.7	-1631.5	-3.03	0.00200	0.02820
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	12	404.8	503.9	99.2	0.32	0.62430	0.94857
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	7	6	422.2	133.7	-288.5	-1.66	0.86430	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	9	650.1	519.0	-131.1	-0.33	0.67220	0.99668
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	5	24.5	41.8	17.3	0.77	0.40630	0.74296
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	17	1145.9	929.8	-216.2	-0.30	0.55920	0.88999
Rv0137c	msrA	methionine sulfoxide reductase A 	11	6	790.8	317.8	-473.0	-1.32	0.47580	0.80188
Rv0138	-	hypothetical protein Rv0138 	6	6	548.3	65.3	-483.0	-3.07	0.00050	0.01061
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	10	1132.1	437.8	-694.3	-1.37	0.03370	0.18806
Rv0140	-	hypothetical protein Rv0140 	15	11	804.5	106.2	-698.3	-2.92	0.00520	0.05460
