#Resampling
#GUI with: norm=TTR, samples=10000, pseudocounts=0.00, adaptive=False, histogram=False, includeZeros=False, output=/pacific/home/mdejesus/TRASH/Subbu/resampling_H37Rv_Rv3916c_day0_s10000_pc0.00.dat
#Control Data: /pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/H37Rv_day0_rep2.wig
#Experimental Data: /pacific/home/mdejesus/TRASH/Subbu/Rv3916c_day0_rep1.wig,/pacific/home/mdejesus/TRASH/Subbu/Rv3916c_day0_rep2.wig
#Annotation path: /pacific/home/mdejesus/TRASH/Subbu/H37Rv.prot_table
#Time: 1036.24630404
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	2.2	0.4	66.3	11.0	-55.27	-2.59	0.00000	0.00000
Rv0004	-	hypothetical protein Rv0004 	7	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	47.8	0.2	286.6	1.4	-285.17	-7.69	0.02820	0.18879
Rv0006	gyrA	DNA gyrase subunit A 	45	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	10.5	1.7	125.5	20.0	-105.58	-2.65	0.01320	0.12630
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	12.7	4.7	76.4	28.1	-48.27	-1.44	0.09840	0.38416
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	18.9	17.5	188.5	175.2	-13.35	-0.11	0.92680	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	15.1	51.0	150.8	509.6	358.76	1.76	0.06510	0.30595
Rv0011c	-	putative septation inhibitor protein 	3	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	4.5	4.7	90.9	93.9	3.05	0.05	0.92440	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	22.8	57.0	45.6	114.1	68.50	1.32	0.33220	0.70426
