#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	3.6	0.0	3.6	3.63	2.21	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	3.6	0.0	3.6	3.63	2.21	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	36.2	27.5	761.0	576.7	-184.34	-0.40	0.53850	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	11.5	1.8	23.0	3.6	-19.37	-2.66	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	184.5	94.3	369.0	188.6	-180.41	-0.97	1.00000	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	55.5	2.7	222.0	10.9	-211.12	-4.35	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	58.7	0.0	176.0	0.0	-176.00	-5.90	0.10000	0.69296
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	259.0	93.1	777.0	279.3	-497.74	-1.48	0.30320	0.96755
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	155.3	148.7	1087.0	1040.9	-46.11	-0.06	0.91070	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	236.3	274.1	1654.0	1918.6	264.58	0.21	0.87420	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	0.0	18.1	0.0	36.3	36.27	4.26	0.33200	0.96755
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	308.1	297.1	3697.0	3565.2	-131.85	-0.05	0.93080	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	7.0	0.0	7.0	0.0	-7.00	-3.00	1.00000	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	3.6	0.0	3.6	3.63	2.21	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	124.0	10.9	372.0	32.6	-339.36	-3.51	1.00000	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	28.3	25.2	650.0	580.3	-69.71	-0.16	0.90290	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	56.8	45.3	1250.0	997.4	-252.63	-0.33	0.65330	1.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	30.7	40.9	338.0	449.7	111.72	0.41	0.48430	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	13	180.9	18.1	1809.0	181.3	-1627.66	-3.32	0.00470	0.12099
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	47.1	34.8	565.0	417.1	-147.92	-0.44	0.57750	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	288.1	272.7	5761.0	5454.7	-306.28	-0.08	0.91330	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	410.5	401.2	3284.0	3209.7	-74.27	-0.03	0.96290	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0.0	16.3	0.0	32.6	32.64	4.11	0.34000	0.96755
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	249.5	269.1	2495.0	2691.1	196.09	0.11	0.91670	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	83.0	102.1	581.0	714.5	133.48	0.30	0.69180	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	185.8	221.9	2044.0	2440.8	396.84	0.26	0.62280	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	72.7	16.9	218.0	50.8	-167.22	-2.10	0.39290	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	101.3	429.2	304.0	1287.5	983.52	2.08	0.10070	0.69296
Rv0029	-	hypothetical protein Rv0029 	18	175.9	313.0	2815.0	5008.6	2193.63	0.83	0.17720	0.84573
Rv0030	-	hypothetical protein Rv0030 	5	41.0	55.6	123.0	166.8	43.83	0.44	0.80160	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	229.6	227.5	7808.0	7736.0	-72.01	-0.01	0.97940	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	162.7	168.0	488.0	504.1	16.13	0.05	1.00000	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	193.2	181.3	966.0	906.7	-59.30	-0.09	0.92780	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	260.6	276.3	5734.0	6078.5	344.53	0.08	0.86320	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	655.0	263.9	2620.0	1055.4	-1564.60	-1.31	0.37170	0.99402
