#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'H37Rv_vs_delta_Rv3811_TTR.dat', mode 'w' at 0x2f1fc00> expList=['delta_Rv3811_TnSeq.wig'] doAdaptive=False ctrlList=['H37Rv_TnSeq.wig']
#Control Samples:  H37Rv_TnSeq.wig
#Experimental Samples:  delta_Rv3811_TnSeq.wig
#Normalized with TTR
#TTR factors:	1.0000	1.1321
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0001	dnaA	chromosomal replication initiation protein 	31	3	1.0	2.3	1.3	1.18	0.40480	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	26	563.0	788.0	225.0	0.48	0.39400	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	2	10.0	61.1	51.1	2.61	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	4	191.0	195.9	4.9	0.04	0.85550	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	2	6.0	9.1	3.1	0.59	0.66630	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	10	628.0	1042.7	414.7	0.73	0.23880	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	4	177.0	79.2	-97.8	-1.16	0.73870	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	6	985.0	297.7	-687.3	-1.73	0.16130	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	7	888.0	1137.8	249.8	0.36	0.70480	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	3	77.0	38.5	-38.5	-1.00	0.90120	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	13	1518.0	1723.1	205.1	0.18	0.77160	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	2	37.0	21.5	-15.5	-0.78	1.00000	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	2	1.0	1.1	0.1	0.18	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	4	310.0	117.7	-192.3	-1.40	0.40040	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	36	28	2671.0	3738.2	1067.2	0.48	0.41420	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	26	3296.0	5545.1	2249.1	0.75	0.15330	1.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	13	2609.0	4932.6	2323.6	0.92	0.25380	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	13	12	869.0	2985.4	2116.4	1.78	0.01110	0.44688
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	10	2034.0	2776.0	742.0	0.45	0.57850	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	22	22	3659.0	3459.7	-199.3	-0.08	0.89120	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	6	1008.0	1150.2	142.2	0.19	0.77160	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	9	33.0	7.9	-25.1	-2.06	0.06160	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	11	1462.0	918.1	-543.9	-0.67	0.43070	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	7	986.0	792.5	-193.5	-0.32	0.81520	1.00000
Rv0026	-	hypothetical protein Rv0026 	14	11	1400.0	1152.5	-247.5	-0.28	0.78800	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	4	65.0	260.4	195.4	2.00	0.07970	1.00000
Rv0028	-	hypothetical protein Rv0028 	5	5	877.0	473.2	-403.8	-0.89	0.37200	1.00000
Rv0029	-	hypothetical protein Rv0029 	18	16	2101.0	2034.4	-66.6	-0.05	0.94310	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	5	670.0	137.0	-533.0	-2.29	0.04660	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	44	4798.0	5975.3	1177.3	0.32	0.45600	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	627.0	737.0	110.0	0.23	0.49770	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	5	422.0	646.4	224.4	0.62	0.57200	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	23	4522.0	3809.6	-712.4	-0.25	0.65240	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	4	614.0	568.3	-45.7	-0.11	0.91420	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	17	6595.0	7869.3	1274.3	0.25	0.66850	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	7	379.0	648.7	269.7	0.78	0.43350	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	3	530.0	612.5	82.5	0.21	0.89950	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	9	8	1243.0	1091.4	-151.6	-0.19	0.67600	1.00000
Rv0041	leuS	leucyl-tRNA synthetase 	72	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	4	196.0	508.3	312.3	1.37	0.34020	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	10	9	704.0	569.5	-134.5	-0.31	0.65480	1.00000
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	18	1568.0	1208.0	-360.0	-0.38	0.54770	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	7	7	1215.0	1618.9	403.9	0.41	0.62300	1.00000
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	16	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	7	1855.0	2267.6	412.6	0.29	0.75220	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	14	4812.0	4705.1	-106.9	-0.03	0.96160	1.00000
Rv0049	-	hypothetical protein Rv0049 	8	8	17.0	1003.1	986.1	5.88	0.00040	0.04200
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	30	1391.0	1486.5	95.5	0.10	0.84900	1.00000
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	28	2870.0	1917.8	-952.2	-0.58	0.24270	1.00000
Rv0052	-	hypothetical protein Rv0052 	7	6	1110.0	871.7	-238.3	-0.35	0.61290	1.00000
Rv0053	rpsF	30S ribosomal protein S6 	6	2	1.0	24.9	23.9	4.64	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	1	290.0	274.0	-16.0	-0.08	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	7	6	39.0	157.4	118.4	2.01	0.03700	0.97768
Rv0057	-	hypothetical protein Rv0057 	15	11	491.0	707.6	216.6	0.53	0.57920	1.00000
Rv0058	dnaB	replicative DNA helicase 	39	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	20	20	5641.0	3799.4	-1841.6	-0.57	0.23840	1.00000
Rv0060	-	hypothetical protein Rv0060 	23	2	227.0	558.1	331.1	1.30	0.67500	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	6	720.0	327.2	-392.8	-1.14	0.18830	1.00000
