#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS.txt -l
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2109.9459793567657
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.5	0.61	0.0	32.58	0.5	0.05930	0.47658
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	39.1	40.4	0.05	4100.5	2829.90	1.4	0.89970	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	0.7	8.7	3.63	14.9	122.35	8.0	0.08120	0.56513
Rv0005	gyrB	DNA gyrase subunit B 	42	5.2	2.3	-1.17	655.5	194.65	-2.9	0.43750	0.92016
Rv0006	gyrA	DNA gyrase subunit A 	45	2.4	1.9	-0.37	325.0	167.80	-0.5	0.86420	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	91.9	206.5	1.17	2756.1	4130.66	114.7	0.07400	0.53684
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	91.2	83.3	-0.13	1093.9	666.07	-7.9	0.88100	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	175.4	322.5	0.88	3683.3	4514.46	147.1	0.02750	0.31897
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	138.3	214.5	0.63	4148.5	4289.83	76.2	0.38560	0.90731
